종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A000660,SK하이닉스,20220624,9741,-976492,959927,1042101,-14090,35497,19456,966,-239951,6329,495,115948
A000660,SK하이닉스,20220623,131309,-783362,637219,654235,-14259,23074,13651,2861,-63132,14919,-85,20789
A000660,SK하이닉스,20220628,-454835,810547,-370661,-254380,-1253,58512,7721,1118,-247350,14128,821,64971
A000660,SK하이닉스,20220627,-525143,729606,-201309,-213117,9382,64610,7224,118,-144503,-3250,96,74977
A000660,SK하이닉스,20220630,476739,200656,-716713,-328875,22728,-47196,-1769,-1643,-206353,37855,1463,-153605
A000660,SK하이닉스,20220629,76313,75794,-176522,-187544,20020,25746,-1769,-1649,-34912,23990,425,3586
A000660,SK하이닉스,20220701,1381720,-1011172,-383805,76144,-52136,-71950,-1222,0,-147939,9165,4092,-186702
A000660,SK하이닉스,20220704,-500837,212408,302057,279151,36222,34011,-9,-231,-61312,-14495,867,14225
A000660,SK하이닉스,20220706,-659117,495916,168878,-319266,107584,205294,-448,998,79372,-3273,-2404,95344
A000660,SK하이닉스,20220705,-568434,232293,338664,-6709,64850,162992,685,-1808,5742,-2110,-413,112912
A000660,SK하이닉스,20220708,-474287,285020,199715,-204237,124705,170977,3067,4949,208205,-9793,-655,-107951
A000660,SK하이닉스,20220707,-230944,-375270,595574,142045,97454,111684,1700,1840,128327,10233,407,112524
A000660,SK하이닉스,20220712,13381,117458,-141825,-206926,19363,-4257,100,4079,193584,11001,-15,-147768
A000660,SK하이닉스,20220711,78002,-103400,10717,-90919,21341,10743,100,3150,168974,14347,334,-102672
A000660,SK하이닉스,20220714,-114366,48789,60855,-228742,11740,60047,788,-3752,140849,6035,-1313,79925
A000660,SK하이닉스,20220713,-117657,-418827,534357,170610,-1032,39244,788,-3798,185921,2308,-181,142624
A000660,SK하이닉스,20220715,-1165077,863231,314857,-242899,56511,114497,-2949,2332,221498,-11884,-1127,165867
A000660,SK하이닉스,20220718,-570733,1175371,-598872,-663223,1934,-11418,9267,-8204,66225,-4360,-1406,6547
A000660,SK하이닉스,20220720,-141233,847224,-710706,-312850,-15194,-46168,1721,-192,-58952,4398,317,-279071
A000660,SK하이닉스,20220719,246858,23412,-275364,-172510,12191,-14648,-879,-142,154616,4515,579,-253992
A000660,SK하이닉스,20220722,177518,9292,-186574,-102302,-8799,-121478,3200,-4146,159581,779,-1015,-112630
A000660,SK하이닉스,20220721,-206356,200718,338,-85651,11919,-1583,500,5,84748,6332,-1032,-9600
A000660,SK하이닉스,20220726,39249,-76145,43602,189414,-33892,-75417,1557,-250,-34453,-7930,1224,-3357
A000660,SK하이닉스,20220725,98589,-820,-93152,115550,-28894,-63254,937,-100,-70900,-5067,450,-46491
A000660,SK하이닉스,20220728,868891,-17319,-828729,5498,-127862,-404379,-2188,-681,-275858,-27284,4441,-23259
A000660,SK하이닉스,20220727,501681,-376851,-101040,62893,-34845,-98696,-1000,-285,-18125,-23511,-279,-10982
A000660,SK하이닉스,20220729,937856,-337325,-594611,276521,-113002,-303883,3337,-189,-337490,-14339,8419,-119905
A000660,SK하이닉스,20220801,388738,11079,-416514,-52576,-5294,-80652,496,505,-237681,13138,3559,-41312
A000660,SK하이닉스,20220803,275689,301880,-553473,-130399,-59470,-131143,-6935,878,-269170,-25159,1063,42766
A000660,SK하이닉스,20220802,285740,117827,-382804,-153222,-21551,-59765,-8052,-528,-146008,-21542,779,6322
A000660,SK하이닉스,20220805,-304260,399953,-106127,-92792,1320,-56610,8600,-3792,-216645,9999,435,253792
A000660,SK하이닉스,20220804,113987,19341,-143838,-136683,-7909,-20488,2600,-4775,-100759,9322,1188,124176
A000660,SK하이닉스,20220809,1388432,-29765,-1363087,-145286,-197028,-300496,-6504,-708,-517591,1203,3217,-195474
A000660,SK하이닉스,20220808,1029854,-181709,-843793,-179395,-101741,-180162,-5304,-610,-251778,-7169,2817,-124803
A000660,SK하이닉스,20220811,1118523,-561791,-664586,358848,-101917,-256787,802,1819,-659969,103869,3985,-7382
A000660,SK하이닉스,20220810,1328395,-692294,-750738,149,-78712,-234734,-1171,1028,-454632,109380,5257,17334
A000660,SK하이닉스,20220812,46807,110676,-172411,107587,-21223,-32596,-1000,266,-259296,14137,791,33851
A000660,SK하이닉스,20220817,-1452801,867307,582645,306513,1418,179037,-10220,-1670,-63248,6655,-3806,170815
A000660,SK하이닉스,20220816,-1252887,701694,547097,311422,299,139384,-10240,-1670,14672,7696,-3600,93230
A000660,SK하이닉스,20220819,-120250,408244,-297248,-80653,-14289,-43321,-7533,-336,-251040,9605,-351,99924
A000660,SK하이닉스,20220818,363027,-218422,-154755,-137449,-9957,14239,-2900,467,-22141,9523,627,2986
A000660,SK하이닉스,20220823,291072,255873,-522195,-310983,-32899,-36017,635,-91,-168601,-27913,3163,25761
A000660,SK하이닉스,20220822,95553,215941,-303967,-172196,-11685,-19853,10,-219,-90696,-8615,1088,-9328
A000660,SK하이닉스,20220825,293471,-213718,-99192,-19036,-22302,-26551,973,-710,-55613,19396,43,24047
A000660,SK하이닉스,20220824,223341,48489,-273372,-103038,-9361,-14497,1005,-772,-39219,1398,144,-107490
A000660,SK하이닉스,20220826,-334416,130115,180464,46669,39496,59561,66,4412,-36080,25354,-1517,66340
A000660,SK하이닉스,20220829,371185,288233,-724553,-362837,-25541,-101396,-756,970,-108934,62608,2527,-126059
A000660,SK하이닉스,20220831,-254779,503106,-223997,-20740,-18335,-49627,-4851,2262,-17136,-21577,-2753,-115570
