종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A033640,네패스,20220624,-101039,46594,58598,45277,1251,402,0,0,11465,-4011,-142,203
A033640,네패스,20220623,-67615,38297,33623,24536,1226,-1116,0,0,8935,-4114,-191,42
A033640,네패스,20220628,50479,-30583,-19993,-18480,-2148,781,0,0,120,96,1,-266
A033640,네패스,20220627,46130,-31191,-15127,-13563,-2148,821,0,0,0,189,-1,-237
A033640,네패스,20220630,38418,-19543,-20205,-20938,19,1104,0,0,0,1350,-20,-390
A033640,네패스,20220629,28313,-18518,-10762,-11700,18,1200,0,0,0,941,26,-280
A033640,네패스,20220701,4246,-3182,-1409,-1014,30,-559,0,0,134,204,141,0
A033640,네패스,20220704,-18003,15895,1936,2035,0,124,0,0,0,201,-29,-223
A033640,네패스,20220706,-12700,23711,-12328,848,392,-14995,0,0,1799,1246,71,-372
A033640,네패스,20220705,-35470,24304,11315,9274,392,1742,0,0,0,-199,50,-93
A033640,네패스,20220708,11324,-1968,-9327,7247,0,-17004,0,0,659,56,-85,-229
A033640,네패스,20220707,1544,5547,-6882,4595,0,-12000,0,0,659,-150,-59,-136
A033640,네패스,20220712,58042,-20836,-36549,-35661,-1506,2800,0,0,-1586,-1035,378,-596
A033640,네패스,20220711,6563,2417,-9193,-8528,0,1200,0,0,-1586,157,56,-279
A033640,네패스,20220714,-29746,20449,9281,6597,137,2295,0,0,809,-395,411,-557
A033640,네패스,20220713,-28184,9665,18573,16151,96,1795,0,0,809,-145,91,-278
A033640,네패스,20220715,10748,-9976,-936,-853,0,10,0,0,0,40,124,-93
A033640,네패스,20220718,-19953,16451,4133,3283,0,0,0,0,894,-450,-181,-44
A033640,네패스,20220720,42468,-41898,-112,2079,0,-2,0,0,-1631,-449,-9,-558
A033640,네패스,20220719,-3708,2772,1363,1484,0,0,0,0,0,-448,21,-121
A033640,네패스,20220722,1059,5957,-7673,-8352,0,1000,0,0,-5,559,98,-316
A033640,네패스,20220721,-9966,7575,2768,1861,0,1000,0,0,0,-470,93,-93
A033640,네패스,20220726,-20891,17866,2468,2764,0,0,0,0,0,-2,559,-296
A033640,네패스,20220725,-7274,229,6519,6815,0,0,0,0,0,-4,530,-296
A033640,네패스,20220728,5441,-9581,2950,5924,0,-2624,0,0,0,1025,165,-350
A033640,네패스,20220727,3649,-4502,555,736,0,60,0,0,0,148,150,-241
A033640,네패스,20220729,-14010,10022,3201,-90,0,38,0,0,3380,689,98,-127
A033640,네패스,20220801,34894,-27261,-8151,-5948,0,74,0,0,-1533,-23,541,-744
A033640,네패스,20220803,32770,-8661,-22809,-9455,0,399,0,0,-12876,-800,-500,-877
A033640,네패스,20220802,14242,-6045,-7424,-7071,0,1,0,0,0,-793,20,-354
A033640,네패스,20220805,-31808,40491,-9375,2333,0,-398,0,0,-10545,703,-11,-765
A033640,네패스,20220804,-30838,41871,-11724,-1633,0,-288,0,0,-9710,691,0,-93
A033640,네패스,20220809,22258,-4776,-18629,2310,0,0,0,0,-19877,211,936,-1062
A033640,네패스,20220808,9725,123,-10152,328,0,0,0,0,-9959,194,110,-521
A033640,네패스,20220811,-6815,75,4306,14433,0,71,0,0,-9836,2305,129,-362
A033640,네패스,20220810,68087,-51937,-18910,-8705,0,0,0,0,-9918,2595,165,-287
A033640,네패스,20220812,-27789,21015,5342,5469,0,1,0,0,41,1650,-218,-169
A033640,네패스,20220817,38184,-64300,28629,-26261,0,42868,0,0,12443,-2643,130,-421
A033640,네패스,20220816,-15541,-2894,17117,-9787,0,17868,0,0,9360,1242,76,-324
A033640,네패스,20220819,50186,-44358,-4321,-4715,0,-1322,0,0,1830,-1245,-262,-114
A033640,네패스,20220818,21440,-21529,905,1148,0,-239,0,0,110,-669,-147,-114
A033640,네패스,20220823,6258,2254,-10829,-2951,0,-186,0,0,-7467,1223,1094,-225
A033640,네패스,20220822,10886,822,-12753,-5100,0,0,0,0,-7687,1046,-1,34
A033640,네패스,20220825,-32232,8720,21399,18033,1300,800,0,0,1698,2744,-631,-432
