종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A215100,로보로보,20220624,-264552,265747,-5737,0,0,0,0,0,0,3378,1164,-5737
A215100,로보로보,20220623,-95442,91666,0,0,0,0,0,0,0,3730,46,0
A215100,로보로보,20220628,97588,-89301,-2000,0,0,0,0,0,0,-4704,-1583,-2000
A215100,로보로보,20220627,-16282,11990,-2000,0,0,0,0,0,0,7622,-1330,-2000
A215100,로보로보,20220630,-51569,51374,0,0,0,0,0,0,0,100,95,0
A215100,로보로보,20220629,-69358,68933,0,0,0,0,0,0,0,50,375,0
A215100,로보로보,20220701,5034,-5221,0,0,0,0,0,0,0,0,187,0
A215100,로보로보,20220704,19059,-18659,0,0,0,0,0,0,0,-100,-300,0
A215100,로보로보,20220706,-127113,152085,0,0,0,0,0,0,0,55,-25027,0
A215100,로보로보,20220705,-80492,104044,0,0,0,0,0,0,0,1013,-24565,0
A215100,로보로보,20220708,189591,-188702,0,0,0,0,0,0,0,-56,-833,0
A215100,로보로보,20220707,140785,-141442,0,0,0,0,0,0,0,1020,-363,0
A215100,로보로보,20220712,80234,-80013,0,0,0,0,0,0,0,0,-221,0
A215100,로보로보,20220711,13733,-13528,0,0,0,0,0,0,0,0,-205,0
A215100,로보로보,20220714,-109173,107872,0,0,0,0,0,0,0,1100,201,0
A215100,로보로보,20220713,-52666,50306,618,0,0,618,0,0,0,1000,742,0
A215100,로보로보,20220715,100165,-100021,-943,-943,0,0,0,0,0,550,249,0
A215100,로보로보,20220718,-139121,134478,2748,0,0,2748,0,0,0,1617,278,0
A215100,로보로보,20220720,-72062,74422,0,0,0,0,0,0,0,-1616,-744,0
A215100,로보로보,20220719,-37619,38754,0,0,0,0,0,0,0,-1616,481,0
A215100,로보로보,20220722,244286,-243787,0,0,0,0,0,0,0,-1,-498,0
A215100,로보로보,20220721,130098,-130262,0,0,0,0,0,0,0,0,164,0
A215100,로보로보,20220726,-9861,9901,0,0,0,0,0,0,0,-193,153,0
