종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A108490,로보티즈,20220624,-60198,50457,13143,2000,0,1923,0,0,14558,-1713,-1689,-5338
A108490,로보티즈,20220623,-35300,22334,14812,1000,0,1923,0,0,14558,-200,-1646,-2669
A108490,로보티즈,20220628,-12335,14241,-4338,1000,0,0,0,0,0,2199,233,-5338
A108490,로보티즈,20220627,-11095,12982,-1669,1000,0,0,0,0,0,-400,182,-2669
A108490,로보티즈,20220630,25737,-20702,-4338,1000,0,0,0,0,0,-100,-597,-5338
A108490,로보티즈,20220629,-5036,8213,-2669,0,0,0,0,0,0,0,-508,-2669
A108490,로보티즈,20220701,7085,-583,-5694,1000,0,-4030,0,0,0,-420,-388,-2664
A108490,로보티즈,20220704,-9844,17513,-7621,900,0,-8521,0,0,0,0,-48,0
A108490,로보티즈,20220706,-23290,23430,0,0,0,0,0,0,0,0,-140,0
A108490,로보티즈,20220705,-24500,24640,0,0,0,0,0,0,0,0,-140,0
A108490,로보티즈,20220708,32622,-33028,0,0,0,0,0,0,0,300,106,0
A108490,로보티즈,20220707,26721,-26966,0,0,0,0,0,0,0,300,-55,0
A108490,로보티즈,20220712,-7982,4989,2727,0,0,0,0,0,2727,100,166,0
A108490,로보티즈,20220711,-6274,5844,0,0,0,0,0,0,0,100,330,0
A108490,로보티즈,20220714,13267,-21040,7843,0,0,0,0,0,8316,1,-71,-473
A108490,로보티즈,20220713,10975,-19177,8316,0,0,0,0,0,8316,0,-114,0
A108490,로보티즈,20220715,-4189,-5716,9617,0,0,0,0,0,9617,427,-139,0
A108490,로보티즈,20220718,-25347,11253,7100,1021,0,4040,0,0,2039,6796,198,0
A108490,로보티즈,20220720,-3370,7540,-4040,0,0,-4040,0,0,0,-1196,1066,0
A108490,로보티즈,20220719,-1179,2230,-171,0,0,-171,0,0,0,-1035,155,0
A108490,로보티즈,20220722,6823,-14172,7639,0,1393,2102,0,0,4144,100,-390,0
A108490,로보티즈,20220721,19738,-19358,0,0,0,0,0,0,0,600,-980,0
A108490,로보티즈,20220726,-1453,-8872,9381,0,3704,738,0,0,4939,443,501,0
A108490,로보티즈,20220725,-7272,3847,4939,0,0,0,0,0,4939,-1995,481,0
A108490,로보티즈,20220728,17214,-23798,2113,0,813,0,0,0,0,5445,-974,1300
A108490,로보티즈,20220727,7638,-13265,2113,0,813,0,0,0,0,3400,114,1300
A108490,로보티즈,20220729,-19392,12325,7630,0,7630,0,0,0,0,-101,-462,0
A108490,로보티즈,20220801,1303,-12678,17255,0,3489,-1021,0,0,14787,-5624,-256,0
A108490,로보티즈,20220803,-115768,116370,10491,3000,0,0,0,0,7491,-10164,-929,0
A108490,로보티즈,20220802,-133986,133808,9297,1806,0,0,0,0,7491,-8897,-222,0
A108490,로보티즈,20220805,17803,-21014,579,0,579,0,0,0,0,3175,-543,0
A108490,로보티즈,20220804,911,-979,579,0,579,0,0,0,0,50,-561,0
A108490,로보티즈,20220809,-16516,-868,16000,1000,0,15000,0,0,0,2005,-621,0
A108490,로보티즈,20220808,-12675,9913,0,0,0,0,0,0,0,2231,531,0
A108490,로보티즈,20220811,10039,-8495,-3671,-50,1177,195,0,0,0,1609,518,-4993
A108490,로보티즈,20220810,21616,-18166,-4993,0,0,0,0,0,0,1580,-37,-4993
A108490,로보티즈,20220812,25448,-14502,-11119,0,-11119,0,0,0,0,14,159,0
A108490,로보티즈,20220817,-51232,37374,13960,-1500,10278,5182,0,0,0,-1378,1276,0
A108490,로보티즈,20220816,40,11111,-5137,-1500,-3032,-605,0,0,0,-7019,1005,0
A108490,로보티즈,20220819,-89596,91021,2343,3334,-13310,-5787,0,0,18106,-1982,-1786,0
A108490,로보티즈,20220818,-102368,110428,-4149,3332,-13310,-3261,0,0,9090,-1343,-2568,0
A108490,로보티즈,20220823,18522,-8799,-5829,-5829,0,0,0,0,0,-3276,-618,0
A108490,로보티즈,20220822,17351,-12197,-2498,-2498,0,0,0,0,0,-2067,-589,0
A108490,로보티즈,20220825,-17440,3047,14504,1056,0,0,0,0,13448,-665,554,0
A108490,로보티즈,20220824,-16615,1110,14505,1057,0,0,0,0,13448,322,678,0
A108490,로보티즈,20220826,5163,-4502,0,0,0,0,0,0,0,2,-663,0
A108490,로보티즈,20220829,3015,-3622,-1,-1,0,0,0,0,0,-29,637,0
A108490,로보티즈,20220831,2426,-2357,376,0,0,376,0,0,0,86,-531,0
A108490,로보티즈,20220830,2630,-2845,376,0,0,376,0,0,0,114,-275,0
A108490,로보티즈,20220902,-6909,464,2109,0,0,0,0,0,2109,827,3509,0
A108490,로보티즈,20220901,9677,139,-13448,0,0,0,0,0,-13448,148,3484,0
A108490,로보티즈,20220906,54893,-58395,750,750,0,0,0,0,0,830,1922,0
A108490,로보티즈,20220905,32009,-34830,789,789,0,0,0,0,0,630,1402,0
A108490,로보티즈,20220908,12312,-14924,1022,201,0,0,0,0,0,-9,1599,821
A108490,로보티즈,20220907,-21187,20988,41,0,0,0,0,0,0,-1,159,41
A108490,로보티즈,20220914,-55118,44066,12938,-600,1893,6245,0,0,7783,3815,-5701,-2383
A108490,로보티즈,20220913,-24021,12664,13876,0,843,6038,0,0,7783,2805,-5324,-788
A108490,로보티즈,20220916,16035,-16234,3043,2596,8926,-12445,3900,0,0,-3585,741,66
A108490,로보티즈,20220915,-41625,49988,-3964,1000,0,-8897,3900,0,0,-3185,-1214,33
A108490,로보티즈,20220920,-68659,35332,41348,9067,26776,42961,0,0,-38328,-7896,-125,872
A108490,로보티즈,20220919,22732,-21107,4151,0,0,3279,0,0,0,-6975,1199,872
A108490,로보티즈,20220922,18433,-140676,119583,19331,3246,11663,3900,0,79600,516,2144,1843
