辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20220722,596276,-133884,-353065,-57873,6137,-57653,0,-52855,320,-113863,4536,-191141
A328130,风粗,20220721,439011,-138700,-182564,-53166,23494,-37755,0,-42250,19749,-119116,1369,-92636
A328130,风粗,20220726,-23313,-2609,24787,-1384,12822,16589,0,0,95,3143,-2008,-3335
A328130,风粗,20220725,4050,-1311,-1708,-1384,70,-2659,0,0,95,1132,-2163,2170
A328130,风粗,20220728,-36565,17089,27611,-12852,-1389,-661,0,-9999,28500,-10748,2613,24012
A328130,风粗,20220727,13469,12959,-28206,-24499,-1389,-2103,0,0,6902,-969,2747,-7117
A328130,风粗,20220729,5575,-4331,-3138,660,0,-280,0,-9996,8498,2464,-570,-2020
A328130,风粗,20220801,64658,-779,-73082,-60052,0,0,0,-12495,0,9265,-62,-535
A328130,风粗,20220803,-34327,93542,-15628,-2732,-1043,-2292,0,-58423,36918,-42223,-1364,11944
A328130,风粗,20220802,-133749,200871,-22990,-2732,-951,-3096,0,-50468,24653,-43254,-878,9604
A328130,风粗,20220805,80377,-78290,-1384,16440,505,-3564,0,-153,2534,-1464,761,-17146
A328130,风粗,20220804,57997,-61748,3791,2338,0,-7918,0,0,0,345,-385,9371
A328130,风粗,20220809,-9101,19304,-8673,2100,341,10427,0,-153,3873,169,-1699,-25261
A328130,风粗,20220808,-30730,9149,21138,10100,341,7527,0,0,2693,1229,-786,477
A328130,风粗,20220811,-24533,-125,23390,-1353,-38,1947,-508,0,1473,1069,199,21869
A328130,风粗,20220810,-31175,14355,17611,-500,0,3167,0,0,1473,-731,-60,13471
A328130,风粗,20220812,9780,-5447,-5209,-13032,0,0,0,0,0,572,304,7823
A328130,风粗,20220817,-33500,28690,2347,-8678,0,-2,0,0,15800,2100,363,-4773
A328130,风粗,20220816,-23879,6738,16425,0,0,-2,0,0,15800,198,518,627
A328130,风粗,20220819,-73445,9877,63339,4470,0,3674,0,0,5239,652,-423,49956
A328130,风粗,20220818,-12359,-2244,14402,2025,0,1434,0,0,5239,10,191,5704
A328130,风粗,20220823,85990,-24939,-62409,503,-5307,-92136,0,0,3440,-3769,5127,31091
A328130,风粗,20220822,120951,-25023,-96246,-1658,-5503,-105547,0,0,0,-3740,4058,16462
A328130,风粗,20220825,-62335,26072,35720,146,-2376,24236,0,0,3739,85,458,9975
A328130,风粗,20220824,-77049,43556,35939,2603,-2451,28903,0,0,4751,-2973,527,2133
A328130,风粗,20220826,-7731,-4959,13901,-519,36,1728,0,0,8854,-817,-394,3802
A328130,风粗,20220829,-5832,-4133,9018,2764,0,7290,0,0,0,-1654,2601,-1036
A328130,风粗,20220831,-26143,-7,26199,584,329,25583,0,0,-336,2,-51,39
A328130,风粗,20220830,-2910,-1273,4192,779,-122,2732,0,0,0,2,-11,803
A328130,风粗,20220902,-10164,-11557,21601,8751,1235,-8709,0,0,22520,0,120,-2196
A328130,风粗,20220901,-12674,-1538,14261,7753,0,-7159,0,0,18869,0,-49,-5202
A328130,风粗,20220906,59455,-17332,-40887,-14466,1559,-15593,0,0,6142,-1367,131,-18529
A328130,风粗,20220905,67884,-19247,-47552,-13709,1154,-19993,0,0,4322,-1393,308,-19326
A328130,风粗,20220908,6300,17653,-24134,1378,630,12740,0,0,1653,24,157,-40535
A328130,风粗,20220907,23285,13718,-37214,-199,630,-6083,0,0,2350,23,188,-33912
A328130,风粗,20220914,58937,3456,-58155,-6327,0,-40797,0,0,-775,-4880,642,-10256
