종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A250060,모비스,20220624,-5125,5722,1,1,0,0,0,0,0,364,-962,0
A250060,모비스,20220623,-1100,1718,0,0,0,0,0,0,0,364,-982,0
A250060,모비스,20220628,-8603,8768,0,0,0,0,0,0,0,-245,80,0
A250060,모비스,20220627,-12618,12618,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220630,14275,-14375,0,0,0,0,0,0,0,0,100,0
A250060,모비스,20220629,-2265,2265,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220701,15839,-15742,0,0,0,0,0,0,0,10,-107,0
A250060,모비스,20220704,6008,-5078,0,0,0,0,0,0,0,18,-948,0
A250060,모비스,20220706,3685,-3685,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220705,-556,556,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220708,68185,-29019,-43186,0,0,0,0,0,0,3922,98,-43186
A250060,모비스,20220707,101663,-62497,-43186,0,0,0,0,0,0,3922,98,-43186
A250060,모비스,20220712,727519,-138911,-497756,0,0,5244,0,0,0,-86089,-4763,-503000
A250060,모비스,20220711,88880,-57206,247,0,0,0,0,0,247,-27275,-4646,0
A250060,모비스,20220714,-97095,91673,-5244,0,0,-5244,0,0,0,8508,2158,0
A250060,모비스,20220713,-54578,59927,-5244,0,0,-5244,0,0,0,-520,415,0
A250060,모비스,20220715,112776,-109662,0,0,0,0,0,0,0,602,-3716,0
A250060,모비스,20220718,-31007,82620,0,0,0,0,0,0,0,-53682,2069,0
A250060,모비스,20220720,-46292,42348,0,0,0,0,0,0,0,-5790,9734,0
A250060,모비스,20220719,-59947,65808,0,0,0,0,0,0,0,-5602,-259,0
A250060,모비스,20220722,-58668,53383,6642,1,0,6641,0,0,0,-317,-1040,0
A250060,모비스,20220721,-110281,93110,18416,0,0,18416,0,0,0,-317,-928,0
A250060,모비스,20220726,-35417,51493,-6641,0,0,-6641,0,0,0,0,-9435,0
A250060,모비스,20220725,3514,13305,-6641,0,0,-6641,0,0,0,0,-10178,0
A250060,모비스,20220728,-71269,68410,0,0,0,0,0,0,0,-226,3085,0
A250060,모비스,20220727,-12414,12830,0,0,0,0,0,0,0,0,-416,0
A250060,모비스,20220729,73887,-73774,0,0,0,0,0,0,0,0,-113,0
A250060,모비스,20220801,635,-6828,0,0,0,0,0,0,0,5702,491,0
A250060,모비스,20220803,-23658,23748,0,0,0,0,0,0,0,0,-90,0
A250060,모비스,20220802,-14746,14836,0,0,0,0,0,0,0,0,-90,0
A250060,모비스,20220805,93102,-90951,0,0,0,0,0,0,0,51,-2202,0
A250060,모비스,20220804,22912,-26170,0,0,0,0,0,0,0,151,3107,0
A250060,모비스,20220809,28739,-29753,0,0,0,0,0,0,0,3570,-2556,0
A250060,모비스,20220808,-4249,4052,1818,0,0,1818,0,0,0,0,-1621,0
A250060,모비스,20220811,-22385,20371,0,0,0,0,0,0,0,2050,-36,0
A250060,모비스,20220810,-17626,15620,0,0,0,0,0,0,0,2050,-44,0
A250060,모비스,20220812,-65703,63702,0,0,0,0,0,0,0,2002,-1,0
A250060,모비스,20220817,-50042,55835,0,0,0,0,0,0,0,-5699,-94,0
A250060,모비스,20220816,-35757,41567,0,0,0,0,0,0,0,-5702,-108,0
A250060,모비스,20220819,-96099,95734,5,5,0,0,0,0,0,360,0,0
A250060,모비스,20220818,-70986,70625,0,0,0,0,0,0,0,360,1,0
A250060,모비스,20220823,-31176,30391,5,5,0,0,0,0,0,810,-30,0
A250060,모비스,20220822,-10320,10317,3,3,0,0,0,0,0,0,0,0
A250060,모비스,20220825,-38058,37608,442,-6,0,0,0,0,0,8,0,448
A250060,모비스,20220824,-2507,2063,444,-4,0,0,0,0,0,0,0,448
A250060,모비스,20220826,-4252,4236,0,0,0,0,0,0,0,0,16,0
A250060,모비스,20220829,-61237,61415,0,-2,0,2,0,0,0,-630,452,0
A250060,모비스,20220831,-37612,36943,-3,-1,0,-2,0,0,0,501,171,0
A250060,모비스,20220830,-15231,14626,-3,-1,0,-2,0,0,0,501,107,0
A250060,모비스,20220902,3936,-3723,0,0,0,0,0,0,0,-3,-210,0
A250060,모비스,20220901,17285,-17236,0,0,0,0,0,0,0,-3,-46,0
A250060,모비스,20220906,-40929,40929,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220905,-16793,16793,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220908,96362,-88359,0,0,0,0,0,0,0,-7670,-333,0
A250060,모비스,20220907,-5785,5540,0,0,0,0,0,0,0,0,245,0
A250060,모비스,20220914,-72930,73201,0,0,0,0,0,0,0,1150,-1421,0
A250060,모비스,20220913,-43886,43575,1421,0,0,1421,0,0,0,0,-1110,0
A250060,모비스,20220916,-19127,19101,0,0,0,0,0,0,0,0,26,0
A250060,모비스,20220915,-16551,16551,0,0,0,0,0,0,0,0,0,0
A250060,모비스,20220920,42291,-46715,-448,0,0,0,0,0,0,3225,1647,-448
A250060,모비스,20220919,-39498,38851,0,0,0,0,0,0,0,540,107,0
A250060,모비스,20220922,-34445,40934,0,0,0,0,0,0,0,-4825,-1664,0
A250060,모비스,20220921,-49746,57135,0,0,0,0,0,0,0,-5825,-1564,0
A250060,모비스,20220923,4009,-4282,0,0,0,0,0,0,0,0,273,0
A250060,모비스,20220926,22901,-23975,573,573,0,0,0,0,0,501,0,0
A250060,모비스,20220928,-16019,15240,1,1,0,0,0,0,0,588,190,0
A250060,모비스,20220927,-28675,28097,0,0,0,0,0,0,0,588,-10,0
