종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A049480,오픈베이스,20220624,-428555,422937,1,1,0,0,0,0,0,3,5614,0
A049480,오픈베이스,20220623,-237258,232906,1385,0,0,1385,0,0,0,0,2967,0
A049480,오픈베이스,20220628,519073,-532701,8242,4696,0,3546,0,0,0,206,5180,0
A049480,오픈베이스,20220627,-35971,36996,0,0,0,0,0,0,0,2,-1027,0
A049480,오픈베이스,20220630,113623,-107624,-8242,-4696,0,-3546,0,0,0,1,2242,0
A049480,오픈베이스,20220629,36112,-29460,-8242,-4696,0,-3546,0,0,0,1,1589,0
A049480,오픈베이스,20220701,272190,-273836,0,0,0,0,0,0,0,3,1643,0
A049480,오픈베이스,20220704,-14612,11363,0,0,0,0,0,0,0,5,3244,0
A049480,오픈베이스,20220706,-362461,361913,0,0,0,0,0,0,0,3,545,0
A049480,오픈베이스,20220705,-254674,253082,0,0,0,0,0,0,0,2483,-891,0
A049480,오픈베이스,20220708,-63417,61433,0,0,0,0,0,0,0,5,1979,0
A049480,오픈베이스,20220707,-39698,38719,0,0,0,0,0,0,0,0,979,0
A049480,오픈베이스,20220712,46091,-46292,0,0,0,0,0,0,0,3,198,0
A049480,오픈베이스,20220711,-59158,60326,0,0,0,0,0,0,0,2,-1170,0
A049480,오픈베이스,20220714,-82529,82339,0,0,0,0,0,0,0,2,188,0
A049480,오픈베이스,20220713,-6468,5936,0,0,0,0,0,0,0,1,531,0
A049480,오픈베이스,20220715,47487,-48333,0,0,0,0,0,0,0,1,845,0
A049480,오픈베이스,20220718,-56691,55921,0,0,0,0,0,0,0,500,270,0
A049480,오픈베이스,20220720,148389,-151746,0,0,0,0,0,0,0,196,3161,0
A049480,오픈베이스,20220719,62104,-64687,0,0,0,0,0,0,0,200,2383,0
A049480,오픈베이스,20220722,-92512,94212,0,0,0,0,0,0,0,-553,-1147,0
A049480,오픈베이스,20220721,-74099,75975,0,0,0,0,0,0,0,-554,-1322,0
A049480,오픈베이스,20220726,-71179,70881,1,1,0,0,0,0,0,6,291,0
A049480,오픈베이스,20220725,-14253,14054,0,0,0,0,0,0,0,4,195,0
A049480,오픈베이스,20220728,448666,-445994,0,0,0,0,0,0,0,-4650,1978,0
A049480,오픈베이스,20220727,504231,-501574,0,0,0,0,0,0,0,-4650,1993,0
A049480,오픈베이스,20220729,-18616,18434,0,0,0,0,0,0,0,4,178,0
A049480,오픈베이스,20220801,-44801,43355,0,0,0,0,0,0,0,1235,211,0
A049480,오픈베이스,20220803,21722,-20196,0,0,0,0,0,0,0,-1230,-296,0
A049480,오픈베이스,20220802,42501,-42999,0,0,0,0,0,0,0,3,495,0
