종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A056080,유진로봇,20220624,-214870,217570,-8600,0,0,0,0,0,0,5102,798,-8600
A056080,유진로봇,20220623,-85227,84194,0,0,0,0,0,0,0,103,930,0
A056080,유진로봇,20220628,-21863,14408,0,0,0,0,0,0,0,5150,2305,0
A056080,유진로봇,20220627,-26366,21320,0,0,0,0,0,0,0,5150,-104,0
A056080,유진로봇,20220630,38833,-40058,0,0,0,0,0,0,0,-406,1631,0
A056080,유진로봇,20220629,-20572,17777,0,0,0,0,0,0,0,0,2795,0
A056080,유진로봇,20220701,8734,-9211,0,0,0,0,0,0,0,305,172,0
A056080,유진로봇,20220704,420,5395,0,0,0,0,0,0,0,-300,-5515,0
A056080,유진로봇,20220706,-19664,44442,0,0,0,0,0,0,0,10400,-35178,0
A056080,유진로봇,20220705,-58713,93213,0,0,0,0,0,0,0,400,-34900,0
A056080,유진로봇,20220708,127,-37579,36267,0,0,15201,0,0,0,338,847,21066
A056080,유진로봇,20220707,42152,-42708,0,0,0,0,0,0,0,338,218,0
A056080,유진로봇,20220712,32640,-39109,0,0,0,0,0,0,0,50,6419,0
A056080,유진로봇,20220711,-6393,6293,0,0,0,0,0,0,0,50,50,0
A056080,유진로봇,20220714,-23904,20576,0,0,0,0,0,0,0,951,2377,0
A056080,유진로봇,20220713,-11971,11182,0,0,0,0,0,0,0,951,-162,0
A056080,유진로봇,20220715,57365,-57947,0,0,0,0,0,0,0,138,444,0
A056080,유진로봇,20220718,-89053,69001,3922,0,0,3922,0,0,0,21718,-5588,0
A056080,유진로봇,20220720,-27073,34064,0,0,0,0,0,0,0,-1461,-5530,0
A056080,유진로봇,20220719,-34084,41414,0,0,0,0,0,0,0,-1822,-5508,0
A056080,유진로봇,20220722,20485,-20691,1,1,0,0,0,0,0,279,-74,0
A056080,유진로봇,20220721,20698,-20893,0,0,0,0,0,0,0,289,-94,0
A056080,유진로봇,20220726,-35192,40688,0,0,0,0,0,0,0,-523,-4973,0
A056080,유진로봇,20220725,-10236,15414,0,0,0,0,0,0,0,0,-5178,0
A056080,유진로봇,20220728,83919,-82856,0,0,0,0,0,0,0,-1793,730,0
A056080,유진로봇,20220727,29613,-30395,0,0,0,0,0,0,0,20,762,0
A056080,유진로봇,20220729,-59501,50310,0,0,0,0,0,0,0,10000,-809,0
A056080,유진로봇,20220801,13855,-11076,-3922,0,0,-3922,0,0,0,-26,1169,0
A056080,유진로봇,20220803,133234,-143299,0,0,0,0,0,0,0,10200,-135,0
A056080,유진로봇,20220802,119168,-129625,0,0,0,0,0,0,0,10088,369,0
A056080,유진로봇,20220805,825,11070,-12119,0,0,0,0,0,0,0,224,-12119
A056080,유진로봇,20220804,-13634,13412,0,0,0,0,0,0,0,0,222,0
A056080,유진로봇,20220809,68740,-59453,0,0,0,0,0,0,0,-10000,713,0
A056080,유진로봇,20220808,66351,-57095,0,0,0,0,0,0,0,-9912,656,0
A056080,유진로봇,20220811,13873,-14244,0,0,0,0,0,0,0,50,321,0
A056080,유진로봇,20220810,20518,-20885,0,0,0,0,0,0,0,50,317,0
A056080,유진로봇,20220812,14674,-15208,0,0,0,0,0,0,0,88,446,0
A056080,유진로봇,20220817,29663,41688,-71924,0,0,-35626,0,0,0,12,561,-36298
A056080,유진로봇,20220816,10934,60814,-71924,0,0,-35626,0,0,0,12,164,-36298
A056080,유진로봇,20220819,7427,-22351,5,5,0,0,0,0,0,20825,-5906,0
A056080,유진로봇,20220818,-12506,11432,0,0,0,0,0,0,0,6888,-5814,0
A056080,유진로봇,20220823,23684,-27722,7,7,0,0,0,0,0,3700,331,0
A056080,유진로봇,20220822,24653,-28662,4,4,0,0,0,0,0,3700,305,0
A056080,유진로봇,20220825,-53278,51501,-7,-7,0,0,0,0,0,1889,-105,0
A056080,유진로봇,20220824,-6760,5758,-4,-4,0,0,0,0,0,1000,6,0
