종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A047560,이스트소프트,20220624,-31849,45542,-13754,-75,0,-1595,0,0,0,61,0,-12084
A047560,이스트소프트,20220623,2253,10066,-12380,-34,0,-1595,0,0,0,61,0,-10751
A047560,이스트소프트,20220628,-15331,15489,41,41,0,0,0,0,0,-199,0,0
A047560,이스트소프트,20220627,-17436,17431,5,5,0,0,0,0,0,0,0,0
A047560,이스트소프트,20220630,14415,-7915,-6528,22,0,0,0,0,0,28,0,-6550
A047560,이스트소프트,20220629,2692,3850,-6545,5,0,0,0,0,0,3,0,-6550
A047560,이스트소프트,20220701,6951,-8461,1670,1670,0,0,0,0,0,-160,0,0
A047560,이스트소프트,20220704,10495,-9363,-1013,-13,-1000,0,0,0,0,-120,1,0
A047560,이스트소프트,20220706,-25844,29753,-159,58,-217,0,0,0,0,-3750,0,0
A047560,이스트소프트,20220705,-16827,16970,-143,74,-217,0,0,0,0,0,0,0
A047560,이스트소프트,20220708,8260,-8118,-142,-15,-127,0,0,0,0,0,0,0
A047560,이스트소프트,20220707,2624,-2493,-131,-4,-127,0,0,0,0,0,0,0
A047560,이스트소프트,20220712,2166,1466,116,181,-65,0,0,0,0,-3748,0,0
A047560,이스트소프트,20220711,-485,2253,107,172,-65,0,0,0,0,-1875,0,0
A047560,이스트소프트,20220714,-13170,12248,-100,19,-119,0,0,0,0,22,1000,0
A047560,이스트소프트,20220713,-5532,5603,-71,48,-119,0,0,0,0,0,0,0
A047560,이스트소프트,20220715,4769,-4818,9,9,0,0,0,0,0,40,0,0
A047560,이스트소프트,20220718,-4239,4236,-12,-12,0,0,0,0,0,15,0,0
A047560,이스트소프트,20220720,-5907,7128,-1821,27,0,0,0,0,0,600,0,-1848
A047560,이스트소프트,20220719,-2187,3436,-1859,-11,0,0,0,0,0,600,10,-1848
A047560,이스트소프트,20220722,-12408,14732,4076,76,0,0,0,0,0,-5400,-1000,4000
A047560,이스트소프트,20220721,-20808,22819,4389,47,0,342,0,0,0,-5400,-1000,4000
A047560,이스트소프트,20220726,21564,-15108,41,41,0,0,0,0,0,-6543,46,0
A047560,이스트소프트,20220725,8346,-1784,-2,-2,0,0,0,0,0,-6560,0,0
A047560,이스트소프트,20220728,13724,-12164,-1572,23,0,-1557,0,0,0,30,-18,-38
A047560,이스트소프트,20220727,4090,-2530,-1542,15,0,-1557,0,0,0,0,-18,0
A047560,이스트소프트,20220729,-4279,11344,-10,-10,0,0,0,0,0,-7055,0,0
A047560,이스트소프트,20220801,1477,3940,-5417,-2,0,-5415,0,0,0,0,0,0
A047560,이스트소프트,20220803,7128,4082,-11214,-1737,-530,-8947,0,0,0,0,4,0
A047560,이스트소프트,20220802,15934,-9961,-5976,6,0,-5982,0,0,0,0,3,0
A047560,이스트소프트,20220805,-9783,22323,-10352,7,-1159,-9400,0,0,0,-2818,630,200
A047560,이스트소프트,20220804,-13234,25626,-10574,-15,-1159,-9400,0,0,0,-1818,0,0
A047560,이스트소프트,20220809,11409,-11827,112,112,0,0,0,0,0,0,306,0
A047560,이스트소프트,20220808,11870,-11954,83,83,0,0,0,0,0,0,1,0
A047560,이스트소프트,20220811,-3171,3047,109,64,0,0,0,0,0,12,3,45
A047560,이스트소프트,20220810,7619,-7691,69,69,0,0,0,0,0,0,3,0
A047560,이스트소프트,20220812,5912,-6017,92,92,0,0,0,0,0,0,13,0
A047560,이스트소프트,20220817,-20588,7832,-8,-8,0,0,0,0,0,13264,-500,0
A047560,이스트소프트,20220816,-24628,16618,10,10,0,0,0,0,0,8500,-500,0
A047560,이스트소프트,20220819,10389,-18524,49,49,0,0,0,0,0,8086,0,0
A047560,이스트소프트,20220818,-4076,-2858,48,48,0,0,0,0,0,6886,0,0
A047560,이스트소프트,20220823,1286,-188,-1179,75,0,0,0,0,0,0,81,-1254
A047560,이스트소프트,20220822,7203,-6063,-1207,47,0,0,0,0,0,0,67,-1254
A047560,이스트소프트,20220825,-18007,3942,-5437,99,0,41,0,0,0,19502,0,-5577
A047560,이스트소프트,20220824,9709,-9788,79,79,0,0,0,0,0,0,0,0
A047560,이스트소프트,20220826,-14926,-667,-25,16,0,-41,0,0,0,15618,0,0
A047560,이스트소프트,20220829,-7199,466,-618,-42,0,-368,0,0,0,7351,0,-208
A047560,이스트소프트,20220831,-62353,37388,2,2,0,0,0,0,0,24963,0,0
A047560,이스트소프트,20220830,-13863,9116,1,1,0,0,0,0,0,4746,0,0
A047560,이스트소프트,20220902,16928,-31813,-4179,21,0,0,0,0,0,19042,22,-4200
A047560,이스트소프트,20220901,9076,-20589,11,11,0,0,0,0,0,11491,11,0
A047560,이스트소프트,20220906,-3947,571,18,18,0,0,0,0,0,3358,0,0
A047560,이스트소프트,20220905,329,-1605,6,6,0,0,0,0,0,1270,0,0
A047560,이스트소프트,20220908,-20498,494,-8,-8,0,0,0,0,0,20012,0,0
A047560,이스트소프트,20220907,1120,-4270,10,10,0,0,0,0,0,3140,0,0
A047560,이스트소프트,20220914,-36196,24803,-32,-32,0,0,0,0,0,11426,-1,0
A047560,이스트소프트,20220913,-32714,27438,-15,-15,0,0,0,0,0,5292,-1,0
A047560,이스트소프트,20220916,-27798,18334,-713,24,0,-737,0,0,0,9973,204,0
A047560,이스트소프트,20220915,-22991,20808,-753,25,0,-778,0,0,0,2936,0,0
A047560,이스트소프트,20220920,-9192,-5010,38,38,0,0,0,0,0,14164,0,0
A047560,이스트소프트,20220919,-2742,-5375,42,42,0,0,0,0,0,8075,0,0
A047560,이스트소프트,20220922,-29697,-1454,-2,-2,0,0,0,0,0,31353,-200,0
A047560,이스트소프트,20220921,-21279,12584,68,-7,0,75,0,0,0,8782,-155,0
A047560,이스트소프트,20220923,91,-7258,-136,-136,0,0,0,0,0,7303,0,0
A047560,이스트소프트,20220926,-14752,-20688,-6,-6,0,0,0,0,0,34446,1000,0
A047560,이스트소프트,20220928,-22549,-20354,-30,-30,0,0,0,0,0,42838,95,0
A047560,이스트소프트,20220927,-10322,-7221,-14,-14,0,0,0,0,0,17507,50,0
A047560,이스트소프트,20220930,-20659,-17651,63,63,0,0,0,0,0,38206,41,0
A047560,이스트소프트,20220929,-12634,-11439,-4,-4,0,0,0,0,0,24077,0,0
A047560,이스트소프트,20221004,-21820,6203,-2048,-13,0,0,0,0,0,17965,-300,-2035
A047560,이스트소프트,20221006,-2925,-7372,67,67,0,0,0,0,0,10428,-198,0
A047560,이스트소프트,20221005,6584,-12223,55,55,0,0,0,0,0,5534,50,0
A047560,이스트소프트,20221007,-12974,1265,9504,34,0,0,0,0,0,1997,208,9470
A047560,이스트소프트,20221012,-5366,-16134,9995,-5,0,0,0,0,0,11005,500,10000
A047560,이스트소프트,20221011,-3565,-12656,9996,-4,0,0,0,0,0,5725,500,10000
A047560,이스트소프트,20221014,-45631,9436,9898,15,0,0,0,0,0,26147,150,9883
A047560,이스트소프트,20221013,-8087,-9452,3,3,0,0,0,0,0,17386,150,0
A047560,이스트소프트,20221018,-22703,13064,46,46,0,0,0,0,0,9701,-108,0
A047560,이스트소프트,20221017,-10962,4245,10,10,0,0,0,0,0,6816,-109,0
A047560,이스트소프트,20221020,-12457,-5850,-29,-29,0,0,0,0,0,18437,-101,0
A047560,이스트소프트,20221019,-10045,-3040,-11,-11,0,0,0,0,0,13197,-101,0
A047560,이스트소프트,20221021,-965,3241,-19,-19,0,0,0,0,0,-2057,-200,0
A047560,이스트소프트,20221024,-12594,4843,-330,5,0,-335,0,0,0,8115,-34,0
A047560,이스트소프트,20221026,-16541,-9158,9,9,0,0,0,0,0,25690,0,0
A047560,이스트소프트,20221025,-13031,2094,14,14,0,0,0,0,0,10923,0,0
A047560,이스트소프트,20221028,-9793,-7195,3515,-4,0,0,0,0,0,13473,0,3519
A047560,이스트소프트,20221027,-5623,-3702,-13,-13,0,0,0,0,0,9338,0,0
A047560,이스트소프트,20221101,-3792,-3115,-9,-9,0,0,0,0,0,7106,-190,0
A047560,이스트소프트,20221031,-3331,-1568,10,10,0,0,0,0,0,4929,-40,0
A047560,이스트소프트,20221103,-9286,-6784,-90,-90,0,0,0,0,0,16330,-170,0
A047560,이스트소프트,20221102,-5714,-902,-77,-77,0,0,0,0,0,6663,30,0
A047560,이스트소프트,20221104,-9226,-1370,9969,-31,0,0,0,0,0,727,-100,10000
A047560,이스트소프트,20221107,-478,347,-20,-20,0,0,0,0,0,201,-50,0
A047560,이스트소프트,20221109,-6381,7713,24,24,0,0,0,0,0,-1049,-307,0
A047560,이스트소프트,20221108,-8835,9861,33,33,0,0,0,0,0,-675,-384,0
A047560,이스트소프트,20221111,-2731,-112,757,50,0,556,0,0,0,3131,-1045,151
A047560,이스트소프트,20221110,7356,-9400,60,60,0,0,0,0,0,3131,-1147,0
A047560,이스트소프트,20221115,4283,-5012,29,29,0,0,0,0,0,700,0,0
A047560,이스트소프트,20221114,3548,-3785,-63,-63,0,0,0,0,0,300,0,0
A047560,이스트소프트,20221117,-8773,4666,-65,-65,0,0,0,0,0,3861,311,0
A047560,이스트소프트,20221116,-2298,-680,-22,-22,0,0,0,0,0,2800,200,0
A047560,이스트소프트,20221118,-25133,14995,10043,43,0,0,0,0,0,695,-600,10000
A047560,이스트소프트,20221121,5696,-6336,-2,-2,0,0,0,0,0,692,-50,0
A047560,이스트소프트,20221123,-6172,4770,88,88,0,0,0,0,0,1201,113,0
A047560,이스트소프트,20221122,-254,-48,1,1,0,0,0,0,0,201,100,0
A047560,이스트소프트,20221125,-10251,16644,-800,96,0,-896,0,0,0,-5627,34,0
A047560,이스트소프트,20221124,-8844,14416,25,25,0,0,0,0,0,-5627,30,0
A047560,이스트소프트,20221129,2234,-5930,131,131,0,0,0,0,0,3527,38,0
A047560,이스트소프트,20221128,1359,-4581,117,117,0,0,0,0,0,3067,38,0
A047560,이스트소프트,20221201,1971,-2702,-95,-93,0,0,0,-2,0,898,-72,0
A047560,이스트소프트,20221130,240,-1082,16,18,0,0,0,-2,0,898,-72,0
A047560,이스트소프트,20221202,-11202,10014,5,5,0,0,0,0,0,1257,-74,0
A047560,이스트소프트,20221205,-10596,598,10013,13,0,0,0,0,0,0,-15,10000
A047560,이스트소프트,20221207,9359,-10187,86,86,0,0,0,0,0,743,-1,0
A047560,이스트소프트,20221206,-1198,448,7,7,0,0,0,0,0,743,0,0
A047560,이스트소프트,20221209,10479,-11360,-13,-13,0,0,0,0,0,2803,-1909,0
A047560,이스트소프트,20221208,11009,-9687,-15,-15,0,0,0,0,0,903,-2210,0
A047560,이스트소프트,20221213,-1019,-410,-204,3,0,-207,0,0,0,1933,-300,0
A047560,이스트소프트,20221212,646,-734,-15,-15,0,0,0,0,0,403,-300,0
A047560,이스트소프트,20221215,2227,811,-838,147,0,-985,0,0,0,-2000,-200,0
A047560,이스트소프트,20221214,1279,1566,-845,140,0,-985,0,0,0,-2000,0,0
A047560,이스트소프트,20221216,-377,283,254,12,0,114,0,0,0,-160,0,128
A047560,이스트소프트,20221219,7650,-8778,1128,7,0,0,0,0,0,0,0,1121
A047560,이스트소프트,20221221,12302,-12297,7,7,0,0,0,0,0,0,-12,0
A047560,이스트소프트,20221220,10086,-10078,4,4,0,0,0,0,0,0,-12,0
A047560,이스트소프트,20221223,377,-233,6,6,0,0,0,0,0,0,-150,0
A047560,이스트소프트,20221222,-3936,3937,-1,-1,0,0,0,0,0,0,0,0
A047560,이스트소프트,20221227,5479,-4702,3,3,0,0,0,0,0,-780,0,0
A047560,이스트소프트,20221226,4462,-3965,3,3,0,0,0,0,0,-500,0,0
A047560,이스트소프트,20221229,2457,-1314,-4,-4,0,0,0,0,0,-139,-1000,0
A047560,이스트소프트,20221228,1271,235,-6,-6,0,0,0,0,0,-500,-1000,0
A047560,이스트소프트,20230102,983,-92,7,7,0,0,0,0,0,-898,0,0
A047560,이스트소프트,20230104,-12222,-7794,20016,16,0,0,0,0,0,0,0,20000
A047560,이스트소프트,20230103,-5067,-4942,10009,9,0,0,0,0,0,0,0,10000
A047560,이스트소프트,20230106,-49132,7107,20154,154,0,0,0,0,0,21871,0,20000
A047560,이스트소프트,20230105,-14460,4320,10140,140,0,0,0,0,0,0,0,10000
A047560,이스트소프트,20230110,-58960,36982,19997,-3,0,0,0,0,0,1900,81,20000
A047560,이스트소프트,20230109,-24726,12150,9996,-4,0,0,0,0,0,2500,80,10000
A047560,이스트소프트,20230112,4372,-12746,19992,-8,0,0,0,0,0,-11638,20,20000
A047560,이스트소프트,20230111,-2221,-1351,9997,-3,0,0,0,0,0,-6445,20,10000
A047560,이스트소프트,20230113,-20565,10146,9989,-11,0,0,0,0,0,20,410,10000
A047560,이스트소프트,20230116,-24637,3042,9980,-20,0,0,0,0,0,11915,-300,10000
A047560,이스트소프트,20230118,-79027,-12228,149889,69910,0,48821,0,0,21158,-59883,1249,10000
A047560,이스트소프트,20230117,-26075,2278,41926,-5,0,31931,0,0,0,-17874,-255,10000
A047560,이스트소프트,20230120,-182,32805,-30222,-25,0,-9622,0,0,-21158,-5840,3439,583
A047560,이스트소프트,20230119,12345,16113,-27553,-16,0,-6379,0,0,-21158,-2945,2040,0
A047560,이스트소프트,20230126,6705,29871,-16902,5082,0,11473,0,0,0,-19161,-513,-33457
A047560,이스트소프트,20230125,5765,19637,7993,7993,0,0,0,0,0,-31730,-1665,0
A047560,이스트소프트,20230127,168760,-52541,-45,-6311,0,6483,0,0,0,-115299,-875,-217
A047560,이스트소프트,20230130,57735,-55301,729,407,0,322,0,0,0,-3406,243,0
A047560,이스트소프트,20230201,41307,-41062,-12697,7191,0,-19888,0,0,0,13071,-619,0
A047560,이스트소프트,20230131,42278,-37985,-10412,105,0,-10517,0,0,0,4650,1469,0
A047560,이스트소프트,20230203,-64075,42113,31464,13515,0,17935,0,0,0,-8766,-736,14
A047560,이스트소프트,20230202,-89353,70228,20276,6994,0,13397,0,0,0,-1549,398,-115
A047560,이스트소프트,20230207,-76974,56232,65448,46506,0,20348,0,0,0,-43664,-1042,-1406
A047560,이스트소프트,20230206,29700,-34409,7516,6717,0,799,0,0,0,-2999,192,0
A047560,이스트소프트,20230209,31796,-45556,58374,4862,42628,8705,0,0,0,-47807,3193,2179
A047560,이스트소프트,20230208,52907,-46290,5031,1845,14186,-11000,0,0,0,-14585,2937,0
A047560,이스트소프트,20230210,34840,-43077,11383,6020,7745,-2382,0,0,0,-1501,-1645,0
A047560,이스트소프트,20230213,39826,40205,-10872,-6257,0,-4615,0,0,0,-68817,-342,0
A047560,이스트소프트,20230215,-1842,-28578,22404,9089,6668,6647,0,0,0,10844,-2828,0
A047560,이스트소프트,20230214,38440,-39919,4269,76,3446,747,0,0,0,280,-3070,0
A047560,이스트소프트,20230217,-36576,13378,9978,-277,0,10255,0,0,0,11844,1376,0
A047560,이스트소프트,20230216,-458,-16850,4294,-246,0,4540,0,0,0,12915,99,0
A047560,이스트소프트,20230221,27612,-32126,4677,4823,0,-146,0,0,0,72,-235,0
A047560,이스트소프트,20230220,17487,-12204,-3529,-10,0,-3519,0,0,0,-1907,153,0
A047560,이스트소프트,20230223,-17263,82016,-65463,417,-18941,-10680,0,0,0,1387,-677,-36259
A047560,이스트소프트,20230222,47970,-5391,-45476,411,0,-9628,0,0,0,3067,-170,-36259
A047560,이스트소프트,20230224,-34144,51523,-17379,-873,-15756,1053,0,0,0,48,-48,-1803
A047560,이스트소프트,20230227,55336,-52816,-2007,203,0,-2210,0,0,0,-376,-137,0
A047560,이스트소프트,20230228,-24607,54888,-32339,-2,-22344,-9993,0,0,0,2028,30,0
A047560,이스트소프트,20230303,51623,-59401,7408,7408,0,0,0,0,0,-7,377,0
A047560,이스트소프트,20230302,82415,-82994,421,421,0,0,0,0,0,81,77,0
A047560,이스트소프트,20230307,-9236,8842,39,39,0,0,0,0,0,784,-429,0
A047560,이스트소프트,20230306,-16445,21004,7,7,0,0,0,0,0,-4266,-300,0
A047560,이스트소프트,20230309,-24545,22711,472,472,0,0,0,0,0,1241,121,0
A047560,이스트소프트,20230308,-24227,23288,439,439,0,0,0,0,0,500,0,0
A047560,이스트소프트,20230310,-10176,13221,-3999,-3999,0,0,0,0,0,1000,-46,0
A047560,이스트소프트,20230313,-30034,28308,53,-1533,0,0,0,0,0,1773,-100,1586
A047560,이스트소프트,20230315,182379,-121195,-56558,-32556,0,-22416,0,0,0,-6749,2123,-1586
A047560,이스트소프트,20230314,-15121,2154,-2415,-5447,0,1452,0,0,0,15382,0,1580
A047560,이스트소프트,20230317,-25728,32977,-4551,-4333,0,-218,0,0,0,-474,-2224,0
A047560,이스트소프트,20230316,26289,-22964,-1814,-1596,0,-218,0,0,0,736,-2247,0
A047560,이스트소프트,20230321,-32044,-11240,-289,-289,0,0,0,0,0,43539,34,0
A047560,이스트소프트,20230320,-8755,1152,-282,-282,0,0,0,0,0,7780,105,0
A047560,이스트소프트,20230323,-38371,352,118,118,0,0,0,0,0,37957,-56,0
A047560,이스트소프트,20230322,-32411,12139,4,4,0,0,0,0,0,20329,-61,0
A047560,이스트소프트,20230324,-49878,36575,12,12,0,0,0,0,0,12988,303,0
A047560,이스트소프트,20230327,13515,-20880,-4991,9,0,-5000,0,0,0,12577,-221,0
A047560,이스트소프트,20230329,-37023,12624,-26,-26,0,0,0,0,0,24423,2,0
A047560,이스트소프트,20230328,-43122,34493,-14,-14,0,0,0,0,0,8620,23,0
A047560,이스트소프트,20230331,-12370,-47181,-258,-258,0,0,0,0,0,60170,-361,0
A047560,이스트소프트,20230330,-12061,-6797,0,0,0,0,0,0,0,18656,202,0
A047560,이스트소프트,20230404,-55570,36679,-2,-2,0,0,0,0,0,17863,1030,0
A047560,이스트소프트,20230403,-24050,21538,13,13,0,0,0,0,0,2099,400,0
A047560,이스트소프트,20230406,-29394,-664,-1012,-10,0,-1002,0,0,0,31520,-450,0
A047560,이스트소프트,20230405,-9346,5986,-1011,-9,0,-1002,0,0,0,4768,-397,0
A047560,이스트소프트,20230407,-203,-9774,19,19,0,0,0,0,0,9948,10,0
A047560,이스트소프트,20230410,-4160,-13346,-5977,-5977,0,0,0,0,0,23522,-39,0
A047560,이스트소프트,20230412,-22826,4096,-1295,-1295,0,0,0,0,0,20093,-68,0
A047560,이스트소프트,20230411,-5548,-801,-800,-800,0,0,0,0,0,7182,-33,0
A047560,이스트소프트,20230414,-34755,10582,-7608,-7608,0,0,0,0,0,31683,98,0
A047560,이스트소프트,20230413,-23378,6860,-7685,-7685,0,0,0,0,0,24103,100,0
A047560,이스트소프트,20230418,-7193,-9048,-7932,-2866,0,-5066,0,0,0,23772,401,0
A047560,이스트소프트,20230417,-3373,1036,-4558,-1482,0,-3076,0,0,0,6894,1,0
A047560,이스트소프트,20230420,-15345,15285,-4412,-3104,0,-901,0,0,0,4471,1,-407
A047560,이스트소프트,20230419,-27723,25405,-778,123,0,-901,0,0,0,3095,1,0
A047560,이스트소프트,20230421,-13510,4876,583,583,0,0,0,0,0,8258,-207,0
A047560,이스트소프트,20230424,-16972,1781,-280,46,0,-326,0,0,0,15470,1,0
A047560,이스트소프트,20230426,-18469,8180,-4217,-1433,0,-2784,0,0,0,14507,-1,0
A047560,이스트소프트,20230425,9477,-14430,-47,25,0,-72,0,0,0,5000,0,0
A047560,이스트소프트,20230428,-49503,24687,-487,-6,0,-481,0,0,0,26581,-1278,0
A047560,이스트소프트,20230427,-11605,-8288,-24,29,0,-53,0,0,0,20158,-241,0
A047560,이스트소프트,20230502,39383,-35436,2285,208,0,2077,0,0,0,-6604,372,0
A047560,이스트소프트,20230504,-28257,21353,-2869,-953,0,-1916,0,0,0,10377,-604,0
A047560,이스트소프트,20230503,20103,-22352,99,-972,0,1071,0,0,0,2249,-99,0
A047560,이스트소프트,20230508,-30039,21572,-101,22,0,-123,0,0,0,8480,88,0
A047560,이스트소프트,20230510,10560,-19249,3598,3636,0,-38,0,0,0,4865,226,0
A047560,이스트소프트,20230509,-6561,386,3620,3636,0,-16,0,0,0,2330,225,0
A047560,이스트소프트,20230512,-40487,41211,-3393,-3393,0,0,0,0,0,2097,572,0
A047560,이스트소프트,20230511,-30245,28603,50,50,0,0,0,0,0,1615,-23,0
A047560,이스트소프트,20230516,4803,-5405,38,38,0,0,0,0,0,1195,-631,0
A047560,이스트소프트,20230515,5410,-5871,17,17,0,0,0,0,0,1195,-751,0
A047560,이스트소프트,20230518,-15487,15718,3,3,0,0,0,0,0,-4,-230,0
A047560,이스트소프트,20230517,-11425,10877,4,4,0,0,0,0,0,564,-20,0
A047560,이스트소프트,20230519,-7114,13505,551,490,0,61,0,0,0,-6997,55,0
A047560,이스트소프트,20230522,4950,-5561,-13,-13,0,0,0,0,0,402,222,0
A047560,이스트소프트,20230524,227568,-32602,13540,3818,0,-61,0,0,0,-211344,2838,9783
