¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A239340,¡‹¿Œ≈Õ≥›,20220624,-127128,126603,0,0,0,0,0,0,0,0,525,0
A239340,¡‹¿Œ≈Õ≥›,20220623,-5608,5433,0,0,0,0,0,0,0,0,175,0
A239340,¡‹¿Œ≈Õ≥›,20220628,68723,-67825,0,0,0,0,0,0,0,1,-899,0
A239340,¡‹¿Œ≈Õ≥›,20220627,-27844,29075,0,0,0,0,0,0,0,1,-1232,0
A239340,¡‹¿Œ≈Õ≥›,20220630,173152,-174870,0,0,0,0,0,0,0,247,1471,0
A239340,¡‹¿Œ≈Õ≥›,20220629,5614,-10211,0,0,0,0,0,0,0,2819,1778,0
A239340,¡‹¿Œ≈Õ≥›,20220701,39821,-38524,0,0,0,0,0,0,0,-247,-1050,0
A239340,¡‹¿Œ≈Õ≥›,20220704,-91789,89436,0,0,0,0,0,0,0,0,2353,0
A239340,¡‹¿Œ≈Õ≥›,20220706,-207423,208611,0,0,0,0,0,0,0,0,-1188,0
A239340,¡‹¿Œ≈Õ≥›,20220705,-146270,145458,0,0,0,0,0,0,0,0,812,0
A239340,¡‹¿Œ≈Õ≥›,20220708,-52142,53550,0,0,0,0,0,0,0,-499,-909,0
A239340,¡‹¿Œ≈Õ≥›,20220707,-40570,40570,0,0,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220712,112275,-112500,0,0,0,0,0,0,0,0,225,0
A239340,¡‹¿Œ≈Õ≥›,20220711,4818,-4742,0,0,0,0,0,0,0,0,-76,0
A239340,¡‹¿Œ≈Õ≥›,20220714,-43040,42260,0,0,0,0,0,0,0,780,0,0
A239340,¡‹¿Œ≈Õ≥›,20220713,-21705,20925,0,0,0,0,0,0,0,780,0,0
A239340,¡‹¿Œ≈Õ≥›,20220715,31038,-34258,0,0,0,0,0,0,0,1220,2000,0
A239340,¡‹¿Œ≈Õ≥›,20220718,-54868,55346,0,0,0,0,0,0,0,0,-478,0
A239340,¡‹¿Œ≈Õ≥›,20220720,-11026,13054,0,0,0,0,0,0,0,0,-2028,0
A239340,¡‹¿Œ≈Õ≥›,20220719,-11930,13930,0,0,0,0,0,0,0,0,-2000,0
A239340,¡‹¿Œ≈Õ≥›,20220722,46099,-49001,1,1,0,0,0,0,0,3009,-108,0
A239340,¡‹¿Œ≈Õ≥›,20220721,26008,-29298,0,0,0,0,0,0,0,3010,280,0
A239340,¡‹¿Œ≈Õ≥›,20220726,-18081,17080,0,0,0,0,0,0,0,1,1000,0
A239340,¡‹¿Œ≈Õ≥›,20220725,-5463,4840,0,0,0,0,0,0,0,0,623,0
A239340,¡‹¿Œ≈Õ≥›,20220728,182972,-186585,3781,0,0,3781,0,0,0,-1742,1574,0
A239340,¡‹¿Œ≈Õ≥›,20220727,188407,-192049,0,0,0,0,0,0,0,945,2697,0
A239340,¡‹¿Œ≈Õ≥›,20220729,3140,472,-3781,0,0,-3781,0,0,0,-32,201,0
A239340,¡‹¿Œ≈Õ≥›,20220801,-19159,19493,0,0,0,0,0,0,0,-124,-210,0
A239340,¡‹¿Œ≈Õ≥›,20220803,67839,-70455,0,0,0,0,0,0,0,2991,-375,0
A239340,¡‹¿Œ≈Õ≥›,20220802,89410,-89026,0,0,0,0,0,0,0,-9,-375,0
A239340,¡‹¿Œ≈Õ≥›,20220805,-22669,21802,0,0,0,0,0,0,0,1000,-133,0
A239340,¡‹¿Œ≈Õ≥›,20220804,-49907,50047,0,0,0,0,0,0,0,0,-140,0
A239340,¡‹¿Œ≈Õ≥›,20220809,11528,-11426,0,0,0,0,0,0,0,0,-102,0
A239340,¡‹¿Œ≈Õ≥›,20220808,16557,-16455,0,0,0,0,0,0,0,0,-102,0
A239340,¡‹¿Œ≈Õ≥›,20220811,24102,-23732,0,0,0,0,0,0,0,200,-570,0
A239340,¡‹¿Œ≈Õ≥›,20220810,26369,-26299,0,0,0,0,0,0,0,0,-70,0
A239340,¡‹¿Œ≈Õ≥›,20220812,-16664,16594,0,0,0,0,0,0,0,1,69,0
A239340,¡‹¿Œ≈Õ≥›,20220817,16528,-17031,0,0,0,0,0,0,0,-1001,1504,0
A239340,¡‹¿Œ≈Õ≥›,20220816,-44061,44693,0,0,0,0,0,0,0,-999,367,0
A239340,¡‹¿Œ≈Õ≥›,20220819,22569,-20058,4,4,0,0,0,0,0,-3000,485,0
A239340,¡‹¿Œ≈Õ≥›,20220818,10628,-10113,0,0,0,0,0,0,0,-1000,485,0
A239340,¡‹¿Œ≈Õ≥›,20220823,24536,-23543,5,5,0,0,0,0,0,-998,0,0
A239340,¡‹¿Œ≈Õ≥›,20220822,-2200,3195,3,3,0,0,0,0,0,-998,0,0
A239340,¡‹¿Œ≈Õ≥›,20220825,-32955,32577,-5,-5,0,0,0,0,0,2,381,0
A239340,¡‹¿Œ≈Õ≥›,20220824,-22560,22563,-3,-3,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220826,4791,-4781,0,0,0,0,0,0,0,0,-10,0
A239340,¡‹¿Œ≈Õ≥›,20220829,-16137,16139,-2,-2,0,0,0,0,0,0,0,0
A239340,¡‹¿Œ≈Õ≥›,20220831,-27438,27187,-1,-1,0,0,0,0,0,1,251,0
A239340,¡‹¿Œ≈Õ≥›,20220830,-11829,11828,-1,-1,0,0,0,0,0,1,1,0
A239340,¡‹¿Œ≈Õ≥›,20220902,-5822,3233,0,0,0,0,0,0,0,0,2589,0
A239340,¡‹¿Œ≈Õ≥›,20220901,10230,-10580,0,0,0,0,0,0,0,0,350,0
A239340,¡‹¿Œ≈Õ≥›,20220906,-25404,25039,0,0,0,0,0,0,0,0,365,0
A239340,¡‹¿Œ≈Õ≥›,20220905,383,-748,0,0,0,0,0,0,0,0,365,0
A239340,¡‹¿Œ≈Õ≥›,20220908,8960,-9711,0,0,0,0,0,0,0,0,751,0
A239340,¡‹¿Œ≈Õ≥›,20220907,17075,-17826,0,0,0,0,0,0,0,0,751,0
A239340,¡‹¿Œ≈Õ≥›,20220914,-58299,58394,0,0,0,0,0,0,0,1,-96,0
A239340,¡‹¿Œ≈Õ≥›,20220913,-44897,44894,0,0,0,0,0,0,0,1,2,0
A239340,¡‹¿Œ≈Õ≥›,20220916,18228,-19555,0,0,0,0,0,0,0,998,329,0
A239340,¡‹¿Œ≈Õ≥›,20220915,6278,-6175,0,0,0,0,0,0,0,0,-103,0
A239340,¡‹¿Œ≈Õ≥›,20220920,-8811,8852,0,0,0,0,0,0,0,-34,-7,0
A239340,¡‹¿Œ≈Õ≥›,20220919,17211,-17204,0,0,0,0,0,0,0,0,-7,0
A239340,¡‹¿Œ≈Õ≥›,20220922,-9657,9664,0,0,0,0,0,0,0,0,-7,0
