曽鯉坪球,曽鯉誤,劾促,鯵昔,須厩昔,奄淫域,榎清燈切,左蝿,燈重,精楳,奄展榎清,尻奄榎,奄展狛昔,奄展須昔,紫乞呑球
A035720,朝朝神,20220624,-946036,361767,575041,550149,6843,33001,1322,-5117,-62330,13116,-3888,51173
A035720,朝朝神,20220623,-214684,-102367,296656,296105,6677,11533,340,-1011,-27228,22429,-2034,10240
A035720,朝朝神,20220628,216104,77153,-296655,-197083,18951,2691,551,473,-83068,5949,-2551,-39170
A035720,朝朝神,20220627,61322,-14990,-54951,-166114,27509,18655,537,473,51764,7351,1268,12225
A035720,朝朝神,20220630,88723,432748,-521794,-203133,6018,-9880,0,-418,-188817,-208,531,-125564
A035720,朝朝神,20220629,-53931,302460,-241883,-121763,409,-2143,0,0,-42821,-6227,-419,-75565
A035720,朝朝神,20220701,448958,-211764,-260998,-59462,-10877,-30713,14,-1100,-60456,23150,654,-98404
A035720,朝朝神,20220704,-180088,45339,141713,177277,1861,-3600,0,-430,-2993,-6738,-226,-30402
A035720,朝朝神,20220706,-912230,254742,650217,-81198,126274,211617,811,-1034,188603,12900,-5629,205144
A035720,朝朝神,20220705,-457057,152543,304763,-11263,24420,74124,0,-376,125162,1734,-1983,92696
A035720,朝朝神,20220708,539925,-226191,-327006,-95781,-16185,-23296,370,-503,-22882,4987,8285,-168729
A035720,朝朝神,20220707,182378,-179301,-8133,28710,5409,11233,0,214,28841,2298,2758,-82540
A035720,朝朝神,20220712,85348,216112,-295460,-85633,-14279,-38523,0,-185,3561,612,-6612,-160401
A035720,朝朝神,20220711,51032,64901,-119942,-7769,-2538,-16941,0,-185,-196,4375,-366,-92313
A035720,朝朝神,20220714,-366233,-92066,476815,150443,57063,40094,-466,69,198273,-17256,-1260,31339
A035720,朝朝神,20220713,-248264,-4041,260471,133936,949,23470,-466,0,19153,-7568,-598,83429
A035720,朝朝神,20220715,522053,-316207,-168410,-150707,-1033,-14329,0,0,8993,-38971,1535,-11334
A035720,朝朝神,20220718,-394176,119919,293242,40769,39252,26224,3937,1528,166926,-17777,-1208,14606
A035720,朝朝神,20220720,-57548,-128488,197978,33686,26213,28793,2636,257,78009,-11030,-912,28384
A035720,朝朝神,20220719,57070,-20692,-31928,-7779,16084,13838,1783,-60,-45733,-6222,1772,-10061
A035720,朝朝神,20220722,342702,-19793,-330223,-166232,-26794,4334,120,410,-137991,3755,3559,-4070
A035720,朝朝神,20220721,-66019,119425,-54744,-31348,1043,21846,120,-200,-69780,841,497,23575
