종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A402030,코난테크놀로지,20220708,673521,-146153,-522333,-59081,-1379,-121816,-497,-19961,-1015,-10159,5124,-318584
A402030,코난테크놀로지,20220707,632220,-147841,-502449,-46102,-1379,-121296,-497,-19768,-874,13114,4956,-312533
A402030,코난테크놀로지,20220712,-1682,385,156,1300,0,3029,0,0,-500,4869,-3728,-3673
A402030,코난테크놀로지,20220711,-1689,-2497,1751,2500,0,0,0,0,0,5181,-2746,-749
A402030,코난테크놀로지,20220714,5095,1189,-1029,2000,0,-3029,0,0,0,-5655,400,0
A402030,코난테크놀로지,20220713,3734,528,-1029,2000,0,-3029,0,0,0,-3805,572,0
A402030,코난테크놀로지,20220715,1212,-1754,-726,-720,0,0,0,0,0,-6,1274,-6
A402030,코난테크놀로지,20220718,-4585,4472,-117,0,0,-117,0,0,0,226,4,0
A402030,코난테크놀로지,20220720,3345,-4403,-1066,-703,0,35,0,0,0,-156,2280,-398
A402030,코난테크놀로지,20220719,3434,-2687,-1048,-700,0,50,0,0,0,-226,527,-398
A402030,코난테크놀로지,20220722,4564,-2892,-1363,0,0,-928,0,0,0,0,-309,-435
A402030,코난테크놀로지,20220721,762,1200,-963,0,0,-963,0,0,0,0,-999,0
A402030,코난테크놀로지,20220726,1180,2036,-70,0,0,-70,0,0,0,-1120,-2026,0
A402030,코난테크놀로지,20220725,-143,2911,-70,0,0,-70,0,0,0,70,-2768,0
A402030,코난테크놀로지,20220728,349,-437,-1,0,0,0,0,0,0,0,89,-1
A402030,코난테크놀로지,20220727,1996,-2352,0,0,0,0,0,0,0,0,356,0
A402030,코난테크놀로지,20220729,-4761,3839,0,0,0,0,0,0,0,570,352,0
A402030,코난테크놀로지,20220801,5808,-5757,0,0,0,0,0,0,0,-184,133,0
A402030,코난테크놀로지,20220803,-1482,1330,-52,-52,0,0,0,0,0,0,204,0
A402030,코난테크놀로지,20220802,467,-679,0,0,0,0,0,0,0,0,212,0
A402030,코난테크놀로지,20220805,-4514,5488,0,0,0,0,0,0,0,53,-1027,0
A402030,코난테크놀로지,20220804,-12436,13399,0,0,0,0,0,0,0,0,-963,0
A402030,코난테크놀로지,20220809,18658,-5720,-12988,-52,0,-113,0,0,0,-40,90,-12823
A402030,코난테크놀로지,20220808,15864,-2853,-12988,-52,0,-113,0,0,0,-23,0,-12823
A402030,코난테크놀로지,20220811,5312,-4265,-1642,0,0,-618,0,0,0,642,-47,-1024
A402030,코난테크놀로지,20220810,450,-467,-753,0,0,0,0,0,0,805,-35,-753
A402030,코난테크놀로지,20220812,-11929,390,11000,11000,0,0,0,0,0,304,235,0
A402030,코난테크놀로지,20220817,-20136,18297,-3189,-3022,0,0,0,-167,0,6017,-989,0
