종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A031820,콤텍시스템,20220624,-442916,444753,-636,35,0,0,0,0,-671,1000,-2201,0
A031820,콤텍시스템,20220623,-147315,136191,12325,22,0,0,0,0,12303,1000,-2201,0
A031820,콤텍시스템,20220628,57461,-57537,75,-8,0,0,0,0,0,0,1,83
A031820,콤텍시스템,20220627,-5093,5015,77,-6,0,0,0,0,0,0,1,83
A031820,콤텍시스템,20220630,85417,-94189,12611,106,0,0,0,0,12200,3,-3842,305
A031820,콤텍시스템,20220629,-15488,7588,12242,21,0,0,0,0,12200,0,-4342,21
A031820,콤텍시스템,20220701,100627,-100562,-68,95,0,0,0,0,-163,3,0,0
A031820,콤텍시스템,20220704,53217,-55584,233,218,0,0,0,0,0,-1195,3329,15
A031820,콤텍시스템,20220706,-73259,69940,443,279,0,0,0,0,0,3205,-329,164
A031820,콤텍시스템,20220705,-82082,80783,423,259,0,0,0,0,0,1205,-329,164
A031820,콤텍시스템,20220708,38707,-42323,389,146,0,0,0,0,0,3000,227,243
A031820,콤텍시스템,20220707,59604,-61942,338,95,0,0,0,0,0,2000,0,243
A031820,콤텍시스템,20220712,381934,-200337,-182353,203,0,-23777,0,0,0,1006,-250,-158779
A031820,콤텍시스템,20220711,95688,-3851,-91838,19,0,-23777,0,0,0,1,0,-68080
A031820,콤텍시스템,20220714,150320,34029,-184951,-19,0,-117638,0,0,0,602,0,-67294
A031820,콤텍시스템,20220713,81138,9482,-90620,-16,0,-23310,0,0,0,0,0,-67294
A031820,콤텍시스템,20220715,76078,-78101,23,23,0,0,0,0,0,0,2000,0
A031820,콤텍시스템,20220718,-98098,100101,-3,-3,0,0,0,0,0,0,-2000,0
A031820,콤텍시스템,20220720,-80399,72470,253,294,0,0,0,0,0,0,7676,-41
A031820,콤텍시스템,20220719,-47329,47332,-3,-3,0,0,0,0,0,0,0,0
A031820,콤텍시스템,20220722,-82668,86444,-63,-22,0,0,0,0,0,-4436,723,-41
A031820,콤텍시스템,20220721,-52432,57051,-118,-77,0,0,0,0,0,-4501,0,-41
A031820,콤텍시스템,20220726,-64055,60625,65,65,0,0,0,0,0,3365,0,0
A031820,콤텍시스템,20220725,-33859,31917,-123,-123,0,0,0,0,0,2065,0,0
A031820,콤텍시스템,20220728,35305,-36572,1267,740,0,0,0,0,0,0,0,527
A031820,콤텍시스템,20220727,69031,-70171,1140,613,0,0,0,0,0,0,0,527
A031820,콤텍시스템,20220729,-63473,62766,777,777,0,0,0,0,0,0,-70,0
A031820,콤텍시스템,20220801,-14644,14256,388,382,0,0,0,0,6,0,0,0
A031820,콤텍시스템,20220803,-78233,96550,-18900,-19222,0,0,0,0,0,0,583,322
A031820,콤텍시스템,20220802,-23459,23114,347,186,0,0,0,0,0,0,-2,161
A031820,콤텍시스템,20220805,-14140,31355,-1728,-4009,0,0,0,0,2281,1058,-16545,0
A031820,콤텍시스템,20220804,13437,1415,-1617,-3898,0,0,0,0,2281,1000,-14235,0
A031820,콤텍시스템,20220809,-88078,73195,-234,-73,0,0,0,0,0,15116,1,-161
A031820,콤텍시스템,20220808,-16886,16821,7,7,0,0,0,0,0,58,0,0
A031820,콤텍시스템,20220811,-28353,18886,-274,-274,0,0,0,0,0,9838,-97,0
