종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A060280,큐렉소,20220624,-14485,13602,543,1,0,542,0,0,0,0,340,0
A060280,큐렉소,20220623,3312,-3653,0,0,0,0,0,0,0,0,341,0
A060280,큐렉소,20220628,2257,-1707,-542,0,0,-542,0,0,0,0,-8,0
A060280,큐렉소,20220627,599,-39,-542,0,0,-542,0,0,0,0,-18,0
A060280,큐렉소,20220630,-6107,6029,0,0,0,0,0,0,0,0,78,0
A060280,큐렉소,20220629,-6420,6417,0,0,0,0,0,0,0,0,3,0
A060280,큐렉소,20220701,3164,-3177,0,0,0,0,0,0,0,0,13,0
A060280,큐렉소,20220704,3057,-3713,0,0,0,0,0,0,0,0,656,0
A060280,큐렉소,20220706,-27825,1163,0,0,0,0,0,0,0,26724,-62,0
A060280,큐렉소,20220705,-11837,1343,0,0,0,0,0,0,0,10551,-57,0
A060280,큐렉소,20220708,-11672,11137,0,0,0,0,0,0,0,4776,-4241,0
A060280,큐렉소,20220707,-5184,608,0,0,0,0,0,0,0,4276,300,0
A060280,큐렉소,20220712,-8779,-2061,0,0,0,0,0,0,0,9562,1278,0
A060280,큐렉소,20220711,-246,14,0,0,0,0,0,0,0,-38,270,0
A060280,큐렉소,20220714,-5231,-2219,0,0,0,0,0,0,0,6900,550,0
A060280,큐렉소,20220713,-543,-1918,0,0,0,0,0,0,0,2341,120,0
A060280,큐렉소,20220715,-498,-462,0,0,0,0,0,0,0,10,950,0
A060280,큐렉소,20220718,-35520,7573,0,0,0,0,0,0,0,30500,-2553,0
A060280,큐렉소,20220720,-80204,15162,0,0,0,0,0,0,0,81258,-16216,0
A060280,큐렉소,20220719,-82221,28646,0,0,0,0,0,0,0,69658,-16083,0
A060280,큐렉소,20220722,-28020,-7943,-999,-999,0,0,0,0,0,37000,-38,0
A060280,큐렉소,20220721,-16220,-1742,-1000,-1000,0,0,0,0,0,19000,-38,0
A060280,큐렉소,20220726,-14131,892,0,0,0,0,0,0,0,11741,1498,0
A060280,큐렉소,20220725,30,-2469,0,0,0,0,0,0,0,2439,0,0
A060280,큐렉소,20220728,137,-3731,0,0,0,0,0,0,0,3094,500,0
A060280,큐렉소,20220727,-3052,-55,0,0,0,0,0,0,0,3118,-11,0
A060280,큐렉소,20220729,-14404,6212,0,0,0,0,0,0,0,8692,-500,0
A060280,큐렉소,20220801,-4062,3822,0,0,0,0,0,0,0,240,0,0
A060280,큐렉소,20220803,-6707,8931,0,0,0,0,0,0,0,202,-2426,0
A060280,큐렉소,20220802,-4053,6952,0,0,0,0,0,0,0,2,-2901,0
A060280,큐렉소,20220805,2760,-807,-2003,0,0,-2003,0,0,0,50,0,0
A060280,큐렉소,20220804,3749,-3799,0,0,0,0,0,0,0,50,0,0
A060280,큐렉소,20220809,-20685,27355,0,0,0,0,0,0,0,-2728,-3942,0
A060280,큐렉소,20220808,-14779,21459,0,0,0,0,0,0,0,-2728,-3952,0
A060280,큐렉소,20220811,19842,-19802,0,0,0,0,0,0,0,30,-70,0
A060280,큐렉소,20220810,9924,-9854,0,0,0,0,0,0,0,0,-70,0
A060280,큐렉소,20220812,-12128,-72,0,0,0,0,0,0,0,12200,0,0
A060280,큐렉소,20220817,-1259,-9006,0,0,0,0,0,0,0,10229,36,0
A060280,큐렉소,20220816,5060,-8770,0,0,0,0,0,0,0,3674,36,0
A060280,큐렉소,20220819,-5085,-1422,6,6,0,0,0,0,0,5000,1501,0
A060280,큐렉소,20220818,-12793,6793,0,0,0,0,0,0,0,5000,1000,0
A060280,큐렉소,20220823,6994,-7875,7,7,0,0,0,0,0,0,874,0
A060280,큐렉소,20220822,7179,-7257,4,4,0,0,0,0,0,0,74,0
A060280,큐렉소,20220825,-4998,4855,-7,-7,0,0,0,0,0,0,150,0
A060280,큐렉소,20220824,-1914,1875,-4,-4,0,0,0,0,0,0,43,0
A060280,큐렉소,20220826,2307,-2307,0,0,0,0,0,0,0,0,0,0
