종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A041460,한국전자인증,20220624,-299099,339704,-41000,-41000,0,0,0,0,0,1681,-1286,0
A041460,한국전자인증,20220623,-147509,91822,55000,55000,0,0,0,0,0,1680,-993,0
A041460,한국전자인증,20220628,-52906,82885,-29901,-29901,0,0,0,0,0,200,-278,0
A041460,한국전자인증,20220627,-38081,67385,-29901,-29901,0,0,0,0,0,0,597,0
A041460,한국전자인증,20220630,72322,-74621,0,0,0,0,0,0,0,716,1583,0
A041460,한국전자인증,20220629,68401,-69379,0,0,0,0,0,0,0,408,570,0
A041460,한국전자인증,20220701,85934,-88594,-44,0,0,0,0,0,0,3208,-504,-44
A041460,한국전자인증,20220704,-26171,26141,0,0,0,0,0,0,0,9,21,0
A041460,한국전자인증,20220706,-121085,120502,-1,-1,0,0,0,0,0,18,566,0
A041460,한국전자인증,20220705,-84663,84460,0,0,0,0,0,0,0,10,193,0
A041460,한국전자인증,20220708,-2723,1987,0,0,0,0,0,0,0,416,320,0
A041460,한국전자인증,20220707,11240,-11848,0,0,0,0,0,0,0,408,200,0
A041460,한국전자인증,20220712,-28133,30908,0,0,0,0,0,0,0,-1484,-1291,0
A041460,한국전자인증,20220711,-31140,32422,0,0,0,0,0,0,0,8,-1290,0
A041460,한국전자인증,20220714,-32797,32670,0,0,0,0,0,0,0,16,111,0
A041460,한국전자인증,20220713,-16675,16667,0,0,0,0,0,0,0,8,0,0
A041460,한국전자인증,20220715,11323,-11313,0,0,0,0,0,0,0,208,-218,0
A041460,한국전자인증,20220718,-37410,37411,0,0,0,0,0,0,0,8,-9,0
A041460,한국전자인증,20220720,-19800,20004,-1,-1,0,0,0,0,0,616,-819,0
A041460,한국전자인증,20220719,-14041,14034,-1,-1,0,0,0,0,0,8,0,0
A041460,한국전자인증,20220722,203886,-205964,0,0,0,0,0,0,0,3815,-1737,0
A041460,한국전자인증,20220721,192522,-194565,0,0,0,0,0,0,0,3707,-1664,0
A041460,한국전자인증,20220726,28463,-29506,0,0,0,0,0,0,0,908,135,0
