date,title,content
2023.03.29. 오전 11:37,"
			위지윅스튜디오 “AI 트윈…내가 좋아하는 스타가 내 이름 불러줘”…셀바스AI·메라커와 MOU
		","[
 
[마이데일리 = 이지혜 기자] 내가 좋아하는 스타의 AI(인공지능)와 얼굴을 마주하고 대화를 나누는 것이 가능해진다. ‘재벌집 막내아들’의 위지윅스튜디오는 관계사인 셀바스AI, 메라커와 ‘AI 기반 디지털트윈 공동개발 및 사업협력’에 관한 업무협약을 체결했다고 29일 밝혔다. AI 기반 디지털 트윈은 실재하는 배우, 가수, 예능인 등 아티스트와 인플루언서를 기반으로 영상·음성을 학습한 개인이 가진 시공간의 물리적 한계를 뛰어넘는 효율을 발휘하게 하는 것을 골자로 한다.이번 업무협약으로 위지윅은 전체적인 디지털트윈 사업모델 구축과 소속 아티스트· 인플루언서의 참여, CG 기반 비주얼 솔루션을 제공하는 역할을 한다. 셀바스는 AI 기반 음성합성(TTS), 음성인식(STT) 등 음성지능 솔루션과 인공지능 융복합 기술을 제공한다. 메라커는 AI 기반 영상촬영, 영상생성, 영상조작 및 디퓨전 기반 영상 생성 조작 알고리즘 등을 작업한다. 
3사의 협업으로 ‘아티스트의 개인화’가 가능하다. 특정 아티스트의 모습과 음성을 AI 학습 알고리즘을 통해 학습시키고, 이를 소비자 개인에게 맞춤 형태로 서비스하는 방식도 가능하다. 앞서 위지윅은 수년간 AI 기업에 대해 꾸준히 투자해왔다. 위지윅은 지난 2021년 시어스랩 투자를 시작으로 같은 해 메라커, 다음해 셀바스에 대한 투자를 진행하며 AI 기술과 유관 밸류체인 확보에 힘써 왔다. 이번 디지털트윈 공동개발 및 사업협력 업무협약은 그동안 AI 기업에 대한 투자가 단순 재무적 투자자로서 성격이 아닌 실질적인 사업파트너를 확보하는 전략적 투자자 차원에서  진행했다. 박관우 위지윅 대표는 “AI트윈은 배우나 아이돌 등 아티스트가 한시성이라는 핸디캡을 넘어 하나의 IP(지식재산권)로 다시 태어나게 해줄 것”이라며 “위지윅그룹의 영화, 드라마, 예능 출연뿐 아니라 광고모델활동 등 다양한 비즈니스 모델로로 활용 가능하다”고 소개했다. (이지혜 기자 imari@mydaily.co.kr)
]"
2023-06-29,"KB증권, 회사채·주식 발행 동시석권 '기염'","[
채권 강자 NH투자證 2위 올라주식부문 삼성證·미래에셋 順



회사채 발행 시장의 전통 강자인 KB증권이 올해 상반기 주식 발행 시장에서도 선두를 달리고있다. KB증권은 대어가 사라진 기업공개(IPO) 시장에서 연이은 유상증자 주관 실적에 힘입어 상반기 채권뿐 아니라 주식 발행 부문까지 1위를 꿰찼다.29일 매일경제 레이더M에 따르면 KB증권은 연초 이후 주식발행시장(ECM)에서 총 4757억원의 거래를 대표로 주관했다. KB증권은 연초 롯데케미칼 유상증자를 시작으로 자비스, 대성창투, 셀바스헬스케어, 셀바스AI, KEC까지 꾸준히 실적을 쌓고 있다.상반기 주식발행시장 2위와 3위는 각각 삼성증권과 미래에셋증권이 차지하며 각축을 벌이고 있다. 총 3662억원을 대표주관한 삼성증권은 상반기 IPO 시장 최대어인 반도체 기판 검사 기업 '기가비스'(공모가 기준 기업가치 5451억원) 상장을 주관하며 주목을 받았다. 미래에셋증권도 연초 한주라이트메탈부터 스튜디오미르, 트루엔, 모니터랩 등 꾸준히 상장 주관을 맡으며 상반기 총 3504억원을 대표주관했다. 삼성증권을 바짝 따라붙고 있다.하반기 주식발행시장은 '대어'의 상장 결과가 큰 영향을 미칠 것으로 보인다. 서울보증보험, 파두, 두산로보틱스 등 조 단위 대어가 상장의 문을 두드리기 때문이다. 상장예비심사가 지연되고 있는 에코프로머티리얼즈와 심사 청구를 검토 중인 LG CNS도 기업가치 수조 원 규모 대어로 꼽힌다.KB증권은 채권발행시장(DCM) 부문에서도 1위에 올랐다. DCM에서는 전통 강호 간 1, 2위 자리 다툼이 이어졌다. KB증권과 NH투자증권이 나란히 1위와 2위에 올랐다. KB증권은 올해 상반기에 19조6230억원 규모 회사채(여신전문채권·자산유동화증권 포함)를 대표 주관했다. NH투자증권은 같은 기간 17조6708억원의 채권 발행을 맡았다.DCM 부문 투톱으로 꼽히는 KB증권과 NH투자증권은 KT, 포스코, LG화학, LG에너지솔루션 등 발행 규모가 수천억 원에서 조 단위를 넘어서는 발행에 대부분 빠짐없이 참여했다. 1분기까지만 해도 양사의 순위는 1, 2위가 NH투자증권, KB증권으로 주관 금액 차이가 1조원 내외에 불과했다.신한투자증권의 약진도 눈에 띈다. 신한투자증권은 수년간 채권 발행 주관 실적 상위 5위 안에 든 경우가 없었다. 상반기에 5조8949억원의 회사채 발행 주관을 맡았다.자기자본 기준 중형사로 분류되는 SK증권은 대형사 간 경쟁에서도 여전히 주관 실적 상위에 이름을 올렸다. SK증권은 SK그룹이 매각해 계열사에서 제외된 후에도 SK그룹 계열사 회사채 인수단에 매번 이름을 올렸다. SK그룹은 올해 상반기에 SK하이닉스가 단일 발행으로 최대 발행액인 1조3900억원을 발행하는 등 자금조달 시장의 큰손으로 꼽힌다.[강봉진 기자 / 오대석 기자]
]"
2023-06-28,오늘의 증시일정(6월 29일),"[
			◇신규상장=시큐센◇유상납입일=셀바스에이아이 한국전자홀딩스◇추가상장=예스티 엔케이맥스(우선주의 보통주 전환) 에이프릴바이오(주식매수선택권) 미래생명자원 디에이테크놀로지(CB)
]"
2023-06-28,"[투자노트] AI 관련주, 엔비디아가 아니어도 괜찮아","[
			        최근 한 펀드매니저에게 미국 반도체 기업 엔비디아의 주가 전망에 대해 물었다. 엔비디아는 챗 GPT 등 생성형 인공지능(AI) 서비스를 위해 필요한 그래픽처리장치(GPU)에 대한 압도적인 기술력으로 시장에서 주목받은 기업이다. 주가는 올해 들어서만 3배 가까이 올랐다. 지난해 마지막 거래일인 12월 30일 종가는 146.14달러였지만 이제는 420달러 가까이 된다. 지난 27일(현지시각) 종가는 418.76달러다.“좋은 기업이고 앞으로도 많은 이익을 내겠지만 밸류에이션(기업 가치 대비 주가)이 목에 찬 상황이다.” 이 펀드매니저는 주가가 더 많이 오르기는 힘들 것이라며 기업의 예상 가능한 이익 수준에 비해 주가가 너무 많이 올라왔다고 분석했다. 그러면서 그는 “아직 밸류에이션이 그렇게 높아지지 않은 국내 AI 관련 기업들을 찾아봐서 투자하는 것이 더 나을 것”이라고 했다.



후지필름 관계자들이 지난 14일 서울 강남구 루닛 본사를 방문해 기념촬영을 하고 있다. (왼쪽부터) 장민홍 루닛 최고사업책임자(CBO), 히사나가 류지 후지필름 IT 솔루션 총괄 매니저, 시노하라 켄타 후지필름 IT 솔루션 제품 스페셜리스트, 박현식 루닛 제품임상마케팅 매니저, 오재민 루닛 사업개발 부서장. / 사진제공=루닛        전 세계 투자자들 누구나 아는 엔비디아와 같은 기업 말고 아직 잘 알려지지 않은 중소형 기업 가운데 AI 산업의 성장과 함께 주가가 크게 오를 수 있는 기업들을 찾아서 미리 투자하라는 조언이다. 일종의 ‘틈새시장’을 노리는 전략이기도 하다.실제 그의 조언대로 이미 시장에서 AI 관련 중소형 기업들의 주가가 크게 오르는 사례도 종종 나타난다. 대표적인 기업은 루닛이다. AI를 활용해 폐‧유방암 등 질병을 진단하는 기업인데 지난 26일에는 주가가 전 거래일보다 20%(21.24%) 넘게 급등하기도 했다. 루닛이 개발한 AI 영상분석 서비스 ‘루닛 인사이트 CXR’을 기반으로 일본 후지필름이 판매하는 ‘CXR-AID’가 일본 건강보험 급여의 가산 수가 대상으로 인증받았다는 소식이 전해졌기 때문이다. 일본 의료시장에서 루닛의 서비스가 확대될 가능성이 있어 투자심리가 개선된 것이다.AI 전문기업과 합병을 추진하는 스팩(SPAC‧기업인수목적회사)도 있다. 한국제10호스팩은 AI 전문기업 크라우드웍스와의 합병 승인을 위해 오는 7월 7일 서울 여의도 본사에서 임시 주주총회를 개최한다. 크라우드웍스는 AI가 학습(기술 고도화)하는데 사용되는 데이터를 수집‧가공해 주는 AI 학습 데이터 플랫폼 기업이다.AI 관련된 기업 중 ‘숨겨진 진주’를 찾아보는 방법으로 주요 자산운용사가 운용하는 상장지수펀드(ETF)의 포트폴리오를 알아보는 것도 좋은 방법이다. 국내 대표 사모펀드운용사 타임폴리오의 ‘글로벌AI인공지능 액티브 ETF’ 투자제안서를 보면 이 ETF는 엔비디아나 마이크로소프트(MS) 등 글로벌기업뿐 아니라 이수페타시스(4.2%), 오픈엣지테크놀로지(1.6%), 셀바스AI(1.4%), 뷰노(1.4%), 마음AI(1.2%), 플리토(1.2%), 제이엘케이(0.1%) 등 국내 중소형 기업 중 AI와 관련된 사업을 하는 곳들에 분산 투자해 놨다.워런 버핏 버크셔 해서웨이 회장은 “낮은 가격에 높은 가치를 얻으라(Get High Value at a Low Price)”라고 말했다. 그의 말을 조금 들여다보면 아무리 높은 가치를 갖고 있는 기업의 주식이라도 낮은 가격이 아니라면 수익을 얻기 힘들다는 의미이기도 하다. 국내·외 주식시장에서 가장 높은 가치를 창출할 것으로 여겨지는 AI 산업에서 아직 낮은 가격에 머물러 있는 주식들은 어떤 것들이 있는지 찾아보는 것은 어떨까.
]"
2023-06-26,오늘의 증시 메모[6월 27일],"[
			[서울경제] &lt;유가증권&gt;▲실권주청약=KEC(092220)(주관사 KB) ▲보통주추가상장=대양금속(009190)(국내CB) ▲신규상장=KBSTAR 미국S&amp;P배당킹 ETF(460660) 히어로즈 미국성장기업30액티브 ETF(459790) KOSEF Fn유전자혁신기술 ETF(460280) KBSTAR 글로벌주식분산액티브 ETF(459750) KBSTAR 글로벌자산배분액티브 ETF(461490)&lt;코스닥&gt;▲공모주청약=이노시뮬레이션(주관사 하나) 교보14호스팩(교보) ▲신주배정기준일=꿈비(407400)(무상) ▲실권주청약=셀바스AI(108860)(주관사 KB) ▲보통주추가상장=바이옵트로(222160)·네오이뮨텍(주식매수선택권행사) 휴럼·핑거스토리·서남·와이오엠·HB테크놀러지(국내CB) 아나패스(123860)(국내BW) 이노테라피(246960)(우선주 보통주전환) 코미코·엘아이에스(138690)(유상 제3자배정) ▲주권변경상장=엘아이에스(감자)
]"
2023-06-24,"'15만→7만원' 반토막 나더니…""엔비디아 장비까지 들여왔다"" [신현아의 IPO 그후]","[
한국판 '챗GPT'로 돌파구 찾는 회사코난테크놀로지, 고점 대비 주가 55% 밑돌아AI 테마 재료 소멸에 적자 지속 탓증권가 ""실적 개선 뒷받침돼야""



""11층입니다. 구해주세요.""상장 1주년을 맞은 인공지능(AI) 소프트웨어 전문 기업 코난테크놀로지가 '코난GPT(가칭)'로 돌파구를 모색한다. 코난GPT 개발을 위해 올 초 거액을 들여 엔비디아의 장비도 들여왔다. 주가는 AI 챗봇 '챗GPT'가 띄운 AI 열풍에 올 1~2월 두 달 동안 무려 400% 넘게 뛰기도 했지만, 실적 부진 속 상승분을 대부분 반납한 상태다. 상승 구간에서 이 회사 주식을 매수한 투자자들의 원성이 커지고 있다. 24일 한국거래소에 따르면 코난테크놀로지의 전일 종가는 7만200원이다. 올해 2만원대로 출발한 주가는 반년 새 약 3배(149%) 급등했지만, 올 초 15만원대(2월 28일 장중 고가 15만7700원)까지 고점을 높였던 만큼 현재의 주가 상황은 일부 투자자에겐 다소 아쉬울 수밖에 없다. 1조원을 바라봤던 시가총액도 이젠 3987억원 수준으로 쪼그라들었다. 주가는 공모가(2만5000원) 대비론 181% 웃돌고 있다.  챗GPT 업고 두 달 동안 414% '껑충'코난테크놀로지는 작년 7월 7일 상장했다. 상장 준비 과정에서 분위기는 좋았다. 기술력이 높이 평가되면서다. 코난테크놀로지는 텍스트, 음성, 영상 등을 인식하는 AI 원천기술을 자체적으로 보유한 국내 유일의 기업이다. 한국항공우주(KAI)와 SK텔레콤의 자회사 SK커뮤니케이션즈가 전략적투자자인 점, 기술특례 방식으로 상장했다. 상장 직전 2년(2020~2021년) 동안 이익을 내온 점도 긍정적으로 작용했다. 



사진=로이터상장 이후 이렇다 할 모멘텀이 없자 주가는 한동안 지지부진한 흐름을 지속했다. 그러다 작년 11월 챗GPT 등장이 주가 폭등의 계기가 됐다. AI 기술 기업에 대한 기대감에 매수세가 몰렸다. 코난테크놀로지는 올 1~2월 두 달 동안 414% 올랐다. 이 기간 또 다른 AI 관련주인 셀바스AI와 알체라도 각각 336%, 166% 급등했다. 하지만 증시 자금이 2차전지로 쏠리면서 AI 테마주의 거품이 꺼지기 시작했다. 최근 들어선 거래량도 저조하다. 이번주 5거래일(19~23일) 거래량은 일일 기준 모두 5만주 아래였다.실적 부진도 문제가 됐다. 올 1분기 회사는 32억원의 영업손실을 냈다. 상장 직전 해인 2020~2021년 흑자를 유지했지만, 상장하고 나서 되레 영업이익이 적자로 돌아섰다. 공공 부문의 발주가 일부 지연된 데다 경기 침체로 AI 관련 투자가 줄어들었지만, 개발 인력 확대로 인건비가 증가하면서 수익성이 악화한 탓이다. 지난해 코난테크놀로지의 영업손실은 40억원으로 집계됐다.  3분기 코난GPT 공개, 반등 모멘텀 되나 



코난테크놀로지는 지난 2월  스페인 바르셀로나에서 개막하는 MWC23에 SKT의 AI 파트너사로서 참가했다. 당시 전시관 조감도. / 자료=코난테크놀로지회사는 생성형 AI '코난GPT'로 재도약에 나선다. 코난GPT는 기존 챗GPT의 한계로 지적되는 '할루시네이션(거짓정보를 사실처럼 얘기)'과 보안 문제를 극복해 개발되는 게 특징이다. 회사 관계자는 ""회사의 중요한 기밀이 외부로 유출되거나, 생성형 AI가 틀린 답변을 내놓는 할루시네이션 이슈로 인해 답변을 검증하는 데 많은 시간이 걸리며 이는 답변의 정합성이 중요한 공공 분야에서 사용에 큰 허들이 된다""고 설명했다.회사는 코난GPT 개발 가속화를 위해 올 2월 국내에서 가장 먼저 엔비디아의 고성능 GPU H100 장비 8대를 발주해 이달 들여왔다. 코난GPT와 같은 초거대언어모델(LLM) 개발에는 엔비디아의 H100와 같은 초고속·저전력의 반도체가 필요하다. 코난GPT는 올해 3분기 발표되며 향후 기업과정부간거래(B2G)과 기업간거래(B2B) 시장에 진출한다.최근 여성가족부, 법무부, 국세 등 공공기관 수주도 이어지고 있다. 전체 계약 수주잔고 금액은 2021년 말 약 50억원 수준에서 올 1분기 말 156억9200만 규모로 지속적으로 증가했다. 또 회사는 기존의 구축형 소프트웨어 사업에서 서비스형 소프트웨어(SaaS) 솔루션으로 사업 영역을 넓히고 있다. 정호윤 한국투자증권 연구원은 ""앞으로 SaaS 솔루션 매출 확대가 성장을 견인해나갈 것""이라고 전망했다.



김영섬 코난테크놀로지 대표SK텔레콤, KAI 등 주요주주와의 협업도 강화하고 있다. 코난테크놀로지는 ""KAI와는 AI 기술력을 항공·방산 분야에 접목하고 미래 전장 산업 성장 모멘텀 강화를 위해 관련 계약들이 순차적으로 체결될 예정""이라며 ""SK텔레콤과도 AI 전문 인력 교류 및 활용을 통해 다양한 AI 프로젝트들이 협의가 진행 중이며, 구체적인 내용은 올 2분기부터 가시화될 것""이라고 예상했다. 주가 반등은 실적이 뒷받침돼야 가능할 것이란 게 증권가 시각이다. 올 하반기 예정된 네이버의 초거대 AI 하이퍼클로바 출시가 계기로 작용할 수 있단 분석도 나온다. 박종선 유진투자증권 연구원은 ""최근 엔비디아 호실적에 따른 수혜가 AI 서비스 업체보단 반도체 쪽으로 향했다""며 ""AI 테마, 실적 개선이 동반돼야 주가가 이전 고점 수준으로 반등할 수 있을 것으로 보인다""고 설명했다.하지만 작년 적자에 이어 올해도 실적 부진은 지속되고 있다. 개발 인력 확충에 따른 인건비 증가를 비롯해 엔비디아 장비 발주로 돈 들어갈 일이 많은 점은 우려 요인이다. 회사 관계자는 ""엔비디아 장비 비용 반영 시기에 대해선 언급할 수 있는 게 없다""고 말했다. 
]"
2023-06-23,"셀바스AI, 571억원 규모 구주주 배정 유상증자 성공","[
유상증자 청약률 100.80%AI의료·교육·메타로빌리티 신사업 탄력 



◆…셀바스AI CI. 사진=셀바스AI 제공     인공지능, 음성인식 전문기업 셀바스AI(108860)는 지난 21일부터 22일까지 구주주를 대상으로 실시한 유상증자 청약률이 100.8%를 달성했다고 23일 공시했다.   발행 예정 주식수는 400만주로 571억원 규모다. 이에 따라 오는 26일부터 27일까지 진행 예정이었던 일반공모는 실시하지 않는다. 신주 상장 예정일은 7월 12일이다.   셀바스AI는 지난 4월 AI 의료·교육· 메타로빌리티 신사업 확대를 위해 유상증자를 결정했다.   셀바스AI가 신규 혁신 분야는 크게 의료, 교육, 메타로빌리티(메타버스, 로봇, 모빌리티)이다. 분야별 디지털 전환은 물론 경영 혁신까지 주도한다는 계획이다.   셀바스AI는 셀비 체크업, 셀비 메디보이스 등 차별화된 제품으로 AI 의료 사업을 본격 확대하고 있다. 올해부터는 군 이동형 원격의료도 본격화한다. 2025년부터 정부의 AI 디지털교과서 도입에 따라 인공지능이 교육산업에도 확대되는 것에 대응해 영어회화 솔루션 '토킹GPT'를 개발하는 등 인공지능을 여러 분야로 확대할 예정이다.   셀바스AI 곽민철 대표이사는 ""당사의 성장계획을 신뢰하고 증자에 참여해주신 주주에게 감사드린다""며 ""우리가 제시한 비전을 빠르게 실현해 셀바스만의 차별화된 성장을 만들어 기업가치 상승 및 주주가치 제고에 최선을 다할 것""이라고 말했다.
]"
2023-06-22,"""포용 사회 위해""…이케아 코리아, '페이스 더 갭' 진행[중기소식]","[




[서울=뉴시스] 이케아 코리아, 포용 격차 해소 위한 '페이스 더 갭' 캠페인 진행. (사진=이케아 코리아 제공) 2023.06.22. photo@newsis.com[서울=뉴시스]이수정 기자 = 22일 중소기업계 소식. ▲이케아 코리아가 더 포용적인 사회를 위한 '페이스 더 갭' 캠페인을 진행한다. '페이스 더 갭'은 지역 사회 및 직장에서 자신의 정체성을 인정받지 못하고 소외당한다고 느끼는 포용 격차를 해소하기 위한 글로벌 캠페인이다. 8월31일까지 이케아 코리아 전 매장에서는 포용 사회에 관한 메세지를 전달하는 다양한 이벤트들이 진행된다. 레스토랑, 카페에서는 레인보우 케이크, 레인보우 막대 사탕을 만나볼 수 있다. ▲코웨이 물빛소리 합창단이 신규 단원을 공개 모집한다. 물빛소리 합창단 신규 단원 모집 대상은 성별과 나이에 상관없이 성악이나 합창에 관심 있는 시각장애인이면 누구나 지원 가능하다. 접수 기한은 내달 5일 자정까지다. 코웨이 물빛소리 합창단, 장애인고용공단 서울맞춤훈련센터를 통해 유선 또는 이메일로 지원 가능하다. 신규 단원 모집은 장애인고용공단의 장애인 취업지원 프로그램과 연계해 진행된다. ▲대교가 IP 사업권을 영위한 '꼬미마녀 라라'가 시즌1 최고 시청률을 기록했다. 시청률 조사기관 AGB 닐슨에 따르면, 지난 18일 KBS Kids에서 방영된 '꼬미마녀 라라'는 4세 여아 기준 10.7%를 기록했다. 최근 대교는 '꼬미마녀 라라'의 신규 라이선스 상품을 잇따라 출시하며 사업분야를 확장하고 있다. 꼬미마녀 라라 학습놀이, 한글 쓰기, 숫자 쓰기 등은 전국 서점 및 온라인 채널에서 만나볼 수 있다. ▲시디즈가 미국 시카고 '풀턴 마켓'에서의 팝업쇼룸 운영을 마쳤다. 풀턴 마켓은 시카고에 위치한 신흥 번화가다. 시디즈는 풀턴 마켓에서 지난 12일부터 3일간 팝업 쇼룸을 열고, 지난 2월 출시한 프리미엄 게이밍 의자 'GC PRO'를 비롯해 T80 등 주요 사무용 의자 제품을 직접 체험할 수 있도록 4개의 전시 존을 구성해 운영했다. 유관 산업 관계자들을 초청해 비즈니스 네트워킹 구축의 장을 마련하기도 했다. ▲디자인 가전·라이프스타일 브랜드 '제니퍼룸'이 전자동 커피머신에 어울리는 원두 증정 이벤트를 진행한다. 제니퍼룸은 커피 전문 브랜드 호커스포커스로스터스와 협업해 다양한 산지의 원두 중 제니퍼룸 커피머신과 가장 잘 어울리는 원두를 선별했다. 해당 이벤트는 한정 수량으로 원두 소진시까지 진행되며, 제니퍼룸 전자동 커피머신은 제니퍼룸 공식몰과 네이버 스마트 스토어에서 확인할 수 있다. ▲마켓디자이너스의 온디맨드 일대일 영어회화 플랫폼 '튜터링'이 1년에 한번 열리는 빅 프로모션 '튜터링 페스티벌'을 진행한다. 튜터링 페스티벌은 업계 최저가를 봊아하는 365 올패스 수강권을 포함한 튜터링 모든 수강권에 사용할 수 있는 총 25만원 쿠폰팩으로, 최대 55% 할인을 받을 수 있다. 프로모션 기간 작심 패키지 수강권 구매 시, 튜터링 캐릭터 튜달이 그립톡과 키링 굿즈 세태를 100% 제공한다. ▲와스코의 셀프빨래방 브랜드 AMPM워시큐가 오는 28일 경기 파주시 와스코 본사에서 창업설명회를 개최한다. 이번 창업설명회에서는 셀프빨래방과 시너지를 낼 수 있는 최적의 업종과 결합해 부가수익을 올리는 멀티샵 창업과 관련, 실제 오픈한 매장 사례를 통한 정보를 제공할 예정이다. AMPM워시큐는 최근 무인카페, 무인세탁함, 편의점, 펫샵 등과 결합된 다양한 컨셉의 멀티샵을 오픈해 운영 중이다.▲핸드메이드 커머스 플랫폼 '아이디어스'가 올해 상반기 결산 리포트를 발표하고 이달 말까지 인기 작품 프로모션을 실시한다. 올 상반기 동안 아이디어스는 총 7400만건의 작품을 판매하며 고객 리뷰 수 57만건, 구매 평점 4.9를 기록했다. 아이디어스는가장 많이 검색된 키워드들을 바탕으로 한 3가지 테마의 기획전을 연다. 총 900여명 작가들의 2000개 이상 작품도 최대 90% 할인된 가격으로 선보일 예정이다. ▲하이픈코퍼레이션하이픈 데이터마켓이 셀바스AI의 광학문자인식(OCR) 서비스 상품 2종을 이달 중 추가 입점했다. 이번에 입점한 셀바스AI의 OCR 상품들은 각각 가족관계증명서와 통장 사본을 인식하는 기능을 제공한다. 비대면 본인인증 서비스를 개발하고자 하는 기업이나 개인은 해당 상품을 통해 셀바스AI의 셀비 OCR 솔루션 기능을 간편하게 연동할 수 있다.▲중소벤처기업연구원이 서울 양재 엘타워에서 '디지털 경제시대, 미래를 만드는 글로벌 창업 대국'을 주제로 제2회 중소벤처기업연구 통합학술대회를 개최했다. 이번 통합학술대회는 중소벤처기업 연구를 대표하는 12개 학회가 한자리에 모여 대내외 경제위기 상황 속에서 집단지성을 통해 향후 중소벤처기업이 나아갈 정책의 방향성과 지향점을 모색하기 위해 마련됐다.
]"
2023-06-22,"셀바스AI, AI 의료서비스 본격 추진","[
제이엘케이 솔루션에 연동[이데일리 최훈길 기자] 인공지능(AI) 전문기업 셀바스AI(108860)가 AI 기반 의료 사업을 본격 추진한다. 셀바스AI는 의료 AI 기업인 제이엘케이(322510)의 보험수가가 적용된 AI 제품에 연동돼 AI 의료 사업을 본격 확대한다고 22일 밝혔다. 



앞서 제이엘케이는 ‘인공지능 뇌졸중 진단 보조 솔루션’을 개발했다. 이는 의료진이 뇌졸중 환자를 빠르고 정확하게 진단해 치료 계획을 수립하는 솔루션이다. 이 제품에 셀바스AI의 ‘셀비 체크업(Selvy Checkup)’이 연동돼 병원 내 예측, 진단 분야에 적용된다.셀바스AI 관계자는 “이번 협업을 시작으로 제이엘케이 등 여러 관련 기업들과 의료AI 시장 고도화에 적극 나서겠다”고 말했다.
]"
2023-06-22,"국립국어원, '점사랑 4.0' 공개…""시각장애인 정보 접근성 향상""","[




[서울=뉴시스] 점사랑 4.0 첫 화면(사진=국립국어원 제공) 2023.06.22. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]신재우 기자 = 국립국어원은 한국시각장애인연합회, 셀바스헬스케어와 함께 점역 프로그램 '점사랑 4.0'을 개발해 공개한다고 22일 밝혔다.'점사랑 4.0'은 비시각장애인이 쓰는 일반 활자인 묵자 문서를 점자로 변환하는 원도즈(Windows)용 점역 프로그램이다. 파일 관리, 문서 편집, 점자 파일 인쇄 등의 기능을 갖춰 사용자에게 편리한 점역 작업 환경을 제공한다. 프로그램은 '묵자-점자 병렬말뭉치 구축' 사업의 일환으로 개발됐으며, hwp, doc 등 다양한 형식의 점역 문서를 지원해 점역의 완성도를 높였다. 특히, 문서 편집 기능을 강화해 사용자가 더 쉽게 점자 출판물을 제작할 수 있도록 했다. 기존 점역 프로그램에서 구현하지 못한 한글 프로그램의 수식을 불러올 수 있는 수식 편집기나 표 자동 점역 기능 등이 구현됐다.  이번 '점사랑 4.0'에 대해 국립국어원은 ""시각장애인이 요구할 경우 점자 문서를 제공해야 하는 국가, 지방자치단체 및 공공기관에서 유용하게 쓰일 수 있다""며 ""프로그램의 보급을 통해 누구나 쉽고 편리하게 점자 문서를 생산할 수 있는 환경을 조성함으로써 시각장애인의 정보 접근성 향상을 도모할 계획""이라고 밝혔다.국립국어원은 산업계에서 점자 관련 소프트웨어를 개발하는 데 이용할 수 있도록 프로그램의 점역 엔진 API를 공개해 점자의 저변을 넓힐 수 있도록 지원할 계획이다. 프로그램은 국립국어원 점자 종합 홈페이지와 한국시각장애인연합회 홈페이지에서 내려받을 수 있다.
]"
