date,title,content
2023.06.26. 오후 1:41,"
			‘셀트리온 퀸즈 마스터즈’ 대회 설해원에서 성료...우박과 폭우속 재개
		","[
 
설해원에서 열린 2023 셀트리온 퀸즈 마스터터즈 대회 장면. 사진제공 설해원.‘2023 셀트리온 퀸즈 마스터즈 골프대회’가 설해원에서 박민지 선수가 최종 우승을 차지하며 성료 했다.이번 대회에서는 최종전을 앞두고 우박과 폭우가 쏟아져 경기가 중단이 되는 이변이 발생되었다. 모두가 걱정하는 상황 속에서 주최 측에서는 선수들의 무기명 투표를 진행 하였고, 과반수 이상의 선수들이 당일 경기 종료를 원하고, 다행히 점차 기상상황이 좋아지면서 경기가 재개되었다.이후 재개된 경기에서는 경기 중단 전 우승을 목전에 앞두고 있던 박민지 선수가 잠시 중단된 상태에서도 집중력을 유지해 최종 우승을 차지했다.특히 이번 대회에서는 설해원(雪海園) ‘더 레전드 코스’의 배수 설비시설가 주목 받았다. 폭우가 쏟아졌음에도 불구하고 3시간도 채 안 되어 필드가 마르면서 경기를 재개할 수 있었기 때문이다. 이에 SBS 골프 박지은 해설 위원은 “많은 양의 비와 우박까지 내린 날씨임에도 불구하고 언제 그랬냐는 듯 필드가 고요해 졌다”고 설명했다.이외 관련하여 필드 현장 총괄 권시목 이사는 “대회 전 그린 토양 내 최적 수분치를 일반 평균치 보다 낮게 책정하여 최소 수분 상태로 관리하여 3일 동안의 강수량을 충분히 흡수할 수 있었고, 토양 수분 30% 이상에서도 물고임 없이 마지막 라운드도 진행할 수 있었다”며 “설해원 평소 건강한 잔디를 내방객에 제공하는 것을 목표로 최첨단 장비를 도입해 토양의 경도, 깊이 별 경도, 수분 측정을 진행하고 있다”고 밝혔다.한편, 이번 ‘2023 셀트리온 퀸즈 마스터즈 골프대회’가 열린 설해원은 ‘2023 대한민국 골프장 평가’에서 코스디자인과 그린관리 부문, 골프장 시설, 안전관리 부문 항목에서 대중제 1위를 받은 곳이다.강석봉 기자 ksb@kyunghyang.com
			]"
2023-06-29,서정진 셀트리온 회장 복귀 3개월 줄줄이 부정 이슈...“어쩌나 주가!”,"[




[마이데일리 = 구현주 기자] 서정진 셀트리온 회장이 경영복귀 후 위기를 기회로 전환하기는 커녕, 오히려 설상가상이 됐다. 복귀 당시 기대와 달리 지난 석 달간 셀트리온 주가 상승 대신 혼외자 논란 등 구설수만 남겼다.29일 제약업계에 따르면 셀트리온 주가는 여전히 16만원 박스권에 갇혀 있다. 이날 종가 기준 셀트리온 주가는 15만2500원이다. 셀트리온은 지난 2020년 주가가 37만원까지 치솟았지만 2021년 이후 하락세를 면치 못하고 있다. 이에 2020년 말 은퇴했던 서정진 회장이 2년 만에 다시 경영에 복귀하기에 이르렀다. 서정진 회장 복귀 후 셀트리온 바이오시밀러(바이오의약품 복제약) 글로벌 허가신청 등이 이어졌으나, 실제 매출로 연결되진 못한 상황이다. 자가면역질환 치료제 휴미라 바이오시밀러 ‘유플라이마’가 대표적이다. 27일 셀트리온 그룹주가 일제히 하락했는데, 유플라이마 미국 보험 등재가 어렵다는 전망이 나와서다.보험약제관리기업(PBM) 옵텀RX는 휴미라 바이오시밀러 추가 등재를 결정했지만, 여기에 셀트리온 유플라이마가 빠졌다. PBM은 의약품 결제 중간자로 보험사를 대신해 제약사와 약가 등을 협상한다. 허혜민 키움증권 연구원은 “휴밀라 바이오시밀러 경쟁 과열 우려와 신제품 보험 미등재로 인한 미국시장 침투 제동 등이 주가에 선반영됐다”며 “하반기 실적 개선과 추가 PBM 등재 소식이 이어지면 주가는 회복할 것”이라고 분석했다.서정진 회장은 셀트리온 주가 상승 등 구체적인 성과 창출이 절실하다. 경영 복귀 후 잇따른 구설수를 치르면서 실추된 이미지를 회복해야 하기 때문이다.지난달엔 서정진 회장이 혼외자 두 딸을 둔 사실이 알려졌다. 이 과정에서 서정진 회장은 혼외자 두 딸의 생모 A씨를 명예훼손과 공갈 혐의로 고발했다.논란에 서정진 회장이 홈페이지 입장문에서 주주에게 공식으로 사과했지만, 여전히 보는 시선은 곱지 않다. 현재 서정진 회장은 경영진과 미국 현지에서 유플라이마 등을 적극 영업 중이다.셀트리온 관계자는 “서정진 회장을 비롯한 그룹 경영진이 미국 현지에서 유플라이마 등을 적극 영업 중으로, 옵텀RX 이외 PBM와 협상이 여전히 활발히 진행 중”이라며 “주주가치 제고를 위해서도 올해 하반기 바이오시밀러 순차적 허가와 론칭을 진행할 것”이라고 말했다.[서정진 셀트리온 회장, 사진 = 셀트리온](구현주 기자 winter@mydaily.co.kr)
]"
2023-06-29,내 주식은? 새로 지정된 코스닥 우량주 TOP 50,"[
[방현철 박사의 머니머니] 실적, 지배구조, 건전성 우수한 코스닥 상장사는?							29일 오후 5시 조선일보의 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해 공개된 ‘방현철 박사의 머니머니’에선 김도형 삼성자산운용본부 ETF컨설팅본부장과 함께 ‘코스닥 우등생, 코스닥 글로벌 세그먼트 투자’라는 주제로 얘기를 나눴습니다.[코스닥 우량주 TOP 50 영상으로 확인] : https://youtu.be/_Hb8F7V4h6w코스닥 글로벌 세그먼트는 우량 코스닥 상장사들의 저평가 문제를 해소한다는 취지로 작년 11월 출범했습니다. 김도형 본부장은 영상에서 “코스피 시장 상장 기업수가 953개인데 코스닥 시장은 1644개로 상당히 많은 기업이 상장돼있다”며 “코스닥 시장의 양적 성장에도 불구하고 많은 기업이 한 시장에서 관리돼 대형 우량상위기업 저평가 문제가 지속적으로 거론돼왔다”고 했습니다. 이어 “계속된 저평가는 코스닥 시장에서 외국인과 기관 투자를 코스피 대비 저조하게 만들었다”고 설명했습니다.



										김 본부장은 “미국의 나스닥 글로벌 셀렉트 마켓을 벤치마킹해, 까다로운 선발과정을 통과한 50개 기업(29일 기준)이 편입돼있다”고 했습니다. 코스닥 글로벌 세그먼트 도입으로 대형우량 코스닥 종목을 모아 일반 코스닥 상장사와 차별되는 혜택과 의무를 부여하고, 종목 인지도를 높여 외국인과 기관의 투자를 유치하겠다는 것입니다.코스닥 글로벌 세그먼트에 편입되려면 시가총액, 재무실적, 지배구조, 기업 건전성, 회계투명성 등 5가지 항목에서 자격 요건을 갖춰야 합니다. 김 본부장은 “시가총액 5000억원 이상, 매출 3000억원과 영업이익 300억원 이상이어야 하고 지배구조 평가등급은 B등급 이상만 편입하며 기업건전성과 회계투명성도 우수해야 한다”고 설명했습니다. 바이오기업은 요건은 이들보다 좀더 까다롭습니다.종목 수가 50개로 적다보니 코스닥 대표 기업이 대부분 속해있다고 볼 수 있습니다. 김 본부장은 “대표 2차전지 기업 에코프로비엠과 엘앤에프, 반도체 소부장 대표기업 리노공업과 원익아이피에스 등이 있으며 바이오 대표기업으로는 셀트리온헬스케어와 알테오젠 등이 있다”고 했습니다. 또한 “글로벌 K-컬쳐를 선도하는 엔터테인먼트사 JYP엔터테인먼트도 포함돼있다”며 코스닥 글로벌 세그먼트에 속한 대표 기업을 예로 들었습니다.29일에는 코스닥 글로벌 지수를 추종하는 국내 첫 상장지수펀드가 등장했습니다. 삼성자산운용본부에서 내놓은 Kodex 코스닥글로벌 ETF도 여기에 해당합니다. 김 본부장은 “현재 에코프로비엠이 20%로 가장 큰 비중을 차지하고, 이어 셀트리온헬스케어, 엘앤에프, JYP Ent., 알테오젠 등이 상위를 차지한다”고 했습니다. 이어 “코스닥 글로벌 지수 ETF 상품화를 계기로 우량 기업 저평가 문제가 해소되면서 중장기적으로 코스닥 및 코스닥150지수 대비 양호한 수익률을 보여줄 것으로 기대하고 있다”며 “우리나라 차세대 성장산업에 집중적으로 장기 투자하고 싶은 분들이 관심갖기 적절하다”고 설명했습니다.이외에도 김 본부장은 코스닥150과의 차이점, 코스닥 글로벌 세그먼트에 편입된 소수 기업의 실제 성과, 투자 시 유의점 등에 대해 설명했습니다. 자세한 내용은 아래 영상에서 확인할 수 있습니다.[코스닥 우량주 TOP 50 영상으로 확인] : https://youtu.be/_Hb8F7V4h6w
]"
2023-06-29,"`24조 휴미라` 바이오시밀러, 사보험 길목 잡아라...삼바·셀트 `사활`","[
			삼성바이오에피스, 셀트리온이 24조원에 달하는 자가면역질환 치료제 '휴미라(성분명 아달리무맙)' 바이오시밀러 시장 공략을 본격화한다. 특히 미국의 사보험 리스트에 등재돼 약가 책정 과정에서 합리적인 가격을 받아 처방경쟁에서 우위를 확보하기 위해 박차를 가하고 있다.  29일 제약·바이오 업계에 따르면 삼성바이오에피스와 셀트리온은 휴미라 바이오시밀러 시장 주도권을 잡기 위해 베링거인겔하임, 화이자, 코헤러스, 프레지니우스카비, 암젠, 산도즈, 알보텍, 비아트리스 등 해외 기업들과의 처방 경쟁을 앞두고 있다. 삼성바이오에피스는 내달 1일 바이오시밀러인 '하드리마'를 미국 시장에 출시하고, 셀트리온도 내달 중 '유플라이마'를 선보일 예정이다.7월에 미국 내 특허가 만료되는 애브비의 휴미라는 지난해 기준 약 212억3700만 달러(약 27조6081억원)의 매출을 기록한 블록버스터 의약품이다. 미국 시장에서 팔린 금액만 약 186억 달러(약 24조원), 87%에 달한다. 누적 매출액은 2003년 출시된 후 지난해까지 2190억달러로, 세계 1위 의약품이다. 류마티스·전선성 관절염, 강직성 척추염, 크론병 치료제 등의 치료에 쓰인다. 삼성바이오에피스와 셀트리온은 수요가 많은 고농도 제형을 허가받아 상품화한다. 고농도 제형은 약물 투여량을 저농도의 절반으로 줄일 수 있는 강점이 있다. 미국 의약품 시장조사기관 심포니헬스와 아이큐비아에 따르면 지난해 미국에서 판매된 아달리무맙의 약 85%는 고농도 제형이 차지했다. 삼성바이오에피스(제품명 하드리마)는 고농도 제형과 저농도 제형을 모두 허가받았고, 셀트리온(제품명 유플라이마)은 고농도 제형을 허가받았다. 주목되는 것은 미국 휴미라 바이오시밀러 시장 주요 처방약급여관리업체(PBM) 목록에 등재될 수 있을지 여부다. 3대 PBM 중 한 곳인 옥텀RX(OptumRx)는 연초 암젠에 이어 최근 산도스, 베링거인겔하임을 휴미라 바이오시밀러의 추가 보험 등재 기업으로 결정했다.  또 다른 PBM인 CVS케어마크는 당분간 오리지널 휴미라 등재만을 유지한다고 밝힌 만큼 삼성바이오에피스와 셀트리온은 익스프레스 스크립트(Express Scripts) 등재를 노려야 한다.정부가 약값을 결정하는 한국과 달리 미국은 사보험 체제이다 보니 민간이 약값을 정하는 경우가 많다. PBM은 보험사를 대신해 제약사와 약가 및 리베이트 수준을 협의하고, 약국에서 처방 가능한 약제 목록을 관리한다. 미국에서 휴미라 PBM 시장은 CVS케어마크와 익스프레스 스크립트, 유나이티드 헬스 그룹 산하의 옵텀Rx 등 3개 대형 PBM이 과점하고 있다. 약제 목록 등재에 성공하면 시장 확장에 유리한 입지를 확보할 수 있다. 셀트리온헬스케어 관계자는 이와 관련해 ""전체 아달리무맙 시장의 40%를 대상으로 약가 등재를 하는 것이 목표""라며 ""제품의 차별성과 품질 우수성을 바탕으로 수익성을 고려해 PBM과 협의를 진행하고 있다""고 밝혔다. 삼성바이오에피스 측은 ""계약 건과 관련된 내용이라 입장을 밝히기 조심스럽다""고 말했다. 제약바이오 업계 한 관계자는 ""셀트리온과 삼성바이오에피스는 휴미라 바이오시밀러 초기 시장에 빠르게 파고들기 위해선 옵텀Rx, CVS 외 다른 PBM이나 공보험을 노려야 한다""며 ""익스프레스 스크립츠 등재 여부가 초기 시장 점유율 성패를 가를 것으로 보인다""고 말했다.  



왼쪽부터 셀트리온 2공장, 삼성바이오에피스 사옥. 각사 제공    
]"
2023-06-29,"[마켓뷰] 코스피, 기관 매도에 0.55% 하락…3일 연속 내리막","[
삼성전자, 장중 52주 신고가 썼지만 0.41% 하락코스닥지수도 0.6% 내린 861.79원·달러 환율 5거래일 연속 1300원선        29일 코스피지수가 3거래일 연속 하락했다. 상승 출발했던 코스피지수는 장 막판 기관 투자자들의 매도세로 낙폭을 키웠다. 미국 기준금리가 올해 안에 두 번 오를 수 있다는 소식과 함께 미 달러화에 대한 원화 환율(원·달러 환율)이 급히 오른 점도 영향을 준 것으로 보인다.



29일 오후 서울 중구 명동 하나은행 딜링룸. /뉴스1        이날 코스피지수는 전 거래일 대비 14.17포인트(0.55%) 내린 2550.02에 거래를 마쳤다. 코스피는 전날보다 0.01% 하락한 2564.02에 개장한 뒤 장중 0.53%까지 올랐으나 오후 들어 낙폭을 키웠다.유가증권시장에서 개인과 외국인은 각각 1293억원, 308억원을 사들였다. 기관은 1804억원을 팔아치웠다. 기관 투자자는 코스피 선물시장에서도 4400억원을 순매도했다.코스피 시가총액 상위 종목들은 혼조세로 마감했다. 삼성전자는 장중 52주 신고가를 쓰기도 했지만 0.41% 하락했다. SK하이닉스는 1.66% 상승했다. LG에너지솔루션과 삼성SDI는 각각 0.55%, 1.22% 올랐지만 LG화학은 0.3% 내렸다. 이밖에 네이버(NAVER)(0.76%)와 현대차(-0.73%), 기아(-0.46%)는 약세를 보였다.코스닥지수는 전장 대비 5.18포인트(0.60%) 하락한 861.79로 장을 마감했다. 코스닥시장에서는 개인과 기관이 각각 574억원, 131억원을 순매수한 가운데, 외국인은 504억원을 순매도했다.코스닥 시총 상위 종목도 주가 흐름이 엇갈렸다. 에코프로는 2% 상승했고, JYP Ent.와 셀트리온헬스케어도 각각 1.88%, 0.77% 올랐다. 반면 펄어비스와 리노공업은 2.4% 하락했다. 이외에도 HLB(-0.79%), 카카오게임즈(-1.61%)도 하락 마감했다.김석환 미래에셋증권 연구원은 “파월 의장의 연내 2회 연속 금리 인상 가능이라는 매파적 발언에 원·달러 환율이 장중 10원 이상 올랐다”며 “실적 기대감이 반영된 일부 업종만 상승하며 지수 상승 동력은 부족했다”고 말했다.이날 원·달러 환율은 전 거래일 대비 10.3원 오른 1317.6원에 마감했다. 원·달러 환율은 지난 23일부터 5거래일 연속 1300원선을 웃돌고 있다.이경민 대신증권 투자전략팀장은 “추가 금리 인상에 대한 우려는 이미 상당 부분 반영된 것으로 보인다”며 “단기 과열 부담을 덜어 놓는 과정에서 다소 불안한 등락이 반복된 것으로 추정된다”고 설명했다.간밤 뉴욕증시는 제롬 파월 연방준비제도(Fed·연준) 의장의 추가 긴축 발언과 엔비디아 등 인공지능(AI) 반도체 관련주 약세 속에 혼조세로 마감했다.28일(미 동부 시각) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 74.08포인트(0.22%) 하락한 3만3852.66으로 거래를 마쳤다. 스탠더드앤드푸어스(S&amp;P)500지수는 전장보다 1.55포인트(0.04%) 떨어진 4376.86으로, 나스닥지수는 전장보다 36.08포인트(0.27%) 오른 1만3591.75로 장을 마감했다.
]"
2023-06-29,"코스피, 기관 '팔자' 전환에 2,550대 약보합(종합)","[




코스피 하락 (PG)[제작 최자윤] 일러스트    (서울=연합뉴스) 이민영 기자 = 코스피가 29일 미국 금리 인상에 대한 우려 등에 따라 하락세로 마감했다.    이날 코스피 종가는 전장보다 14.17포인트(0.55%) 내린 2,550.02로 집계됐다.    지수는 전장보다 0.17포인트(0.01%) 내린 2,564.02로 출발한 뒤 소폭 상승하다 하락 전환했다.    유가증권시장에서 기관이 1천808억원어치를 순매도하면서 지수를 끌어 내렸다. 개인과 외국인은 각각 1천293억원, 312억원어치를 순매수했다.    이날 코스피는 제롬 파월 미국 연방준비제도(Fed·연준) 의장이 2연속 금리 인상 가능성을 열어둔 여파로 불안한 흐름을 보였다.    파월 의장은 28일(현지시간) 포르투갈에서 열린 유럽중앙은행(ECB) 포럼에서 ""연속적인 금리 변동 가능성을 논의에서 배제하지 않고 있다""고 말했다.    이재선 현대차증권 연구원은 ""파월 의장의 발언으로 연준의 금리 인상에 대한 우려가 커졌다""며 ""또한 외국인과 기관의 수급 방향이 계속 전환하는 등 수급의 불안 요인을 키웠다""고 설명했다.    시가총액 상위 종목 중 삼성전자(-0.41%), LG화학(-0.30%), 현대차(-0.73%) 등이 하락했다. 반면 LG에너지솔루션(0.55%), 삼성SDI(1.22%), SK하이닉스(1.66%)는 상승했다.    삼성전자는 장 초반 52주 신고가를 기록했으나 차익 실현 매물 여파 등으로 하락 마감했다.    업종별로는 제조업(-0.26%), 화학(-1.44%), 운수장비(-0.75%) 등이 내린 반면 의약품(0.31%), 전기가스업(0.77%) 등은 올랐다.    코스닥지수 종가는 전장보다 5.18포인트(0.60%) 내린 861.79이다.    지수는 전 거래일보다 1.68포인트(0.19%) 오른 868.65로 출발한 뒤 하락했다.    코스닥 시장에서 외국인은 504억원어치를 순매도했다. 개인과 기관은 각각 573억원, 132억원어치를 순매수했다.    시총 상위 종목 가운데 에코프로(2.00%), 셀트리온헬스케어(0.77%), JYP엔터테인먼트(1.88%) 등이 올랐지만 에코프로비엠(-0.82%), 펄어비스(-2.40%), 카카오게임즈(-1.61%) 등은 내렸다.    이날 하루 유가증권시장과 코스닥시장의 거래 대금은 각각 8조7천70억원, 9조1천240억원으로 집계됐다.    mylux@yna.co.kr
]"
2023-06-29,삼성·미래에셋 '코스닥 우량주' ETF 동시 상장,"[
삼성·미래에셋운용 29일 동시 상장반도체·2차전지·콘텐츠·바이오 등코스닥 대표 성장 사업군 고루 투자



한국거래소 유가증권시장본부는 29일 오전 9시 서울사옥 홍보관에서 ‘코스닥 글로벌 세그먼트’ 연계상품으로 재무실적·기업 건전성·지배구조 요건 등을 충족해 '코스닥시장 글로벌 기업'으로 선정된 기업에 투자하는 코스닥글로벌 ETF 상장기념식을 개최했다. 왼쪽부터 홍순욱 한국거래소 코스닥시장본부장, 이병성 미래에셋자산운용 대표이사, 서봉균 삼성자산운용 대표이사, 손병두 한국거래소 이사장이 기념촬영을 하고 있다/ 사진제공=한국거래소[서울경제] 삼성자산운용과 미래에셋자산운용이 코스닥에서 블루칩 기업들을 추린 ‘코스닥글로벌지수’를 추종하는 상장지수펀드(ETF)를 동시에 선보였다. ★본지 6월 22일자 22면 참조29일 한국거래소에 따르면 이날 삼성자산운용의 ‘KODEX 코스닥 글로벌 ETF’와 미래에셋자산운용의 ‘TIGER 코스닥 글로벌 ETF’가 유가증권시장에 신규 상장했다. 총보수는 각각 연 0.09%, 0.15%다.이들 ETF가 기초지수로 삼는 ‘코스닥글로벌지수’는 코스닥 내 시가총액 상위 기업 중 지배구조 등을 고려해 우량한 50개 종목을 모아 만든 지수다. 지난해 11월 거래소가 미국의 ‘나스닥글로벌셀렉트세그먼트’를 롤모델로 삼아 우량 기업들을 코스닥에 잔류하게 해 코스닥 기업들의 저평가를 해소하면서 위상을 높이겠다는 취지로 만들었다.코스닥글로벌세그먼트에 편입되려면 일반 기업은 시가총액 5000억 원 이상, 바이오 기업은 시총 1조 원과 자기자본 1000억 원을 넘어야 한다. 또 지배구조와 기업 건전성, 회계 투명성 등 다양한 환경·사회·지배구조(ESG) 요소를 충족한 기업들을 편입해 기존 코스닥 상위 10% 기업들로 구성된 ‘코스닥150’지수와 차별화를 꾀했다는 평가를 받는다.



코스닥글로벌세그먼트지수에 편입된 종목은 이날 기준 50개로 원익IPS(240810), 솔브레인(357780), 리노공업(058470), JYP Ent.(035900), 카카오게임즈(293490), 에코프로비엠(247540), 셀트리온헬스케어(091990), 엘앤에프(066970) 등 산업군별 대표 우량 기업을 중심으로 균형 있게 구성됐다. 이들 기업의 시가총액은 97조 4275억 원으로 코스닥 전체 시총(409조 8990억 원)의 23% 수준이다.금융투자 업계는 코스닥글로벌지수의 ETF 상품화로 개인투자자들이 코스닥에 안정적으로 장기 투자할 수 있는 환경이 마련됐다고 평가했다. 또 ETF를 통한 패시브 자금(시장지수 추종 투자 자금) 유입이 늘어 코스닥에 대한 기관과 외국인의 투자 확대를 이끌어낼 수 있다는 관측도 제기된다.
]"
2023-06-29,엔데믹 정착했는데...치료제 사업은 어쩌나,"[




코로나19 팬데믹 당시 큰 주목을 받았던 치료제 개발 사업이 하나 둘 좌초되고 있다. 엔데믹을 맞아 국내외 제약사가 치료제 사업에서 손을 떼는 모양새다.엔데믹이라는 말 그래도 감염병이 풍토병으로 굳어지면서 치료제에 대한 수요가 없어 수익성은 물론, 사회공헌 차원에서도 효과를 기대하기 어려워서다.29일 업계에 따르면 셀트리온은 올해 초 열린 이사회에서 미국의 글로벌 제약사 머크가 개발한 코로나19 치료제 '몰누피라비르'(제품명 라게브리오)의 복제약(제네릭)을 생산하기 위해 맺은 라이선스 계약을 해지했다.셀트리온은 지난해 1월 국제의약품특허풀(MPP)이 선정한 몰누피라비르 복제약 생산 기업에 선정돼 라이선스를 확보했다. 당시 셀트리온과 함께 선정된 국내 기업인 한미약품 동방에프티엘은 중저소득 국가 100여개에 복제약을 공급할 계획이었다.셀트리온 관계자는 ""코로나19 상황이 완화돼 계약을 해지했다""고 말했다.다만 셀트리온은 화이자의 코로나19 치료제 팍스로비드의 복제약은 개발을 완료해 현재 세계보건기구(WHO)에 허가를 신청해둔 상태다.한미약품도 올해 초 몰누피라비르 복제약 생산을 위한 라이선스 계약을 해지했다.한미약품 관계자는 ""생산을 위한 공정 개발에만 몇 년이 걸리는데 엔데믹이 빨리 왔다""며 ""애초에 수익을 기대하고 진행한 사업이 아니고 저소득 국가 의약품 접근성을 높이고자 시작했는데 (엔데믹으로) 그 부분이 해소돼 취지가 모호해졌다""고 밝혔다.제넨셀도 지난해 8월 개발 중인 코로나19 치료제의 인도 임상 2·3상 계획을 승인받았지만, 잠정 중단한 상태다. 다만 국내에서는 이 후보물질의 임상 2상 환자 투약을 종료했으며 결과를 분석한 후 향후 전략을 짤 계획이라고 밝혔다.오리지널 코로나19 치료제 개발사도 코로나19 치료제 사업 축소에 나섰다.머크는 유럽에서 진행하던 몰누피라비르의 코로나19 치료제 허가 신청을 자진 철회했다. 유럽의약품청(EMA) 산하 자문위원회가 이 치료제의 정식 허가를 권고하지 않기로 해서다.다만 머크는 이 치료제를 호흡기세포융합바이러스(RSV), 인플루엔자, 기타 팬데믹 가능성이 있는 다른 바이러스에 사용할 수 있는지 알아보기 위한 연구를 계속하고 있으며 여러 나라에서 여전히 사용 중이라고 밝혔다.그러나 업계의 이러한 결정이 사회에 미치는 영향은 크지 않을 것이라는 분석이 나온다. 한 업계 관계자는 ""몰누피라비르는 애초에 정식으로 허가받은 제품도 아닐뿐더러 엔데믹으로 접어들어 중저소득 국가도 치료제가 필요하지 않아 큰 영향은 없을 것으로 보인다""고 말했다.(사진=연합뉴스)
]"
2023-06-29,"코로나19 치료제 사업 손떼는 제약사들…""엔데믹 영향""(종합)","[
머크, 라게브리오 허가신청 자진철회…셀트리온·한미약품도 라이선스 해지



먹는치료제 '라게브리오'[연합뉴스TV 제공](서울=연합뉴스) 조현영 기자 = 코로나19 엔데믹을 맞아 국내외 제약사가 관련 치료제 사업에서 하나둘 손을 떼는 모양새다.     수요가 없어 수익성은 물론, 사회공헌 차원에서도 효과를 기대하기 어려워서다. 엔데믹은 대유행한 감염병이 풍토병으로 굳어지면서 팬데믹이 종식되는 국면을 뜻한다.    29일 업계에 따르면 셀트리온은 올해 초 열린 이사회에서 미국의 글로벌 제약사 머크가 개발한 코로나19 치료제 '몰누피라비르'(제품명 라게브리오)의 복제약(제네릭)을 생산하기 위해 맺은 라이선스 계약을 해지했다.     셀트리온은 지난해 1월 국제의약품특허풀(MPP)이 선정한 몰누피라비르 복제약 생산 기업에 선정돼 라이선스를 확보했다. 당시 셀트리온과 함께 선정된 국내 기업인 한미약품과 동방에프티엘은 중저소득 국가 100여개에 복제약을 공급할 계획이었다.     셀트리온 관계자는 ""코로나19 상황이 완화돼 계약을 해지했다""고 말했다.     다만 셀트리온은 화이자의 코로나19 치료제 팍스로비드의 복제약은 개발을 완료해 현재 세계보건기구(WHO)에 허가를 신청해둔 상태다.     한미약품도 올해 초 몰누피라비르 복제약 생산을 위한 라이선스 계약을 해지했다.     한미약품 관계자는 ""생산을 위한 공정 개발에만 몇 년이 걸리는데 엔데믹이 빨리 왔다""며 ""애초에 수익을 기대하고 진행한 사업이 아니고 저소득 국가 의약품 접근성을 높이고자 시작했는데 (엔데믹으로) 그 부분이 해소돼 취지가 모호해졌다""고 밝혔다.     제넨셀도 지난해 8월 개발 중인 코로나19 치료제의 인도 임상 2·3상 계획을 승인받았지만, 잠정 중단한 상태다.     다만 국내에서는 이 후보물질의 임상 2상 환자 투약을 종료했으며 결과를 분석한 후 향후 전략을 짤 계획이라고 밝혔다.    오리지널 코로나19 치료제 개발사도 일부 지역에서 코로나19 치료제 사업을 축소하는 모양새다.     머크는 최근 유럽에서 진행하던 몰누피라비르의 코로나19 치료제 허가 신청을 자진 철회했다. 유럽의약품청(EMA) 산하 자문위원회가 이 치료제의 정식 허가를 권고하지 않기로 하면서 내린 결정이다.     다만 머크는 이 치료제를 호흡기세포융합바이러스(RSV), 인플루엔자, 기타 팬데믹 가능성이 있는 다른 바이러스에 사용할 수 있는지 알아보기 위한 연구를 계속하고 있으며 여러 나라에서 여전히 사용 중이라고 밝혔다.     그러나 업계의 이러한 결정이 사회에 미치는 영향은 크지 않을 것이라는 분석이 나온다.    한 업계 관계자는 ""몰누피라비르는 애초에 정식으로 허가받은 제품도 아닐뿐더러 엔데믹으로 접어들어 중저소득 국가도 치료제가 필요하지 않아 큰 영향은 없을 것으로 보인다""고 말했다.     hyun0@yna.co.kr
]"
2023-06-29,"삼성자산운용, KODEX 코스닥글로벌 ETF 상장","[
코스닥 글로벌 세그먼트 편입 50개 우량기업배터리·반도체·바이오 등 섹터 주도기업에 집중투자[이데일리 김보겸 기자] 삼성자산운용은 29일 코스닥 시장을 대표하는 소수 우량기업에 투자할 수 있는 ‘KODEX 코스닥글로벌 상장지수펀드(ETF)’를 새롭게 상장한다고 이날 밝혔다. 



KODEX 코스닥글로벌 ETF는 한국거래소가 산출하는 ‘코스닥 글로벌 지수’를 추종한다. 지난해 11월 한국거래소는 나스닥의 대형 우량기업을 별도로 관리하는 ‘글로벌 셀렉트 세그먼트’를 벤치마킹해 ‘코스닥 글로벌 세그먼트’를 선정했다. 이러한 코스닥 글로벌 세그먼트의 편입 종목을 담아 지수로 개발한 것이 ‘코스닥 글로벌 지수’다.코스닥 글로벌 지수는 시가총액, 재무실적뿐만 아니라 지배구조, 기업 건전성, 회계 투명성 등 ESG(환경·사회·지배구조) 요건까지 감안한 엄격한 지정 조건을 통과한 50개 소수 우량 기업만을 담고 있다. 코스닥 글로벌 지수도 코스닥150 지수처럼 2차전지 및 반도체 소부장(소재?부품?장비) 기업, 제약?바이오 섹터 등 성장 가능성이 큰 유망 섹터의 편입 비중이 높을 뿐만 아니라 해당 섹터의 우량 개별 종목들에 보다 더 집중 투자할 수 있다는 차별점도 보유하고 있다.실제로 KODEX 코스닥글로벌 ETF의 주요 투자 종목에는 △2차전지 핵심 소재기업인 에코프로비엠(247540), 엘앤에프(066970), 천보(278280)와 △반도체 소부장 대표 기업인 리노공업(058470), 서울반도체(046890), 원익IPS(240810), △제약 및 바이오 섹터의 셀트리온헬스케어(091990), 알테오젠(196170), 레고켐바이오(141080)사이언스 등이 포함됐다. 총 보수는 연 0.09%로 업계 최저이며 코스닥 시장에 투자하는 여타 코스닥150 ETF들에 비해서도 더 낮은 수준이다.KODEX 코스닥글로벌 ETF는 개인연금 및 퇴직연금 계좌에서 모두 투자가 가능하다.김도형 삼성자산운용 ETF컨설팅본부장은 “KODEX 코스닥글로벌 ETF는 정부가 육성하는 2차전지, 반도체 및 바이오 산업의 핵심 기업들에 높은 비중으로 투자할 수 있는 상품으로 이 ETF가 추종하는 코스닥글로벌 지수는 지난해 말 선보인 이후 일반 코스닥 지수는 물론 코스닥150 지수를 모두 초과하는 수익률 성과를 기록하고 있다”며 “국내 성장 기업에 집중적으로 투자하기를 원하는 투자자들에게 좋은 선택이 될 것”이라고 전했다.
]"
