date,title,content
2023-06-24,"'15만→7만원' 반토막 나더니…""엔비디아 장비까지 들여왔다"" [신현아의 IPO 그후]","[
한국판 '챗GPT'로 돌파구 찾는 회사코난테크놀로지, 고점 대비 주가 55% 밑돌아AI 테마 재료 소멸에 적자 지속 탓증권가 ""실적 개선 뒷받침돼야""



""11층입니다. 구해주세요.""상장 1주년을 맞은 인공지능(AI) 소프트웨어 전문 기업 코난테크놀로지가 '코난GPT(가칭)'로 돌파구를 모색한다. 코난GPT 개발을 위해 올 초 거액을 들여 엔비디아의 장비도 들여왔다. 주가는 AI 챗봇 '챗GPT'가 띄운 AI 열풍에 올 1~2월 두 달 동안 무려 400% 넘게 뛰기도 했지만, 실적 부진 속 상승분을 대부분 반납한 상태다. 상승 구간에서 이 회사 주식을 매수한 투자자들의 원성이 커지고 있다. 24일 한국거래소에 따르면 코난테크놀로지의 전일 종가는 7만200원이다. 올해 2만원대로 출발한 주가는 반년 새 약 3배(149%) 급등했지만, 올 초 15만원대(2월 28일 장중 고가 15만7700원)까지 고점을 높였던 만큼 현재의 주가 상황은 일부 투자자에겐 다소 아쉬울 수밖에 없다. 1조원을 바라봤던 시가총액도 이젠 3987억원 수준으로 쪼그라들었다. 주가는 공모가(2만5000원) 대비론 181% 웃돌고 있다.  챗GPT 업고 두 달 동안 414% '껑충'코난테크놀로지는 작년 7월 7일 상장했다. 상장 준비 과정에서 분위기는 좋았다. 기술력이 높이 평가되면서다. 코난테크놀로지는 텍스트, 음성, 영상 등을 인식하는 AI 원천기술을 자체적으로 보유한 국내 유일의 기업이다. 한국항공우주(KAI)와 SK텔레콤의 자회사 SK커뮤니케이션즈가 전략적투자자인 점, 기술특례 방식으로 상장했다. 상장 직전 2년(2020~2021년) 동안 이익을 내온 점도 긍정적으로 작용했다. 



사진=로이터상장 이후 이렇다 할 모멘텀이 없자 주가는 한동안 지지부진한 흐름을 지속했다. 그러다 작년 11월 챗GPT 등장이 주가 폭등의 계기가 됐다. AI 기술 기업에 대한 기대감에 매수세가 몰렸다. 코난테크놀로지는 올 1~2월 두 달 동안 414% 올랐다. 이 기간 또 다른 AI 관련주인 셀바스AI와 알체라도 각각 336%, 166% 급등했다. 하지만 증시 자금이 2차전지로 쏠리면서 AI 테마주의 거품이 꺼지기 시작했다. 최근 들어선 거래량도 저조하다. 이번주 5거래일(19~23일) 거래량은 일일 기준 모두 5만주 아래였다.실적 부진도 문제가 됐다. 올 1분기 회사는 32억원의 영업손실을 냈다. 상장 직전 해인 2020~2021년 흑자를 유지했지만, 상장하고 나서 되레 영업이익이 적자로 돌아섰다. 공공 부문의 발주가 일부 지연된 데다 경기 침체로 AI 관련 투자가 줄어들었지만, 개발 인력 확대로 인건비가 증가하면서 수익성이 악화한 탓이다. 지난해 코난테크놀로지의 영업손실은 40억원으로 집계됐다.  3분기 코난GPT 공개, 반등 모멘텀 되나 



코난테크놀로지는 지난 2월  스페인 바르셀로나에서 개막하는 MWC23에 SKT의 AI 파트너사로서 참가했다. 당시 전시관 조감도. / 자료=코난테크놀로지회사는 생성형 AI '코난GPT'로 재도약에 나선다. 코난GPT는 기존 챗GPT의 한계로 지적되는 '할루시네이션(거짓정보를 사실처럼 얘기)'과 보안 문제를 극복해 개발되는 게 특징이다. 회사 관계자는 ""회사의 중요한 기밀이 외부로 유출되거나, 생성형 AI가 틀린 답변을 내놓는 할루시네이션 이슈로 인해 답변을 검증하는 데 많은 시간이 걸리며 이는 답변의 정합성이 중요한 공공 분야에서 사용에 큰 허들이 된다""고 설명했다.회사는 코난GPT 개발 가속화를 위해 올 2월 국내에서 가장 먼저 엔비디아의 고성능 GPU H100 장비 8대를 발주해 이달 들여왔다. 코난GPT와 같은 초거대언어모델(LLM) 개발에는 엔비디아의 H100와 같은 초고속·저전력의 반도체가 필요하다. 코난GPT는 올해 3분기 발표되며 향후 기업과정부간거래(B2G)과 기업간거래(B2B) 시장에 진출한다.최근 여성가족부, 법무부, 국세 등 공공기관 수주도 이어지고 있다. 전체 계약 수주잔고 금액은 2021년 말 약 50억원 수준에서 올 1분기 말 156억9200만 규모로 지속적으로 증가했다. 또 회사는 기존의 구축형 소프트웨어 사업에서 서비스형 소프트웨어(SaaS) 솔루션으로 사업 영역을 넓히고 있다. 정호윤 한국투자증권 연구원은 ""앞으로 SaaS 솔루션 매출 확대가 성장을 견인해나갈 것""이라고 전망했다.



김영섬 코난테크놀로지 대표SK텔레콤, KAI 등 주요주주와의 협업도 강화하고 있다. 코난테크놀로지는 ""KAI와는 AI 기술력을 항공·방산 분야에 접목하고 미래 전장 산업 성장 모멘텀 강화를 위해 관련 계약들이 순차적으로 체결될 예정""이라며 ""SK텔레콤과도 AI 전문 인력 교류 및 활용을 통해 다양한 AI 프로젝트들이 협의가 진행 중이며, 구체적인 내용은 올 2분기부터 가시화될 것""이라고 예상했다. 주가 반등은 실적이 뒷받침돼야 가능할 것이란 게 증권가 시각이다. 올 하반기 예정된 네이버의 초거대 AI 하이퍼클로바 출시가 계기로 작용할 수 있단 분석도 나온다. 박종선 유진투자증권 연구원은 ""최근 엔비디아 호실적에 따른 수혜가 AI 서비스 업체보단 반도체 쪽으로 향했다""며 ""AI 테마, 실적 개선이 동반돼야 주가가 이전 고점 수준으로 반등할 수 있을 것으로 보인다""고 설명했다.하지만 작년 적자에 이어 올해도 실적 부진은 지속되고 있다. 개발 인력 확충에 따른 인건비 증가를 비롯해 엔비디아 장비 발주로 돈 들어갈 일이 많은 점은 우려 요인이다. 회사 관계자는 ""엔비디아 장비 비용 반영 시기에 대해선 언급할 수 있는 게 없다""고 말했다. 
]"
2023-06-21,"AI로 고도화된 AWS 플랫폼, 韓 SW 파트너사들 도약 뒷받침","[
[2023 K-클라우드·AI프런티어 컨퍼런스] AWS, 미리디·알체라·잉카엔트웍스 등 韓기업 사례 발표



송주현 AWS 디지털 세그먼트 영업 총괄이 21일 서울 을지로 페럼타워에서 열린 'K-클라우드·AI프런티어' 컨퍼런스에서 발표를 하고 있다. /사진제공=AWS세계 최초 AI(인공지능) 기반 산불감시 SaaS(서비스형 소프트웨어) 솔루션을 출시한 알체라, 비전문가도 쉽게 디자인 콘텐츠를 생산할 수 있도록 한 SaaS 제품을 개발한 미리디, 노코딩 기반 보안 콘텐츠 솔루션 제작사 잉카엔트웍스 등 국내 토종 기업들이 AWS(아마존웹서비스) 플랫폼을 바탕으로 SaaS 전환 및 시장 확장에 성공한 사례들을 공유했다.황영규 알체라 대표는 미국 캘리포니아 소노마 카운티에 설치된 산불감시 AI 시스템 '파이어스카우트'의 성공 사례를 소개했다. 이 솔루션은 카메라에 연기가 감지되는 즉시 해당 위치를 최소의 오차 범위 내로 파악, 대응인력에 알림을 전송하는 AI기반 시스템으로 세계 최초 산불감시 AI시스템으로 꼽힌다.황 대표는 산불영상 처리에서부터 이미지 정보의 안정적 관리, 카메라 관리, 이벤트 처리 및 알림 서비스 운용의 제반 과정에 AWS의 각종 솔루션이 어떻게 쓰이고 있는지 소개했다. AWS 기반 SaaS 솔루션이기 때문에 미국 현지가 아닌 한국에서 시스템 관리가 가능한 데다 클라우드 기반 솔루션이기 때문에 고객의 용량 증설 요구에 유연하게 즉각 대응할 수 있다는 점도 강점으로 꼽았다.강창석 미리디 대표 역시 클라우드 전환 이후 회사의 성장세가 본격화된 경험을 소개했다. 비전문가도 쉽게 디자인 콘텐츠를 생산할 수 있도록 한 SaaS 솔루션을 만드는 이 회사는 초기에 IDC(인터넷데이터센터) 환경에서 영업을 시작한 후 회원수가 10만명에 이르는 시기 심각한 인프라 병목현상에 시달렸다.이후 AWS로 컴퓨팅 인프라를 이전한 후 현재 1000만명 이상 수준으로 회원수가 늘어날 때까지 인프라 문제가 전혀 없었다. 강 대표는 AWS로의 이전 이후 새로운 기능을 개발하고 연구에만 집중할 수 있는 환경이 조성됐다며 AWS의 머신러닝 서비스들을 도입, 더 나은 서비스를 제공하며 한국을 넘어 글로벌 시장으로의 확대를 준비 중이다.사이버보안 전문기업 잉카엔트웍스의 남재민 이사도 AWS의 ISV(독립소프트웨어벤더) 프로그램을 활용해 성공적으로 해외 시장에 진출할 수 있었던 사례를 소개했다. 기존 온프레미스 솔루션 사업에서 AWS에서의 SaaS 형태로 서비스를 제공하는 형태로 비즈니스 모델을 변경, 성공적으로 비즈니스를 확장한 것.또 AWS 영업팀과 영업기회를 공유하는 등 파트너십을 적극 활용, 해외 현지 전문가 없이도 해외시장을 뚫을 수 있었던 동시에 해외 고객향 매출도 달성할 수 있었다.송주현 AWS 디지털 세그먼트 총괄은 ""AI 발달로 소프트웨어가 산업혁신 원동력이 되고 SaaS화로 시장이 재편되고 있다""며 ""며 ""AWS는 고객이 변화하는 요구사항에 맞출 수 있도록 지속적으로 혁신·성공·성장할 수 있도록 하고 소프트웨어 회사가 진정한 SaaS 비즈니스로 탈바꿈할 수 있도록 지원한다""고 했다.



/사진제공=AWS
]"
2023-06-20,본투글로벌센터 디지털수출 전초기지로 독립,"[
과기정통부, AI SaaS DX 5G 반도체 거브테크 등 디지털수출 개척 전략 마련...동남아 중동 남미 등 먼저 공략



 사진설명=박윤규 과기정통부 제 2차관이 2일 정부서울청사에서 ‘디지털 분야 해외 진출 및 수출 활성화 전략’을 설명하고 있다.혁신 기술 기업 해외진출을 지원하는 본투글로벌센터(센터장 김종갑)가 디지털 수출 전초기지 역할을 수행하는 독립재단으로 출범한다.과학기술정보통신부는 현재 정보통신진흥협회(KAIT) 산하 기관인 본투글로벌센터를 해외수출 전담기구로 독립시키고, 디지털 수출 7대 핵심 품목 선정, 글로벌 디지털수출 루트 선점전략 등을 담은 ‘디지털 분야 해외 진출 및 수출 활성화 전략’을 마련했다.이달초 경제부총리 주재 ‘서비스 산업 발전TF’에 상정돼 발표된 이 전략에 따르면, 과기정통부는 디지털 분야에서 최근 성장 가능성이 높은 서비스형 SW(SaaS)와 인공지능(AI), 메타버스 등 첨단SW 기술과 AI반도체, 5G(세대) 네트워크 등 정보통신기술(ICT) 장비와 부품, DX(디지털 전환)와 거브테크(플랫폼정부) 등 디지털플랫폼 수출에 주력키로 했다.이와함께 내년에  중동에 새 수출 거점을 마련하는 등 중동과 아세안, 중남미 등 신흥 시장도 적극 개척한다. 이를위해 현재의 본투글로벌센터를 확대 개편하고, 혁신 기업의 해외진출을 중점 지원하는 독립 전문기관으로 발족시키기로 했다.이는 글로벌 경기 위축으로 수출이 제자리걸음을 하는 상황을 돌파하기 위한 전 부처간 총력 대응 전략의 하나이며, 한국 수출에서 대들보 구실을 하는 디지털을 중심으로 과기정통부가 새로운 성장 동력을 개척하기 위해 마련했다.우선 SW, AI서비스, OTT(Over The Top,인터넷 VOD 서비스), 메타버스, 블록체인 등 SW ICT서비스의 유망 품목을 육성한다. 글로벌 SW기업 육성을 위해 연구개발(R&amp;D), 사업화, 해외 진출까지 연계해 지원하는 ‘SW프런티어 프로젝트’를 추진하고, 유망 서비스형 SW(SaaS) 기업들의 해외 진출을 위해 AWS나 MS 같은 글로벌 클라우드 기업과의 협력도 지원하기로 했다.AI 서비스는 처음 기획부터 글로벌 진출에 맞도록 개발과 해외 사업화를 지원하는 프로젝트를 내년에 신설하고, 국산 AI를 확산시키기 위해 수요 맞춤형 서비스를 개발하도록 돕는 글로벌 바우처도 지원한다. OTT 기업이 해외 진출할 때 지원하는 콘텐츠 제작지원 금액을 내년부터 키우고, 콘텐츠와 디바이스간 동반진출도 확대키로 했다. 또 해외에 5G 이동통신 네트워크 장비·부품을 수출하도록 지원하고 오픈랜(Open-RAN) 등 차세대 시스템에 대한 공동연구도 지원키로 했다. AI 반도체는 국내 데이터센터에 우선 적용하고 클라우드 기반 서비스 실증기회도 제공한다.디지털 영토 확대 차원에서는 민관 합동 디지털 수출개척단을 오는 10월 사우디아라비아·UAE에 파견해 네옴시티 프로젝트 등 다양한 사업 수주 기회를 확보하도록 지원키로 했다. 중동에 거점을 마련키 이해 내년 UAE에 IT지원센터를 신설할 계획이다.해외시장 개척은 먼저 ‘한-아세안 협력기금’을 활용해 동남아 시장을 공략한다. 베트남, 싱가포르, 인도네시아에 먼저 수출 물꼬를 트는 작업을 추진중이다. 중남미 시장에선 코로나19 이후 중단됐던 ‘ICT 장관 회의’를 재개하고 정부개발원조(ODA·개발도상국이나 국제기관에 하는 원조)를 활용해 우호적인 관계를 구축키로 했다. 내년에 아르헨티나와 콜럼비아를 중심으로 민간 거점도 신설한다.박 차관은 “현재 한국정보통신진흥협회(KAIT) 산하에 있는 ‘본투글로벌센터’를 독립된 기관으로 육성해나갈 것”이라며 “기획부터 컨설팅, JV(조인트벤처) 설립까지 다양한 지원을 전문적으로 해나가겠다”고 강조했다.지난 2013년에 설립된 본투글로벌센터(판교 스타트업캠퍼스내 위치)는 ICT(정보통신기술) 혁신 스타트업의 글로벌 진출을 지원해온 기관으로 회계 법률 컨설팅, 해외 마케팅, 해외 투자유치, 국제기구 연계 등을 지원하고 있다. 유니콘 기업인 센드버드, 코스닥 상장기업인 네오펙트 플리토 제이엘케이 알체라 뷰노 등 모두 2,842개 기업을 지원해 3조원 이상의 투자유치 실적을 거뒀으며 112개 해외법인 설립을 도왔다.
]"
2023-06-12,[코스닥 공시] KT서브마린 / 알체라 / 셀바스헬스케어 등,"[
			◇KT서브마린=LIG넥스원과 166억원 규모 원거리 탐지용 음향센서 수중설치 공급계약.◇알체라=18억원 규모 안면인식 소프트웨어 납품계약.◇셀바스헬스케어=미국 AI 기반 심장 진단 초음파 기업 지분 2.7%를 13억원에 인수.◇대신정보통신=보통주 1주당 20원 현금배당.◇에이치비테크놀러지=112억원 규모 디스플레이 검사장비 공급.
]"
2023-06-12,오늘의 인사 종합,"[
			[이데일리 김범준 기자] ●충북도의회 &lt;4급&gt; ◇승진 △산업경제수석전문위원 민복기 ◇전보 △홍보담당관 신복순 △국회 파견 음창규●세종시 ◇임용 &lt;상임직&gt; △정책특별보좌관 유진수 △해외협력관 홍만표 △해외협력관 폴 질카 ◇위촉 &lt;비상임 정책특별보좌관&gt; △정원·축제분야 정강환 배재대 관광축제한류대학원장·국제정원관광네트워크(IGTN) 한국지부장 △홍보분야 박희숙 월간 세종우먼 대표 △청년분야 신아영 에이와이컴퍼니 대표●뷰어스 ◇선임 △산업IT부장 백민재●뉴스펭귄 ◇선임 △대표이사 추승희●알체라 ◇선임 △재무담당 VP 이준모
]"
2023-06-12,"알체라, 소트시스템과 18억원 규모 안면인식 SW 지원 계약 체결","[




알체라는 주식회사 소트시스템과 18억3580만원 규모의 인천공항 스마트패스 2차사업 안면인식 소프트웨어 납품 및 기술지원 계약을 체결했다고 12일 공시했다.이는 2022년 매출액의 16.56%에 해당한다. 계약 기간은 지난 9일부터 2025년 4월 24일까지다.
		]"
2023-06-12,[인사] 알체라,"[
			[이데일리 김현아 기자]영상인식 인공지능(AI) 전문기업 알체라(347860)(대표 황영규)가 12일자로 아래와 같이 인사를 단행하고 발령을 냈다.△재무담당 VP(Vice president)이준모
]"
2023-05-25,드론으로 산불 감시·VR로 안전교육…'재난' 대응하는 스타트업 [긱스],"[
이 기사는 프리미엄 스타트업 미디어 플랫폼 한경 긱스에 게재된 기사입니다.매년 5월 25일은 '방재의 날'입니다. 재해 예방에 대한 국민 의식을 높이고 재난으로 인한 피해를 줄이기 위해 제정한 법정기념일인데요. 매년 이날엔 전국적으로 재난 대응 훈련이 치러지기도 합니다. 재난을 막는 데에도 '기술'이 접목되는 시대입니다. 한경 긱스(Geeks)가 방재의 날을 맞아 재난에 대처하는 솔루션을 가진 스타트업들을 소개합니다. #지난해 가을 미국 플로리다를 덮쳤던 허리케인 '이안'은 150명 이상의 사망자와 함께 1000억달러(약 130조원) 넘는 피해액을 남겼다. 미국 사상 역대 5번째로 강력했던 이 허리케인의 피해 정도를 거의 정확하게 맞춘 회사가 있다. 미국 스타트업 원컨선이다. 이 회사는 기후 데이터를 분석해 홍수 같은 재난이 닥칠 경우 기업에 미치는 피해가 어느정도인지 예측하고 시뮬레이션하는 서비스형 소프트웨어(SaaS)를 선보였다. 2015년 설립된 이 회사는 지금까지 약 1억2000만달러(약 1600억원)를 투자받았다.#2019년 문을 연 토종 스타트업 인터랙트는 가상현실(VR) 기술을 바탕으로 한 재난 안전훈련 소프트웨어를 만들었다. 이 회사는 화재나 감전사고 같이 소방관의 대응이 필요한 상황을 VR로 구현했다. 성장성을 인정받아 2021년 중소벤처기업부의 스타트업 지원 프로그램인 '팁스'에 선정되기도 했다.재난 상황을 예방하거나 대응하는 데도 스타트업의 '기술'이 쓰이고 있다. 기후 데이터를 분석해 산불이나 홍수 등 자연 재해뿐만 아니라 작업 현장에서의 안전 사고 같은 산업재해 상황에도 스타트업의 돌풍이 거세다. 이 회사들은 ESG(환경·사회·지배구조) 가치가 트렌드로 떠오르면서 더욱 각광받고 있다.



코드오브네이처는 이끼를 활용한 산림 복구 키트를 개발했다. 산불에 대처하는 스타트업 스타트업 업계에 따르면 코드오브네이처는 산불로 소실된 산림을 복구하는 키트를 개발했다. 이끼의 포자를 인공배양해 가공한 뒤 성장을 촉진하는 양액과 혼합해 만들었다. 이를 헬기나 드론 등을 이용해 피해를 입은 산림에 살포하는 식이다. 기존 복구 방식에 비해 비용은 60%, 기간은 30% 이상 단축했다고 회사 측은 설명했다. 이 회사는 성장성을 인정받아 롯데벤처스, 더벤처스, 시리즈벤처스 등으로부터 벤처투자금도 유치했다. 박재홍 코드오브네이처 대표는 ""지금 우리가 누리고 있는 자연이 아직 시작되기 전, 원시상태의 지구에 등장한 최초의 육상식물이 이끼""라며 ""이후 지금의 환경을 만들어낸 강인한 생명력에서 큰 영감을 얻었다""고 말했다.



산불 예방엔 드론 스타트업의 기술력도 들어갔다. 예를 들어 드론 스타트업 아르고스다인은 산림 재해를 막을 수 있는 시스템을 구축했다. 지형이 복잡한 산악 지역에 설치할 수 있는 이동형 스테이션을 개발했다. 또 드론에 열화상 카메라를 부착해 산불을 감시할 수 있고 조난자를 찾는 것도 가능하다고 회사 측은 설명했다. 이 회사는 남부지방산림청에 시스템을 실제로 공급하고 있다.비슷하게 판교 창업존 입주기업 출신으로 드론 기반 화재 감지 솔루션을 내놓은 스타트업 오조, 드론에 장착할 수 있는 유도 소화탄을 만든 오토노미아 등도 산불과 같은 화재에 특화된 서비스를 선보였다. 또 2016년 문을 연 뒤 고속 성장해 2020년 코스닥시장 입성에 성공한 알체라는 인공지능(AI) 영상 인식 기술을 통해 CCTV에 찍힌 산불을 감시하는 기술을 개발하기도 했다.



방철환 한국기상산업기술원 센터장이 기상기후 빅데이터 개념과 활용의 중요성에 대해 설명하고 있다. 사진=소풍벤처스 대세가 된 '기후테크' 스타트업이상 기후 현상이 잇따르면서 태풍과 홍수 같은 자연 재해를 예방하기 위한 기술도 중요성이 커지고 있다.인공지능(AI) 기업 에스아이에이는 위성 영상 데이터를 AI로 분석하는 기술을 통해 기후를 관측하는 솔루션을 개발했다. 이를테면 기상 관측 위성에서 받은 영상 데이터를 분석해 특정 지역의 강수량을 산출한 뒤 홍수 같은 기상 재해 발생 가능성을 예측하거나 작물이 직힌 영상을 학습한 뒤 가뭄이 일어날 것을 예상하는 식이다. 또 지진이 발생했을 때 건물이 파괴되는 정도도 파악할 수 있다는 게 회사 측의 설명이다. 이화여대 교원창업기업 출신인 레인버드지오 역시 위성 영상을 분석하는 기술을 보유했다. 이 회사는 비가 자주 오는 열대 기후 지역에 뇌우 조기 탐지 알고리즘을 적용한 솔루션을 공급한다. 또 정지기상위성의 에어로졸 광학두께 자료를 수집해 대기오염 정도를 모니터링하기도 한다. 회사 측은 ""동남아시아 지역에서의 뇌우 탐지율은 평균 85%, 오탐지율은 35% 수준""이라고 설명했다. 벤처캐피털(VC) 등 투자자들은 '기후테크' 분야를 사회적 가치를 창출하는 임팩트 투자로 규정하고 관련 회사를 키우는 데 집중하고 있다. 임팩트 전문 투자사 소풍벤처스가 대표적이다. 소풍벤처스는 기후 기술 분야의 시의성 있는 주제로 산업 동향과 유망 스타트업 사례를 소개하는 '월간클라이밋', 기후 기술 분야 창업가와 전문가들을 연결하는 네트워킹 행사인 '클라이밋테크 스타트업 서밋' 등을 연다. 한상엽 소풍벤처스 대표는 ""기상 예측과 재해 방지 분야는 비용이 많이 들고 탄소 배출량을 직접적으로 줄이는 '기후 완화'의 영역은 아니었기 때문에 그간 세계적으로 투자의 우선순위에서 밀려났다""며 ""하지만 가뭄, 산불, 홍수 같은 기후 위기로 인한 재난이 일상화되면서 재난이 단순 일상의 불편함을 넘어 사회 인프라에 피해를 미친다는 인식이 커진 만큼 앞으로는 활발한 투자가 이뤄질 것""이라고 설명했다.



사진=엠라인스튜디오 VR로 안전사고 예방... '산재'에도 기술 접목'재난 방지'라는 임무는 자연재해에만 국한되지 않는다. 작업 현장에서 벌어질 수 있는 안전 사고와 같은 산업재해를 막기 위해서도 스타트업들이 발벗고 나섰다. 특히 중대재해처벌법이 시행되면서 산업 안전에 대한 관심이 커짐에 따라 이 분야에 기업 간 거래(B2B) 서비스를 가진 스타트업도 주목받는다.스타트업 엠라인스튜디오는 VR 기술을 이용해 건설 현장의 사고를 체험할 수 있는 서비스를 내놨다. 예를 들어 플랜트 현장의 작업자가 되는 상황을 연출해 추락, 감전, 충돌, 화재, 낙하물 깔림 등의 사고 상황을 직접 느껴볼 수 있게 했다. 사고의 전조 증상이나 에피소드까지 엮어 생생함을 더했다는 설명이다. 이를 통해 몰입감을 높이고 작업 현장에서의 안전 불감증을 해소할 수 있을 것으로 보고 있다.그런가 하면 라이다(LiDAR) 스타트업 하이보는 KT그룹과 협업해 AI 가상 펜스를 만들었다. 라이다 기술을 통해 작업 현장의 이상 상황을 식별할 수 있는 기능을 갖췄다. 작업자가 위험 구역으로 들어가는지 확인이 가능하다. 산업용 자율주행 드론 스타트업 니어스랩은 사람이 작업하기엔 위험한 풍력발전기나 송전탑 같은 시설을 드론이 점검할 수 있는 소프트웨어를 개발했다. 또 원프레딕트는 AI로 산업 설비가 언제 고장날지를 예측해 재해를 막는 데 힘쓰고 있다.'카톡'의 먹통이 일상을 뒤흔드는 시대가 되면서 데이터 피해도 재해로 인식된다. 삼성벤처투자의 러브콜을 받은 제트컨버터클라우드는 클라우드 재해 복구 소프트웨어를 개발하기도 했다. 김대현 더벤처스 파트너는 ""유럽과 미국에서는 이미 방재 분야 유니콘기업(기업가치 1조원 이상 비상장사)이 등장했지만 한국에선 아직 없다""며 ""기후 변화로 인한 자연 재해뿐만 아니라 산업 재해도 심각해지면서 다양한 분야의 방재 기술에 대한 세계적인 관심이 커지고 있는 만큼 앞으로 투자가 활발해질 것""이라고 전망했다.
]"
2023-05-22,"금결원 ‘신분증 확인시스템’에 SW업계, 불공정 문제제기","[
“특정업체 솔루션 입찰 과정 불투명”SW조합, 감사원 감사 청구 예고“발급·금융기관 중개 역할 그쳐”금결원 ‘사실무근’ 입장 팽팽



금결원이 운영 중인 신분증 진위확인시스템을 둘러싸고 소프트웨어 업계와 금융결제원이 공정성 공방을 주고받고 있다.소프트웨어(SW)업계와 금융결제원이 충돌했다. 금결원이 운영 중인 신분증 진위확인시스템을 둘러싸고 소프트웨어 업계에서 공정성에 문제를 제기했다. 업계가 감사원 국민감사 청구를 예고하는 등 파장이 확산될 조짐이다.한국소프트웨어개발협동조합(이사장 김명화)은 최근 금융결제원에 공문을 보내 금결원이 운영 중인 신분증 진위확인시스템 선정에 대한 정보공개를 요청했다.조합은 “금융결제원 신분증 진위확인시스템에 대한 입찰 및 품질평가시험(BMT)를 진행한 과정을 확인해달라”고 했다. 조합 관계자는 “최근 특정 업체 솔루션이 신분증 진위확인시스템에 도입되는 과정이 불투명했다”고 주장했다.소프트웨어 업계 입장을 종합하면 2020년 경 금결원이 운영하는 신분증 진위확인시스템에 알체라의 솔루션이 ‘테스트’를 이유로 추가됐다. 해당 시스템은 2014년부터 운영 중인데 2020년까지 한국인식산업이 솔루션을 독점 공급했다. 조합에 따르면 2020년과 2021년에 걸쳐  경찰청(운전면허증) 일부와 외교부(여권) 신분증 진위확인 시스템에 알체라가 솔루션을 공급했는데 이 과정에서 공개 입찰 등이 없었다는 것이다. 조합 관계자는 “일각에선 금융결제원이 알체라 도입에 관여했다는 이야기가 나온다”면서 “의혹이 해명되지 않으면 감사원 감사 청구도 진행할 것”이라고 말했다. 알체라 관계자는 “외교부 여권 신분증 진위확인 시스템에 BMT를 통해 공정한 입찰 경쟁을 진행했으며 1위를 차지했다”면서 “오히려 수년간 한국인식산업이 시장에 솔루션을 독점 공급해왔던 점이 문제이며 시장경쟁에 따른 고도화된 기술을 영위할 소비자의 권리를 박탈한 독점 구조를 바로 잡아야 한다”고 말했다.이 문제는 지난해 9월 금융당국이 금융권 보이스피싱을 방지하기 위해 신분증 발급기관과 금융기관에 금결원 신분증 진위확인시스템을 사실상 의무 사용하도록 하며 수면 위로 떠올랐다. 당시 금융당국은 △위조된 신분증으로 비대면 계좌 개설이 되지 않도록 모든 금융회사가 신분증 진위 확인시스템을 사용하도록 절차를 강화하고 △신분증 도용을 방지할 수 있도록 신분증 사진과 실제 계좌 신청인 얼굴을 비교할 수 있는 안면인식시스템 도입을 추진한다고 밝혔다. 조합 관계자는 “이 중 신분증 진위확인시스템 사업에 다른 사업자들의 진입이 봉쇄됐다”고 주장했다.이와 관련, 금결원은 ‘사실무근’이라는 입장이다.  금결원 관계자는 “신분증 진위확인시스템은 행안부(주민등록증), 경찰청(운전면허증) 등 발급기관과 금융기관을 중개하는 역할만 한다”면서 “양쪽을 매칭하려면 이들이 도입한 솔루션을 쓸 수 밖에 없다”다고 반박했다. 해당 솔루션 도입 결정에 금결원이 관여할수 없는 위치라고 설명했다.금결원 관계자는 “알체라 도입도 복수의 업체가 솔루션을 공급해야 한다는 금융권 니즈에 따른 것”이라고 말했다. 이어 “신분증 진위확인 시스템을 제외한 안면인식 시스템은 6월경 발주할 계획”이라면서 “안면인식 시스템은 발급기관과 금융사를 연결할 필요가 없기 때문에 금융결제원이 주도해 공개적으로 업체를 선정할 계획”이라고 말했다.
]"
2023-05-10,BNK부산은행 ‘비대면 신분증 원본 검증 시스템’ 구축,"[
알체라 신분증 원본 검증 시스템 도입



BNK부산은행이 ‘비대면 신분증 원본 검증 시스템’ 구축 사업을 추진한다. 온라인 등 비대면 은행 업무가 한층 수월해질 것으로 기대된다.알체라는 10일 BNK부산은행이 추진하는 ‘비대면 신분증 원본 검증 시스템’ 구축 사업의 사업자에 선정됐다고 밝혔다.알체라는 금융결제원의 신분증 진위확인 시스템을 통해 주민등록증 운전면허증 여권 등 신분증 3종에 게재된 사진과 문자를 검증해 원본을 확인하는 서비스를 제공한다. 신분증 내 정보는 광학문자인식(OCR)을 통해 자동 추출한다. 특히 신분증의 사진까지 대조하고, 얼굴인식 기술을 통해 신분증 실소유자를 판별할 수 있는 것이 특징이다.BNK부산은행은 이 설루션 도입을 통해 비대면 금융거래 시 제출된 신분증의 도용이나 위·변조를 신속하게 판별해 고객의 안전한 금융생활을 보장할 것으로 기대했다.
		]"
