date,title,content
2023-06-29,"[특징주] 시큐센, 공모가 대비 210%↑...‘따따블’은 실패","[
일반청약·수요예측 올해 최고 경쟁률 기록



ⓒ데일리안[데일리안 = 백서원 기자] 신규 상장 종목 가격제한폭 완화 조치를 처음으로 적용받게 된 시큐센이 상장 첫날 급등세다. 다만 공모가의 최대 4배까지 오르는 ‘따따블’에는 실패했다.시큐센은 29일 오전 9시 51분 현재 코스닥시장에서 공모가 대비 210.33% 오른 9310원에 거래되고 있다.콤텍시스템 자회사 시큐센은 디지털 시큐리티 기업으로 인공지능(AI) 기반의 생체인증·전자서명 솔루션 사업을 비롯해 디지털 금융 서비스, 보안 솔루션 및 컨설팅 서비스 사업을 전개하고 있다.이 기업은 지난 20~21일 진행한 일반투자자 대상 공모주 청약에서 1932.1대1의 경쟁률을 기록하며 올해 최고 기록을 세웠다.시큐센은 앞서 진행한 기관투자자 대상 수요예측에서도 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정했다. 수요예측 경쟁률 역시 1800.86대 1로 올해 상장한 기업 가운데 최고치를 기록하는 등 주목받으면서 매수세가 이어진 것으로 풀이된다.한국거래소에 따르면 지난 26일부터 신규 상장 종목은 상장 첫날 공모가의 최대 4배까지 오를 수 있다.시큐센의 공모가는 3000원으로 이날 하루 동안은 1800~1만2000원 사이에서 가격이 형성된다.다만 시장에선 시초가가 공모가 2배를 기록한 뒤 상한가를 기록하는 ‘따상’ 대신 공모가의 400%까지 폭등하는 ‘따따블’이 가능해지면서 단기 가격 상승에 대한 기대감이 과도한 ‘빚투’로 이어질 것이라는 우려도 제기되고 있다.이에 따라 지난 27일 NH투자증권이 가장 먼저 유가증권시장과 코스닥시장에 새로 상장되는 종목들에 대해 상장일 당일에는 미수거래 서비스를 제공하지 않기로 했다. 이어 키움·대신·삼성·KB증권 등도 미수거래를 제한하며 투자자 보호 조치에 나섰다.
		]"
2023-06-29,"[ET라씨로] 시큐센, 상장 첫날 224% ‘쑤욱’","[
ET라씨로는 인공지능(AI) 기반으로 선별·분석한 주식 정보와 종목 매매 신호를 제공하는 전자신문 증권 정보 애플리케이션입니다. 플레이스토어에서 ‘ET라씨로’(-&gt;바로가기)를 다운로드하면 IT기업 뉴스와 시장 현황, AI 매매 타이밍을 받아볼 수 있습니다.



시큐센이 상장 첫날 급등세다. 공모가 최대 4배까지 ‘따따블’에는 못미쳤지만 224%라는 높은 오름세를 보였다.29일 오전 9시 21분 기준 시큐센(232830)은 공모가(3000원) 대비 224.00% 상승한 9720원에 거래되고 있다.콤텍시스템 자회사인 시큐센은 바이오 인증·보안 플랫폼을 전문으로 한다. 지난 20~21일 진행한 일반투자자 대상 공모주 청약에서 1932.65 대 1이라는 경쟁률을 기록하며 올해 최고 기록을 갈아치웠다.이보다 앞서 14~15일 진행한 기관투자자 대상 수요예측에서는 희망가격(2000~2400원) 상단을 초과한 3000원으로 최종 공모가가 확정됐다.한편, 한국거래소는 26일부터 코스피·코스닥시장 신규 상장 기업의 공모가를 기준가격으로 정한 뒤, 가격제한폭을 60~400%로 확대하는 내용의 ‘유가증권·코스닥시장 업무규정 시행세칙’을 실시했다. 이날부터 새내기 상장 종목은 거래 첫날 상승률이 공모가의 최대 4배까지 가능해졌다.#시큐센 #AI 매매신호 #실시간 매매타이밍 #알림 신청이 기사는 전자신문과 금융 AI 전문기업 씽크풀이 공동으로 작성한 것입니다. AI를 기반으로 생성된 데이터에 기자의 취재 내용을 추가한 ‘AI 휴머노이드 기사’입니다.※ ET라씨로에서 실시간 속보 확인하기
]"
2023-06-29,시큐센 상장 첫날 '따따블' 실패했지만…공모가 대비 228% 급등[특징주],"[




(시큐센 제공)(서울=뉴스1) 김정은 기자 = 일반 청약 공모에서 '흥행 대박'을 터트린 시큐센(232830)이 상장 첫날 장 초반 급등세를 기록했다. 다만 공모가의 최대 4배까지 오르는 '따따블'에는 실패했다.29일 오전 9시6분 현재 시큐센은 공모가(3000원) 대비 6860원(228.67%) 오른 9860원에 거래되고 있다. 콤텍시스템 자회사 시큐센은 지난 20~21일 진행한 일반투자자 대상 공모주 청약에서 1932.1대1의 경쟁률을 기록하며 올해 최고 기록을 갈아 치운 바 있다.시큐센은 지난 14~15일 기관투자자 대상 수요예측에서도 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정다. 총 1865개 기관이 참여해 1800.86대 1의 경쟁률을 기록했다. 올해 상장한 기업 수요예측 가운데 최고 경쟁률이다.시큐센은 상장 첫날 가격 변동 폭 확대의 첫 대상인 만큼 공모가의 최대 4배까지 오르는 '따따블'의 신화를 기록할 수 있을 지 시장의 관심이 쏠렸다. 앞서 한국거래소는 상장 당일에 한해 가격변동폭을 공모가의 400%로 확대하는 제도개선을 단행했다. 오는 26일부터 개선된 제도가 시행됐다. 이에 따라 상장 첫날 공모가 대비 손실률은 기존 최대 37%에서 40%로 커지고 수익률은 160%에서 300%로 확대됐다.
		]"
2023-06-28,"아이티센, 사우디 부동산 기업과 STO 사업 협약","[
			아이티센그룹(대표 강진모)이 알 샤리프 그룹 홀딩, 임페리얼 홀딩과 토큰증권발행( STO) 사업 추진을 위한 업무 협약(MOU)을 체결했다고 28일 밝혔다.한국금거래소디지털에셋 본사에서 열린 MOU 체결식에는 나와프 알 샤리프 알 샤라프 그룹 CEO와 알리 라나 사자드 임페리얼 홀딩 CEO, 박정재 아이티센 그룹 대표, 백만용 INF 컨설팅 대표, 천석범 대표, 박성욱 한국금거래소디지털에셋 대표가 참석했다.이번 MOU를 통해 알 샤리프 그룹 홀딩과 임페리얼 홀딩은 사우디아라비아의 부동산 및 부동산 개발 사업의 토큰증권화를 위한 상품 소싱을 지원하고 아이티센 그룹은 해당 토큰증권의 국내 발행 및 유통을 지원한다.



(왼쪽부터) 알리 라나 사자드 임페리얼 홀딩 CEO, 박정재 아이티센 그룹 대표, 나와프 알 샤리프 알 샤라프 그룹 CEO(이미지=아이티센)또한 사우디아라비아 내에서의 조각투자 샌드박스 추진을 위해 조각투자업체, 증권사, 시스템 개발업체 등 필요 기업들을 모아 컨소시엄을 구성하고 연내 이의 실행을 위한 파일럿 프로젝트에 착수하게 된다.박정재 대표는 ""아이티센 그룹이 보유한 STO 플랫폼과 디지털자산에 대한 차별적인 경쟁력을 사우디아라비아의 차세대 개발사업 기회에 투영하여 글로벌 시장에서도 의미 있는 발자취를 만들어가는 단초로 삼겠다”고 밝혔다.알 샤리프 그룹 홀딩은 사우디아라비아의 국영석유기업인 아람코의 주요 협력사 중 하나다. 여러 자회사를 통해 부동산개발, 건설, 인프라 구축, 엔지니어링 및 발전 사업을 영위하고 있다. 임페리얼 홀딩 역시 중동 및 북아프리카를 중심으로 활동하는 해외 투자유치 및 수출 컨설팅 전문 기업이다.알 샤리프 그룹 홀딩과 임페리얼 홀딩은 최근 사우디아라비아 북서부 타북주 약 2만6500㎢ 용지에 미래형 산업·주거·관광특구를 조성하는 네옴시티 프로젝트 연계 사업을 위해 국내 복수의 기업들과 MOU를 체결하고 협업을 추진하고 있다.아이티센 그룹은 IT기업인 아이티센, 쌍용정보통신, 콤텍시스템을 비롯해 한국금거래소디지털에셋 등 비IT부문과 INF 컨설팅, FNF, INF크립토랩 등 컨설팅 &amp; 솔루션 부문을 계열사를 보유한 종합 IT 서비스 기업이다.아이티센과 INF 컨설팅은 국내 STO 산업과 연관이 깊다. INF컨설팅은 국내 증권사들 대상으로 STO 플랫폼 사업모델 수립 및 구축 지원에 있어 경쟁력을 보유하고 있으며, 아이티센은 금/원자재 조각투자 샌드박스 신청을 하나은행, 하나증권과 함께 추진 중에 있다.
]"
2023-06-28,"아이티센, 사우디 부동산 기업과 STO 사업 협력...글로벌 STO 생태계 포석","[




(좌측부터) 임페리얼 홀딩 Dr. Ali Rana Sajad CEO, 아이티센 박정재 대표, 알 샤리프 그룹 Mr. Nawaf Al Sharif 그룹 CEO [ⓒ아이티센][디지털데일리 이상일기자] 아이티센그룹(회장 강진모)이 사우디아라비아 기업 ‘알 샤리프 그룹 홀딩(AI Sharif Group Holding)’, ‘임페리얼 홀딩(Imperial Holding LLC)’과 STO(토큰증권발행) 사업 추진을 위한 업무 협약(MOU)을 체결했다고 28일 밝혔다.사우디아라비아 기업이 국내 기업과 STO 관련한 MOU를 체결한 것은 이번이 처음이다. 이번 MOU를 통해 알 샤리프 그룹 홀딩과 임페리얼 홀딩은 사우디아라비아의 부동산 및 부동산 개발 사업의 토큰증권화를 위한 상품 소싱을 지원하고 아이티센 그룹은 해당 토큰증권의 국내 발행 및 유통을 지원한다.그리고 사우디아라비아 내에서의 조각투자 샌드박스 추진을 위해 조각투자업체, 증권사, 시스템 개발업체 등 필요 기업들을 모아 컨소시엄을 구성하고 연내 이의 실행을 위한 파일럿 프로젝트에 착수하게 된다.아이티센 박정재 대표는 ""아이티센 그룹이 보유한 STO 플랫폼과 디지털자산에 대한 차별적인 경쟁력을 사우디아라비아의 차세대 개발사업 기회에 투영해 글로벌 시장에서도 의미 있는 발자취를 만들어가는 단초로 삼겠다”고 밝혔다.알 샤리프 그룹 홀딩은 사우디아라비아의 국영석유기업인 아람코의 주요 협력사 중 하나로, 여러 자회사를 통해 부동산개발, 건설, 인프라 구축, 엔지니어링 및 발전 사업을 영위하고 있다. 임페리얼 홀딩 역시 중동 및 북아프리카를 중심으로 활동하는 해외 투자유치 및 수출 컨설팅 전문 기업이다.특히, 알 샤리프 그룹 홀딩과 임페리얼 홀딩은 최근 사우디아라비아 북서부 타북주 약 2만6500㎢ 용지에 미래형 산업·주거·관광특구를 조성하는 네옴시티 프로젝트 연계 사업을 위해 국내 복수의 기업들과 MOU를 체결하고 협업을 추진하고 있다.아이티센 그룹은 IT기업인 아이티센, 쌍용정보통신, 콤텍시스템 뿐만 아니라 한국금거래소디지털에셋 등 비IT부문과 INF 컨설팅, FNF, INF크립토랩 등 컨설팅 &amp; 솔루션 부문을 계열사로 보유한 종합 IT 서비스 기업이다.특히 아이티센과 INF 컨설팅은 국내 STO 산업과 연관이 깊다. 산업 플랫폼 혁신 전문 컨설팅사인 INF컨설팅은 국내 증권사들 대상으로 STO 플랫폼 사업모델 수립 및 구축 지원에 있어 독보적인 경쟁력을 보이고 있으며, 아이티센은 금/원자재 조각투자 샌드박스 신청을 하나은행, 하나증권과 함께 추진 중에 있다.
]"
2023-06-28,"아이티센, 사우디 부동산기업과 STO 사업 MOU 체결","[




아이티센 그룹과 사우디아라비아 기업 '알 샤리프 그룹 홀딩' 및 '임페리얼 홀딩'의 STO(토큰증권발행) 사업 추진을 위한 업무 협약식 모습/사진제공=아이티센 그룹'종합 IT서비스 그룹' 아이티센 그룹(회장 강진모)이 사우디아라비아 기업 '알 샤리프 그룹 홀딩'(AI Sharif Group Holding) 및 '임페리얼 홀딩'(Imperial Holding LLC)과 STO(토큰증권발행) 사업 추진을 위한 업무 협약(MOU)을 체결했다고 28일 밝혔다.한국금거래소디지털에셋 본사에서 열린 MOU 체결식에는 Mr. Nawaf 알 샤리프 그룹 CEO 및 Dr. Ali Rana Sajad 임페리얼 홀딩 CEO를 비롯해 아이티센의 박정재 대표, INF 컨설팅의 백만용·천석범 대표, 한국금거래소디지털에셋의 박성욱 대표가 참석했다.아이티센 그룹 측은 사우디아라비아 기업이 국내 기업과 STO 관련 MOU를 체결한 것은 이번이 처음이라고 했다. 이번 MOU를 통해 알 샤리프 그룹 홀딩과 임페리얼 홀딩은 사우디아라비아의 부동산 및 부동산 개발 사업의 토큰증권화를 위한 상품 소싱을 지원한다. 아이티센 그룹은 해당 토큰증권의 국내 발행 및 유통을 지원한다. 또 사우디아라비아 내 조각투자 샌드박스 추진을 위해 조각투자업체, 증권사, 시스템 개발업체 등 관련 기업을 모아 컨소시엄을 구성하고 이를 실행하기 위한 파일럿 프로젝트에 착수할 방침이다.박정재 아이티센 대표는 ""아이티센 그룹이 보유한 STO 플랫폼과 디지털 자산에 대한 차별화된 경쟁력을 사우디아라비아의 차세대 개발 사업에 투영하겠다""며 ""글로벌 시장에서 의미 있는 발자취를 만들어가는 단초로 삼겠다""고 말했다.아이티센 그룹에 따르면 알 샤리프 그룹 홀딩은 사우디아라비아의 국영석유기업인 아람코의 주요 협력사 중 하나다. 여러 자회사를 통해 부동산 개발, 건설, 인프라 구축, 엔지니어링 및 발전 사업을 영위하고 있다. 임페리얼 홀딩 역시 중동 및 북아프리카를 중심으로 활동하는 해외 투자 유치 및 수출 컨설팅 전문기업이다.특히 알 샤리프 그룹 홀딩과 임페리얼 홀딩은 최근 사우디아라비아 북서부 타북주 약 2만6500㎢ 용지에 미래형 산업·주거·관광특구를 조성하는 네옴시티 프로젝트 연계 사업을 위해 국내 복수의 기업과 MOU를 체결하고 협업을 추진 중이다.한편 아이티센 그룹은 아이티센, 쌍용정보통신, 콤텍시스템뿐만 아니라 한국금거래소디지털에셋 등 비 IT부문과 INF 컨설팅, FNF, INF크립토랩 등 컨설팅·솔루션 부문 기업을 계열사로 보유한 종합 IT서비스 기업이다.회사 측은 ""아이티센과 INF 컨설팅은 국내 STO 산업과 연관이 깊다""며 ""산업 플랫폼 혁신 전문 컨설팅사인 INF컨설팅은 국내 증권사를 대상으로 STO 플랫폼 사업모델 수립 및 구축 지원에 독보적인 경쟁력을 보이고 있다""고 말했다. 이어 ""아이티센은 하나은행 및 하나증권과 함께 금·원자재 조각투자 샌드박스 신청을 추진 중""이라고 덧붙였다.
]"
2023-06-25,작지만 알짜 '따따블' 노린다…중소형주 IPO 대박행진,"[
시큐센·알멕 나란히 일반 청약 공모서 흥행 성공증권가 ""하반기부터 IPO 시장 환경 개선될 듯""



ⓒ News1 김지영 디자이너(서울=뉴스1) 김정은 기자 = 최근 기업공개(IPO) 시장에서 중소형주들이 활약하며 온기를 불어넣고 있다. 이달 마녀공장(439090)이 '따상'을 기록한 데 이어 시큐센(232830)과 알멕(354320)이 나란히 일반 청약 공모에서 '흥행 대박'을 터트렸다. 중소형주를 시작으로 올해 예정된 대어급 IPO도 성공 가도를 달릴 수 있을지 관심이 쏠린다.24일 증권가에 따르면 콤텍시스템 자회사 시큐센은 지난 20~21일 진행한 일반투자자 대상 공모주 청약에서 1932.1대1의 경쟁률을 기록하며 올해 최고 기록을 갈아 치웠다. 시큐센의 일반투자자 공모주 청약 건수는 총 17만189건이며, 증거금은 약 1조4000억원으로 집계됐다.시큐센은 지난 14~15일 기관투자자 대상 수요예측에서도 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정한 바 있다. 총 1865개 기관이 참여해 1800.86대 1의 경쟁률을 기록했다. 올해 상장한 기업 수요예측 가운데 최고 경쟁률이다.같은 기간 전기차 부품업체 알멕도 1355.6대1의 경쟁률을 기록하며 흥행에 성공했다. 청약 증거금은 8조4725억원을 끌어모았다. 알멕 역시 지난 14~15일 기관수요예측에서 총 1772개 기관이 참여, 1697.23대1의 높은 경쟁률을 기록한 바 있다. 수요예측에 참여한 기관 대부분이 공모가 상단 이상을 써냈다.지난해 급격한 금리 인상과 글로벌 경기 침체 우려로 얼어붙었던 IPO 시장의 분위기가 이달 들어 사뭇 달라진 것이다. 올 초까지만 해도 컬리에 이어 케이뱅크, 오아시스 등 대어급 IPO들이 잇따라 상장 계획을 철회하거나 연기하면서 'IPO 잔혹사'가 이어진 바 있다.최근 시큐센과 알멕 등 중소형주들이 수요예측에서 연달아 흥행하면서 IPO 시장에 훈풍이 불고 있다. 증시가 점차 활황을 띠는 가운데 중소형주의 경우 시장에서 부담 없이 받아들일 수 있기 때문이다. 또 증권사들도 최근 투자심리를 감안해 공격적인 밸류에이션을 지양하고 있단 점도 중소형주 활약에 힘을 보탰다.증권사 관계자는 ""현재로선 사이즈가 큰 IPO에 흘러갈 자금 유동성이 크지 않은 상황인데, 중소형주의 경우 크기가 작으니까 시장에서 충분히 소화 가능한 물량""이라며 ""증권사에서도 밸류에이션을 공격적으로 하지 않는 추세라서 중소형주가 더욱 잘 되고 있다""고 설명했다.증권가에선 올해 하반기부턴 IPO 시장이 점차 활기를 되찾을 거란 전망이 나온다. 이달에만 두산로보틱스, 서울보증보험 등이 유가증권시장 입성을 위한 상장 예비 심사를 신청했다. 코스닥 시장에서도 조(兆) 단위 대어 파두가 거래소 예비 심사를 통과하고 본격적인 상장 채비에 들어갔다.오광영 신영증권 연구원은 ""IPO 시장은 작년 일부 대어급 공모주들이 상장 철회 및 연기를 하고 공모주 투자 성과가 부진해지면서 연말로 갈수록 투자 열기가 식었다""며 ""올해는 투자자들의 관심이 높은 기업들이 상장 가능성이 높고 정부의 IPO 건전성 제고 방안 시행 등으로 IPO 시장 환경이 개선되며 상저하고의 모습을 보일 것""이라고 밝혔다.한편 내주부터 상장 첫날 가격 변동 폭이 확대되는 만큼 시큐센과 알멕이 '따따블'을 기록할 수 있을지도 관심이다. 한국거래소는 상장 당일에 한해 가격변동폭을 공모가의 400%로 확대하는 제도개선을 단행했다. 오는 26일부터 개선된 제도가 시행된다. 이에 따라 상장 첫날 공모가 대비 손실률은 기존 최대 37%에서 40%로 커지고 수익률은 160%에서 300%로 확대됐다. 알멕의 경우 상장 당일 주가가 최저 3만원에서 최대 20만원까지 움직일 수 있다. 시큐센 주가는 상장 첫날 1800원에서 1만2000원사이에서 거래될 예정이다.
		]"
2023-06-22,"시큐센, 일반청약 경쟁률 1931대 1…증거금 1.4조원","[




◆…시큐센 CI. 사진=시큐센 제공     콤텍시스템(031820, 대표 권창완) 자회사 시큐센(232830)은 지난 20~21일에 진행한 일반 투자자 대상 공모주 청약에서 1931.65대 1의 경쟁률을 기록했다고 22일 밝혔다.   시큐센의 일반투자자 공모주 청약 건수는 17만0189건이며, 증거금은 1.4조원으로 집계됐다. 오는 23일 증거금 납입과 환불 과정을 거쳐 오는 29일 코스닥에 상장할 계획이다. 상장 후 시가총액은 345억원이다.   앞서 시큐센은 지난 14~15일 기관투자자 대상 수요예측에서 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정했다. 1865개 기관이 참여해 1800.86대 1의 경쟁률을 기록했다.   시큐센은 디지털 시큐리티 전문기업으로 인공지능(AI) 기반의 생체인증·전자서명 솔루션 사업을 비롯해 디지털 금융 서비스, 보안 솔루션 및 컨설팅 서비스 사업을 전개하고 있다.   마이데이터 서비스에서 생체인증 및 전자서명 플랫폼 서비스에 이르기까지 디지털 금융 시장에서 성장을 거듭하고 있다. 최근에도 여러 대형 보험 회사들과 디지털 금융 서비스 계약을 체결하고 있다. 향후에는 AI 가상인간 컨시어지 서비스도 개발해 금융기관과 공공기관에 공급할 계획이다.   이정주 시큐센 대표이사는 ""기관투자자를 대상으로 한 수요 예측은 물론 공모주 청약에서도 좋은 결과를 얻어 기쁘다""며 ""디지털 금융 시대에 적합한 선진 기술과 솔루션을 지속적으로 개발 및 공급해 투자자 기대에 부응할 수 있도록 하겠다""고 말했다.
		]"
2023-06-22,"시큐센, 일반청약 경쟁률 1931.65대 1…첫 '따따상' 나오나","[




(시큐센 홈페이지 캡처)(서울=뉴스1) 이기림 기자 = 코스닥 시장에 상장하는 시큐센이 수요예측에 이어 일반청약에서도 높은 경쟁률을 기록했다. 연이은 흥행으로 상장 당일 공모가의 최대 4배까지 주가가 오르는 '따따상'에 대한 기대감도 커지고 있다.콤텍시스템 자회사 시큐센은 지난 20~21일에 진행한 일반 투자자 대상 공모주 청약에서 1931.65대 1의 경쟁률을 기록했다고 22일 밝혔다.시큐센의 일반투자자 공모주 청약 건수는 총 17만189건이며, 증거금은 약 1조4000억원으로 집계됐다. 23일 증거금 납입과 환불과정을 거쳐 오는 29일 코스닥에 상장할 계획이며, 상장 후 시가총액은 345억원이다.앞서 시큐센은 지난 14~15일 기관투자자 대상 수요예측에서 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정한 바 있다. 총 1865개 기관이 참여해 1800.86대 1의 경쟁률을 기록했다.잇따른 흥행에 시큐센이 제도개선 후 첫 '따따상' 종목으로 기록될 가능성도 제기된다. 앞서 한국거래소는 상장 당일에 한해 가격변동폭을 공모가의 400%로 확대하는 제도개선을 단행한 바 있다. 26일부터 개선된 제도가 시행되는데, 시큐센은 제도 개선 이후 첫 상장 종목이다.시큐센은 디지털 시큐리티 전문기업으로 인공지능(AI) 기반의 생체인증·전자서명 솔루션 사업을 비롯해 디지털 금융 서비스, 보안 솔루션 및 컨설팅 서비스 사업을 전개하고 있다. 향후에는 AI 가상인간 컨시어지 서비스도 개발해 금융기관과 공공기관에 공급할 계획이다.이정주 시큐센 대표이사는 ""기관투자자를 대상으로 한 수요 예측은 물론 공모주 청약에서도 좋은 결과를 얻어 기쁘다""며 ""디지털 금융 시대에 적합한 선진 기술과 솔루션을 지속적으로 개발 및 공급해 투자자들의 기대에 부응할 수 있도록 하겠다""고 밝혔다.
		]"
2023-06-22,"시큐센, 일반 청약 경쟁률 1931대1··· 이전상장 흥행 기대","[




[디지털데일리 이종현기자] 콤텍시스템의 자회사 시큐센은 지난 20일부터 21일까지 이틀간 진행한 일반 투자자 대상 공모주 청약에서 1931.65대 1을 기록했다고 22일 밝혔다.시큐센의 일반투자자 공모주 청약 건수는 총 17만189건이다. 증거금은 약 1조4000억원으로 집계됐다. 23일 증거금 납입과 환불과정을 거쳐 오는 29일 코스닥에 상장할 예정이다. 상장 후 시가총액은 345억원이다.앞서 시큐센은 14~15일 기관투자자 대상 수요예측을 통해 최종 공모가를 희망가격(2000~2400원) 상단을 초과한 3000원에 확정했다. 총 1865개 기관이 참여해 1800.86 대 1의 경쟁률을 기록했다. 회사 측은 수요예측, 일반청약에서 연이은 흥행으로 상장 당일 공모가의 최대 4배까지 주가 상승에 대한 기대감이 더욱 커지고 있다고 전했다.시큐센은 사이버보안 기업으로 인공지능(AI) 기반의 생체인증·전자서명 솔루션 사업을 비롯해 디지털 금융 서비스, 보안 솔루션 및 컨설팅 서비스 사업을 전개하고 있다. 최근 다수 대형 보험 회사들과 디지털 금융 서비스 계약을 속속 체결한 바 있다. 향후에는 AI 가상인간 컨시어지 서비스도 개발해 금융기관과 공공기관에 공급하겠다는 계획이다.이정주 시큐센 대표는 “기관투자자를 대상으로 한 수요 예측은 물론 공모주 청약에서도 좋은 결과를 얻어 기쁘다”며 “디지털 금융 시대에 적합한 선진 기술과 솔루션을 지속적으로 개발 및 공급해 투자자들의 기대에 부응할 수 있도록 하겠다”고 말했다.
]"
