date,title,content
2023-06-21,"투비소프트, '넥사크로 N' 앞세워 日 시장 공략","[
히타치제작소·노무라종합硏 등 잇딴 러브콜10년 이상 구축한 네트워크 한몫



[서울=뉴시스] 김경택 기자 = 개발 툴 전문 기업 투비소프트가 일본 UI·UX(사용자인터페이스·사용자경험)시장 공략에 공들이고 있다. 회사는 '넥사크로 N'을 앞세워 일본 시장을 공략하겠다는 전략이다. 이미 일본 히타치제작소, 노무라종합연구소 등 파트너사로부터 잇딴 러브콜도 받는 만큼 올해 하반기 매출에 반영될 전망이다.투비소프트는 일본법인 투비소프트재팬이 일본 히타치제작소와 '넥사크로 비욘드(한국 제품명 넥사크로 N)'의 적용 사업장 확대를 논의하고 있다고 21일 밝혔다. 전기·전자기기 제조업체 히타치제작소는 2012년부터 10년 넘게 투비소프트재팬과 파트너십을 유지하며 투비소프트 제품을 사용해온 고객사다.투비소프트 관계자는 ""히타치제작소 일부 사업장에서 넥사크로 N을 사용하고 있고 넥사웹도 혼용해 사용해왔으나 최근 사업장별로 넥사크로 N 적용 확대를 협의하고 있다""면서 ""이번 논의를 시작으로 일본 기업을 대상으로 넥사크로 N 공급을 늘릴 계획""이라고 말했다.투비소프트의 넥사크로 N은 퀵코드로 스크립트 코딩 없이 디지털 제품의 화면 UI를 개발할 수 있고, 복잡한 데이터를 직관적으로 그려내는 특징이 있어 정부 기관과 각 기업에서 디지털 전환 필수품으로 자리매김하고 있다고 회사 측은 설명했다.투비소프트는 넥사크로 N을 앞세워 일본 시장을 공략한다는 계획이다. 일본 시장은 국내와 다르게 해외법인이 선보인 개발 툴이 자리잡는 데 시간이 오래 걸리지만 투비소프트재팬은 10년 이상 일본 시장에서 제품을 인정받고 있어서다.우선 넥사웹을 사용하고 있는 일본 고객사를 타깃으로 정했다. 10년 넘게 일본 시장에서 구축한 네트워크를 활용해 올해 하반기에 최대한 넥사크로N 전환을 유도한다는 목표다.투비소프트는 일본 현지 기업과의 네트워크를 기반으로 신규 고객사 확보에도 공들일 계획이다. 이에 2026년까지 3년 내 일본 매출을 100억원으로 확대하는 것을 목표로 하고 있다. 이를 위해 최근 일본 법인 인력을 늘리는 등 영업력도 강화했다.이임찬 투비소프트 사장은 ""일본 IT 시장은 5년 내 많은 변화가 있을 것으로 예상되는 만큼 투비소프트는 일본 시장 선점을 위해 노력하고 있다""며 ""넥사크로 N을 시작으로 다양한 제품을 선보일 예정""이라고 강조했다.
]"
2023-06-20,"투비소프트, 최대주주 지분인수 목적 등 정정공시","[
			[이데일리 김보겸 기자] 투비소프트(079970)는 최대주주인 리얼인베스트먼트가 지분을 인수한 목적과 인수자금 조달방법 오류를 정정한다고 20일 공시했다.지분인수목적은 기존 단순 재무적 투자목적에서 경영권 참여로 바뀌었다. 인수자금 조달방법 역시 자기자금 65억원에서 차입금 65억원으로 변경됐다. 차입처는 개인 및 법인 투자자이며 차입기간은 지난 4월20일부터 오는 30일까지다.
]"
2023-06-20,"[혁신스타트업 in홍릉] 투비디티엑스 “기립성저혈압 진단 플랫폼, 본격 디지털치료제로 진화할 것”","[
			모든 제품과 서비스가 디지털화되고 있는 것이 최근의 추세다. 헬스케어 분야 역시 예외가 아니다. 네트워크 기술을 통한 원격진료, 로봇을 이용한 수술 등, 상당히 많은 헬스케어 분야에 디지털 기술이 도입되었거나 도입이 검토되고 있다. 심지어 최근에는 ‘디지털치료제’라는 개념도 등장했다. 기존의 약물 기반 치료제가 아닌, 애플리케이션이나 실감 미디어 등의 디지털 기법을 통해 증상을 개선하는 솔루션을 의미한다.



투비디티엑스 남기두 대표 (출처=IT동아)이미 미국이나 유럽을 비롯한 해외시장에서 디지털치료제의 상용화가 활발히 진행되고 있으며, 국내 역시 올해 2월과 4월에 불면증 디지털치료제가 식품의약품안전처로부터 제조 품목허가를 받는 등, 본격적으로 시장이 태동하기 시작했다.이에 따라 다수의 헬스케어 기업이 이 시장에 뛰어들기 시작했으며, 그 중에는 기존에 보지 못한 아이디어와 개념을 내세운 경우가 많다. 다수의 국내 바이오·헬스케어 스타트업이 자리잡은 서울 동대문구의 홍릉강소연구특구에서도 이런 기업을 찾아볼 수 있다.이번에 소개할 투비디티엑스(대표 남기두)도 그 중의 하나다. 이들은 웨어러블 및 스마트 단말기, 그리고 애플리케이션을 결합한 기립성저혈압 측정 AI 플랫폼을 선보였으며, 보다 다양한 질환에 대응할 수 있는 디지털치료제로 진화하기 위해 기술 고도화에 힘을 기울이고 있다. 취재진은 투비디티엑스의 남기두 대표를 만나 현재 개발 현황 및 향후 계획, 그리고 디지털치료제 시장에 임하는 각오 등을 들어봤다.- 투비디티엑스는 기업용 소프트웨어 개발사인 투비소프트의 자회사로 알고 있다. 따로 자회사를 설립한 배경이 궁금하다: 디지털헬스케어 분야가 유망한 점이 가장 컸다. 그리고 때마침 김병조 교수를 비롯한 고려대학교의료원의 연구진이 개발한 기립성저혈압 진단 AI 알고리즘 기술을 이전 받을 수 있던 것도 투비디티엑스 설립에 영향을 끼쳤다. 참고로 회사명에 들어간 ‘디티엑스’는 ‘Digital therapeutics(디지털 치료제)’라는 의미다.연구소 기업으로 등록하면 임상시험 지원이나 세제 혜택 등을 받을 수 있다. 특히 투비디티엑스가 자리잡은 홍릉강소연구특구는 헬스케어 스타트업을 위한 환경이 잘 갖춰져 있다. 관련 기업이나 기관과의 네트워크 확대에도 도움이 된다.- 기립성저혈압이란 이름은 다소 생소한데 어떤 질환인가? 위험성이 높나?: 사람마다 정도의 차이는 있겠지만, 오랜 시간 앉아있다 일어섰을 때 갑자기 어지러움을 느낀 경험이 있을 것이다. 일어설 때 하지에 몰려 있던 혈액을 위쪽으로 올려야 하는데, 이 혈압이 부족하면 뇌에 원활히 혈액을 공급할 수 없어 그런 것이다. 특히 노인들에게 주로 발생하는데, 증상이 심하면 일어서는 도중에 실신할 수 있을 정도로 큰 위험성을 가진 질환이다. 오랜 시간 앉아 근무하는 사무직 노동자들 역시 예외가 아니다.더 큰 문제는 위와 같은 증상을 겪고 있는 사람이 적지 않은데도 불구하고 ‘앉았다 일어날 땐 당연히 그런 것’이라며 대수롭지 않게 넘기는 경우가 많다는 점이다. 투비디티엑스에서 기립성저혈압 측정 AI 플랫폼 ‘투비츠 닥터(TOBeats Doctor)’를 개발한 이유도 여기에 있다.- 투비츠 닥터의 특징은 무엇인가? 기존 기립성저혈압 측정 시스템과의 차이점도 궁금하다: 투비츠 닥터의 가장 큰 장점은 간편성이다. 아주 특수한 장치도 필요 없다. 갤럭시워치나 애플워치, 혹은 투비디티엑스에서 개발한 전용 밴드와 같은 웨어러블 기기만 있어도 되며, 그 외에 스마트폰 카메라나 PC 웹캠으로도 측정을 할 수 있다.



기립성저혈압 진단 플랫폼 ‘투비츠 닥터’의 동작 원리 (출처=투비디티엑스)웨어러블 기기에서 심박변이(HRV)나 산소포화도, 스마트폰 카메라에서 특정한 색상변이(PPG), 혹은 웹캠에서 홍채 변화 등의 생체신호를 측정한다. AI 학습에 의해 이런 패턴을 분석해 기립성저혈압 위험도를 판별할 수 있다.기존의 검사장비는 환자의 전신을 기립경사대에 묶어 두고 앉았다 일어나는 동작을 재현하며 혈압의 변화를 측정하는 방식이었다. 검사 민감도가 떨어지는데다 여러 번 검사를 해야 한다. 근골격계 질환이나 심근경색 증상이 있는 환자는 고통이 심해서 이런 검사를 받기가 쉽지 않은데다 검사 비용도 비싸다. 그리고 이런 시설은 일정 규모 이상의 큰 병원만 갖추고 있다.- 검사 방법도 간단하고 공간의 제약도 없는데 기존의 대형 장비를 대체할 만큼 우수한 능력을 갖췄다는 의미인가?: 실제로 우리 솔루션은 고려대학교의료원의 연구자주도 탐색임상 시험을 완료했고 한국생산기술연구원에서 사용성평가도 완료하는 등, 공인된 기관에서 성능을 검증받았다. 그리고 갤럭시워치나 애플워치 등의 기존 웨어러블 기기 외에도 우리가 직접 만든 전용 웨어러블 기기인 ‘투비츠 밴드’를 이용한다면 한층 고도화된 서비스를 제공할 수 있을 것이다.



투비디티엑스에서 개발 중인 헬스케어 전용 웨어러블 ‘투비츠 밴드’ 시제품 (출처=투비디티엑스)투비츠 밴드는 우선 1차 버전을 만들었고 현재 2차 버전을 개발하며 상용화에 박차를 가하고 있다. 심박변이 등의 생체 신호를 보다 정확히 특정할 수 있고, 제품 가격 역시 갤럭시워치나 애플워치에 비해 덜 부담스러울 것이다. 디지털 치료제 플랫폼에 최적화된 웨어러블 기기를 원하는 소비자들의 요구도 만족시킬 수 있는 제품이다.- 현재 선보인 투비츠 닥터는 기립성저혈압 측정 플랫폼이긴 하지만 ‘디지털 치료제’라고 하기엔 다소 부족함이 있지 않나?: 물론 투비디티엑스가 디지털 치료제 기업을 지향하긴 하지만, 아직은 투비츠 닥터를 온전한 디지털 치료제라고 부르고 있진 않다. 이보다는 ‘자율신경계 건강관리 플랫폼’이라고 할 수 있는데, 이 정도의 솔루션도 사실상 업계 최초나 다름없다.향후 심근경색이나 자율신경실조증, 부정맥까지 진단 가능하도록 플랫폼을 고도화할 것이며 이를 위해 고려대학교의료원 산학협력단과 MOU도 맺었다.- 플랫폼 고도화를 통해 보다 다양한 분야로 사업 확대가 가능할 것 같다. 향후 계획은?: 투비츠 닥터 베타 앱이 작년 9월에 첫 출시되었고 올해 2월에 두번째 버전으로 업데이트했다. 지속적인 앱 업데이트와 더불어, 자체 개발 웨어러블인 투비츠 밴드의 개발까지 완료된다면 한층 다양한 서비스를 제공할 수 있다.특히 의료기관에서 환자를 효과적으로 돌보기 위한 생체 신호 모니터링 시스템을 요구하고 있다는 점에 주목할 만하다. 지금 이용하는 모니터링 시스템은 각종 전극과 케이블을 환자의 몸에 붙이고 운용하는 등, 이용이 불편하고 비용도 많이 든다. 우리의 플랫폼이 이를 해결할 수 있을 것이다.



투비디티엑스 남기두 대표 (출처=IT동아)의료기관 외에 산업현장에도 우리의 솔루션을 확장할 수 있다. 특히 중대재해처벌법 시행 이후, 노동자들의 건강관리를 제대로 하지 않은 기업은 사고가 발생했을 때 사업주가 처벌을 받을 수도 있다. 하지만 우리 플랫폼을 통해 이런 우려를 최소화할 수 있다. 이를테면 노동자 체온이 급격하게 상승하거나 심정지가 발생했을 때 투비츠 밴드를 이용한다면 이를 실시간으로 체크해 빠른 대응이 가능할 것이다.궁극적으로는 건강관리 플랫폼을 넘어, 실질적인 치료가 가능한 진정한 디지털 치료제로 진화하는 것이 목표다. 아직 구체적으로 공개할 단계는 아니지만 실감형 콘텐츠 기술을 이용해 교감신경 및 부교감신경을 자극, 자율신경계 기능저하를 치료하는 솔루션을 개발하고 있다. 약물과 같은 부작용도 없으면서 일정 시간을 두고 근본적인 개선을 기대할 수 있는 것이 디지털 치료제의 장점이다. 앞으로 많은 기대를 부탁드린다.동아닷컴 IT전문 김영우 기자 pengo@itdonga.com
		]"
2023-06-16,"투비소프트, 이경찬 단독 대표 체제로 변경","[
			투비소프트는 일신상의 사유로 장선수 대표이사 사임함에 따라 이경찬 단독대표로 변경됐다고 16일 공시했다.
]"
2023-06-14,"투비소프트, 라이선스 ‘연간 매출’ 200억원 달성할 듯","[




투비소프트 제품 라이선스 누적 매출 현황(2004~2022년)[이코노미스트 이혜리 기자] 국내 개발 툴 1위 기업 투비소프트(대표 이경찬·장선수)가 올들어 매출 개선과 함께 라이선스 (소프트웨어사용권) 판매도 급증하는 것으로 나타났다.정부가 본격적으로 디지털 전환 사업을 추진하면서 각 기업도 앞다퉈 해당 분야 사업을 확장함에 따라 투비소프트 제품 라이선스 매출이 늘고 있는 것으로 분석된다.최근 시장에서 주목받는 투비소프트 ‘넥사크로 N’은 퀵코드로 스크립트 코딩 없이 디지털 제품의 화면 UI를 개발할 수 있고, 복잡한 데이터를 직관적으로 그려내는 특징이 있어 정부 기관과 각 기업에서 ‘디지털 전환 필수품’으로 자리매김하고 있다.실제로 투비소프트는 GS건설과 경험 중심 고객플랫폼 구축사업, 롯데면세점과 면세점플랫폼 구축 사업을 계약했고, 국민건강보험공단과 건강보험심사평가원, 연세대학교의료원, 크린토피아 등과 라이선스 계약 등을 맺었다.이에 따라 투비소프는 업계 최초로 라이선스만으로 연간 매출 200억 원을 달성할 것으로 기대하고 있다. 지난해 전체 연결 매출 기준 약 430억 원 가운데 라이선스로만 약 150억 원을 올렸으며, 2023년은 200억 원을 바라보고 있다.국내 UI/UX 개발 플랫폼 업계에서 라이선스로 200억 원을 넘긴 사례는 드물다. 투비소프트는 관련 업계 처음으로 2월 제품 라이선스 누적 매출 2000억 원을 넘겼다. 2000년 7월 설립한 투비소프트는 웹 환경에 따라 시대를 대표하는 UI 제품을 잇따라 출시했다. 2000년 대 초반 X 인터넷 시대에 마이플랫폼과 엑스플랫폼, 이후 넥사크로 14와 17을 거쳐 넥사크로 N을 내놓았다.20년 넘게 쌓은 기술력과 개발 노하우는 IT 업계에서 검증된 UI/UX 개발 도구로 평가받고 있다. 특히 2021년 9월 출시한 넥사크로 N은 '인텔리전트 UX'란 표어를 내세워 개발한 플랫폼이다. PC뿐만 아니라 다양한 기기 환경에 알맞은 개발 도구를 만들고, 어떠한 환경에서도 적용할 수 있는 NUI(Natural User Interface: 키보드나 마우스와 같은 도구를 쓰지 않고 음성, 눈, 손 등 신체 일부와 감각, 행동, 인지 능력으로 디지털 기기를 다루는 것)를 지원하고, 개발 상황에 맞춘 UX를 자동으로 제공한다.특히 IT업계 화두인 ‘클라우드 기반 구독형 개발 서비스’를 하반기에 선보일 계획이며, 2024년부터 본격 적으로 사업을 펼쳐 매출이 더욱 오를 것으로 기대된다. 
		]"
2023-06-13,"[대한민국 명품 SaaS]&lt;22&gt;투비소프트, 스마트 출입관리 시스템 ‘V-PASS’","[
			투비소프트 스마트 출입관리 시스템 ‘V-PASS’는 방문객 출입관리 업무를 디지털 기술로 간편화한 서비스형 소프트웨어(SaaS)다. 이용자 환경·경험(UI·UX) 플랫폼 국내 시장점유율 1위인 투비소프트 넥사크로가 기반이다. 공공 전용 클라우드망을 갖춘 네이버 클라우드에서 구독형 서비스를 제공한다.V-PASS는 신분증을 제시하고 인적 사항을 수기로 작성하는 절차를 간소화한다. 방문객은 공공기관이나 출입증이 필요한 건물에 들어갈 때 V-PASS에 개인정보를 입력하고, 승인 받으면 ‘QR코드 출입증’을 발급받는다.



투비소프트 V-PASS 소개 이미지. 투비소프트 제공중요 건물에 담당자가 방문객 1명을 출입 안내하는데 통상 20분가량 걸린다. V-PASS는 이 시간을 절반으로 줄여준다. 외부 방문객은 스마트폰 카메라와 USB단자에 보안스티커를 부착하는데, 이 비용은 1명당 약 100원이다. 서울, 세종, 과천, 대전 등 4개 정부청사 연간 방문객은 약 70만명으로 공공기관에서 외부 방문객 출입에 상당한 시간과 비용을 쏟고 있다.투비소프트는 4개 정부청사에 V-PASS를 도입할 경우 보안스티커 비용과 공무원 평균 시급 기준으로 연간 10억원가량을 절감하는 효과가 있다고 판단했다.V-PASS는 옵션으로 실시간 관제 시스템도 제공한다. 방문객이 비인가 지역에 출입하거나, 화재·지진 등 재난이 발생하면 실시간 위치를 파악해 안전을 확보할 수 있다. 이 기능은 위험한 작업 환경이 포함된 제조업 분야에서 수요가 많다. 관리자가 현장 작업자 정보를 실시간 확인할 수 있어 위험한 상황에 대응할 수 있기 때문이다.V-PASS는 수기 작성 과정에서 일어날 수 있는 개인정보 유출 가능성도 차단한다. 투비소프트는 지난 2021년 9월 한국인터넷진흥원에서 클라우드서비스 보안인증(CSAP)을 받았고, 과학기술정보통신부에서는 국가 기관에 이용하기 적합한 디지털서비스로 선정됐다.투비소프트 관계자는 “보안과 기술면에서 국가 검증을 받으면서 공공기관과 계약을 맺을 수 있게 돼 6개 공공기관과 계약 체결을 논의하고 있다”고 말했다.



이경찬 투비소프트 대표&lt;인터뷰&gt; 이경찬 투비소프트 대표 “클라우드 기반 개발 생태계 확대해 나갈 것”“투비소프트는 V-PASS와 같은 SaaS는 물론 개발 플랫폼과 개발 지원도구까지 모두 클라우드에서 이용할 수 있도록 통합 클라우드 개발 환경을 구축하고 있습니다. 사용자와 개발자가 모두 만족할 만한 개발 생태계를 만들어 나가겠습니다”이경찬 투비소프트 대표는 개발 플랫폼인 넥사크로를 기반으로 V-PASS처럼 시장 요구 사항을 해결해주는 응용SW를 제공하겠다고 밝혔다.투비소프트는 e커머스 솔루션 ‘투비몰’, 전사자원관리(ERP) 솔루션 ‘Z-ERP’ 등 다양한 응용SW를 제공한다. 모두 넥사크로 기반으로 만들어졌다.이 대표는 “투비소프트는 23년 경험과 2700개 고객사, 7000개 레퍼런스를 갖고 시장에서 원하는 서비스를 만들어 제공한다”고 강조했다.투비소프트는 일본 시장도 공략하고 있다. 일본 자회사인 투비소프트 재팬으로 일본에 진출해있다.이 대표는 “한국에서 개발한 완성도 높은 서비스는 클라우드를 기반으로 확장성을 가지기 때문에 일본 시장을 노릴 수 있다”며 “올해 일본 매출을 45억원까지 늘리는 것이 목표이고, 내년까지 100억원을 달성하겠다”라고 말했다.
]"
2023-06-12,"투비소프트, '프로젝트형 넥사크로 전문가 양성과정' 5기 수강생 모집","[
UI 개발 기초부터 실무 중심 프로젝트 실습까지 다뤄



이미지=투비소프트 제공 (서울=뉴스1) 장도민 기자 = UI/UX 개발 플랫폼 전문기업 투비소프트는 '프로젝트형 넥사크로 전문가 양성과정' 5기 수강생을 모집한다고 12일 밝혔다. 양성과정은 넥사크로 플랫폼을 전문적으로 다뤄 고급 개발자를 배출하려는 목적으로 개설했다. 주요 과정은 △넥사크로 사용법 △UI 공통 활용 △자바 프레임워크 연동 △모바일 개발 △성능·개발 이슈 △모의 프로젝트 수행이다. 모의 프로젝트는 양성과정 핵심으로 수료식 때 각자 진행한 웹페이지를 발표한다. 현장 집합 교육으로 투비소프트 본사에서 진행하며, 개발자 출신 전문 강사진이 직접 강의한다. 신청 기간은 7월3일부터 8월6일까지며, 교육 일정은 8월16일부터 10월19일까지 2개월 과정으로 평일 오전 9시부터 오후 6시까지 주 5일로 진행한다. 교육 관련 문의 사항은 투비소프트 교육팀에서 받는다.
		]"
2023-06-08,"투비소프트, 춤 동작 인식 등 문화콘텐츠 개발 박차","[




[이코노미스트 이혜리 기자] AI의 범위는 어디까지일까. 스포츠와 문화 등 많은 분야에 영향을 미치고 있다. 2022 카타르 월드컵에서 ‘반자동 오프사이드 기술(SAOT)’도 AI기술이었고 경기 내용보다 화젯거리였다.골프 연습도 기술의 발달과 함께 변했다. 최근 골프연습장은 스윙 영상을 AI로 분석해서 보여준다. 신체 각 부위에 AI가 관절마다 나타난다. 이전에는 영상을 보고 폼이 부드러운지 아닌지, 프로골퍼처럼 시원하게 클럽을 휘두르는지 살펴봤다면 요즘은 AI로 신체 부위마다 관절 꺾임과 구분 동작을 살펴볼 수 있다.골프에 쓰인 AI 기술은 오픈포즈 기반이다. 오픈 포즈는 신체 부위를 데이터로 보여주면 형상과 움직임을 예측하는 기술이다.최근 투비소프트는 오픈포즈를 고도화한 모델을 이용해 ‘AI 기반 안무 인식 기술’에 활용하고 있다. 이 기술은 원본댄스와 커버댄스 유사도를 분석하고 수치화한다. 이를 테면, 아이돌이 춘 원본댄스와 팬이 춘 커버댄스를 비교하면 동작별로 일치율이 나타난다. 수치가 높으면 높을수록 유사도가 높은 것이다.이 기술은 댄스 콘텐츠 플랫폼 클럽메타 앱에서 확인할 수 있다. 클럽메타 앱에 댄스 숏폼을 올리면 안무 유사도를 알려주고 혜택도 제공한다. 댄스 챌린지가 열려 원본댄스를 보고 커버댄스 영상을 올리면 베스트 퍼포머로 뽑힐 수 있고 보상도 받을 수 있다. 안무 유사도는 AI로 분석해서 수치로 나타낸다. 수치가 높으면 높을수록 원본댄스를 똑같이 췄다고 볼 수 있다. 클럽메타 앱 2.0은 올 하반기에 출시할 예정다. 투비소프트가 제공하는 객체·제스처·포즈 인식 등 더욱더 고도화 된 AI 기술을 접목해 동작 분석을 세밀하게 측정할 계획이다.또 얼굴 인식과 보이스오버 등 많은 기능을 더해 게이밍 요소를 더 해 사용자 만족도를 높이고, 기존 안드로이드 버전 앱 사용성을 개선하고 IOS 버전도 내놓아 사용자층을 넓힐 예정이다.
		]"
2023-06-08,"투비소프트 ""클라우드 기반 쇼핑몰 구축 플랫폼 '투비몰' 사업 확대""","[




◆…사진=투비소프트 제공     투비소프트가 이커머스 통합 솔루션 '투비몰 SaaS 플랫폼' 사업을 확대하고 있다고 8일 밝혔다.   투비몰은 지난 2017년 투비소프트가 신성장 동력으로 추진했던 동대문 e커머스 결과물인 이커머스 플랫폼을 토대로 전개한 쇼핑몰 구축 사업이다. 약 20년간 이어온 투비소프트 UI/UX플랫폼 '넥사크로'를 기반으로 추진됐다.   최근 투비소프트 일본법인 투비소프트재팬이 도쿄에서 연 '2023 프라이빗 세미나'에서 투비몰을 소개하면서 일본 내 시장 진출 계획을 발표했다.   투비몰은 맞춤형 커머스로 고객사에 맞춰 설계를 제공한다. 고객 업종과 규모에 최적화된 서비스 설계와 구축, 향후 확장까지 고려한 플랫폼이다. 이에 독립몰·입점몰·오픈몰, B2C·B2B 등과 관계없이 개발 환경을 제공한다는 게 회사측 설명이다.   투비소프트는 ""고객 상황과 요구에 따라 아마존웹서비스(AWS), 오라클 클라우드(OCI) 등 특정 클라우드 플랫폼에 얽매이지 않고 독립적으로 구축할 수 있으며 클라우드 환경에 대응하는 보안책도 마련했다""면서 ""최근 급격하게 성장하고 있는 라이브 커머스 시장에 대응하고자 관련 기능도 특화 서비스로 추가해 실시간 스트리밍으로 양방향 커뮤니케이션과 상품을 구매할 수 있도록 방송 종료 후 VOD(Video On Demand)를 제공한다""고 설명했다.
		]"
2023-06-08,투비소프트 '프로젝트형 넥사크로 전문가 양성과정 5기’ 개설,"[
UI 개발 기초부터 실무 중심 프로젝트 실습까지 다뤄



UI/UX 개발 플랫폼 전문기업 투비소프트(대표이사 이경찬·장선수)가 ‘프로젝트형 넥사크로 전문가 양성과정’ 5기 수강생을 모집한다.지난해 6월부터 시작한 양성과정은 넥사크로플랫폼을 전문적으로 다뤄 고급 개발자를 배출하려는 목적으로 개설했다.현장 집합 교육으로 투비소프트 본사에서 실시하며, 개발자 출신 전문 강사진이 직접 강의한다.



5기 주요 과정은 ▲넥사크로 사용법 ▲UI 공통 활용 ▲자바 프레임워크 연동 ▲모바일 개발 ▲성능·개발 이슈 ▲모의 프로젝트 수행이다. 모의 프로젝트는 양성과정 핵심으로 수료식 때 각자 진행한 웹페이지를 발표한다.신청 기간은 7월 3일부터 8월 6일까지며, 교육 일정은 8월 16일부터 10월 19일까지 2개월 과정으로 평일 9시부터 18시까지 주 5일로 진행한다. 교육 관련 문의사항은 투비소프트 교육팀에서 받는다.
]"
