date,title,content
2023-06-30,"코스피, 기관 순매수 전환에 강세 마감","[
			코스피지수가 기관의 순매수에 힘입어 강세로 마감했다.30일 코스피지수는 전일 대비 14.26포인트(0.56%) 상승한 2564.28에 거래를 마쳤다. 거래량은 4억9887만주, 거래대금은 8조365억원으로 집계됐다.



[이미지출처=연합뉴스]투자주체별로는 기관이 2031억원 순매수한 반면 외국인과 1622억원, 678억원을 순매도했다. 프로그램 매매에서는 차익거래에서 95억원, 비차익거래에서 93억원의 순매도가 발생했다.전날 뉴욕증시가 혼조세를 보이면서 코스피지수는 장 초반 보합권에서 출발했다. 이후 개인의 순매수세에 힘입어 강보합권에서 움직이던 코스피지수는 기관이 순매수로 전환하면서 상승 반전에 성공했다.업종별로는 대부분의 업종이 상승했다. 전기가스업이 2.4% 상승했고 운수장비 1.98%, 기계 1.58%, 유통업 1.32%, 증권 1.3%, 운수창고 1.23%, 화학 1.02%, 보험 0.89%, 금융업 0.82%, 음식료품 0.74% 등이 올랐다. 반면 의료정밀이 0.05% 약세를 기록했다.시가총액 상위종목에서는 삼성전자가 전거래일보다 200원(0.28%) 내리며 7만2200원에 마감했다. SK하이닉스는 0.86% 하락했고 삼성바이오로직스도 0.53% 내렸다. LG에너지솔루션은 0.55%, LG화학도 1% 넘게 올랐다. 현대차와 기아차도 호실적 전망에 각각 0.98%, 2.91% 강세로 장을 마감했다.코스닥지수도 강세로 거래를 마쳤다. 이날 코스닥지수는 전일 대비 6.45포인트(0.75%) 상승한 868.24에 장을 마감했다. 투자주체별로는 외국인과 개인이 각각 6억원, 337억원 순매수한 반면 기관은 45억원의 매도 우위를 기록했다.시가총액 상위권 종목 중에서는 에코프로비엠이 3.32% 올랐고 에코프로 5.6%, 엘앤에프 2.1%, JYP Ent. 4.72%, HLB 3.17% 셀트리온제약 0.13%, 케어젠 3.8% 등이 상승했다. 반면 셀트리온헬스케어는 0.15% 내렸고 펄어비스 -0.38%, 카카오게임즈 -2.09% 등이 하락했다.한편 이날 서울외환시장에서 원/달러 환율은 전일 대비 0.1원 오른 1317.7원에 장을 마감했다.
]"
2023-06-30,"美 98개, 日 80개사 가입했는데 韓 30여개…RE100 늦는 이유는","[
재생에너지 공급 부족과 비싼 가격, 각종 규제가 걸림돌



RE100 글로벌 가입 현황 /자료=한국ESG연구소국내기업의 RE100(재생에너지 100% 사용) 가입이 해외에 비해 속도를 내지 못하고 있다. 재생에너지 공급 부족과 비싼 가격, 각종 규제가 걸림돌로 작용하며 기업들을 주저하게 만든다. 원전과 수소연료전지를 포함한 CF100(무탄소전원 100% 사용)이 새로운 대안으로 떠오르지만, 결국 재생에너지 공급망 확대 노력이 필요하다는 지적이 나온다.30일 한국ESG연구소에 따르면, 지난달 26일 기준 RE100에 가입한 국내 기업은 32개사다. 미국 98개사, 일본 80개사, 영국 49개사가 가입한 것에 비해 한국은 뒤처진다. 제품 생산과정에서 얼마만큼의 탄소가 발생했는지가 기업의 경쟁력으로 이어지며 RE100에 관심을 보이는 기업이 늘지만, 적극적인 가입까지 이어지지 못하는 것이다.해외에선 재생에너지 비중 100% 달성 기업도 늘어나고 있다. 대륙별로 나누어 보면, 미국이 15개사로 가장 높은 수치를 기록했고, 영국 6개사를 포함하여 유럽 대륙은 14개 회원사, 아시아와 오세아니아에 각 1개사가 재생에너지 100% 사용을 달성했다. 한국에서 재생에너지 전력소비 비중 1위인 LG에너지솔루션도 44%에 그친다. 다음으로 18%인 아모레퍼시픽, 4%인 SK하이닉스가 이름을 올렸다.주된 원인으로는 공급 문제가 가장 크다. 한국에선 특히 재생에너지가 충분히 생산되지 않기 때문에 RE100 달성이 어렵다. 지난 2021년 국내 신재생에너지 발전량은 43.1TWh(테라와트시)를 넘었지만 이는 국내 전력사용량 상위 5대 기업이사용한 전력량 총 47.67TWh보다 적다.공급이 적으니 가격도 비싸다. 기업들은 RE100 이행수단으로 채택하는 녹색프리미엄은 전력 소비자가 한국전력에 녹색프리미엄을 지불하면 '재생에너지 사용 확인서'를 발급받아 RE100 인증에 활용할 수 있다. 신재생에너지 설비를 통해 전력을 공급했다는 증명서인 REC(신재생에너지공급인증서)는 수요·공급에 따라 가격이 결정된다. RE100가입 기업이 늘어날수록 가격 상승으로 기업의 생산비용 부담이 커진다. 



미국 애리조나주에 설치된 HD현대에너지솔루션의 고출력 태양광 모듈의 모습 /사진제공=HD현대에너지솔루션출력제한과 태양광 발전입지 규제도 걸림돌이다. 출력제한은 일일 전력 수요보다 발전량이 많을 경우 정전을 방지하고 계통을 안정시키기 위해 발전설비 가동을 중단하는 것이다. 날씨나 계절적 영향을 많이 받는 태양광·풍력 발전이 출력제한의 대상이 된다. 재생에너지 설비용량이 느는 데도 발전량 증가세는 그에 미치지 못한다.이격거리 규제도 대규모 발전소 설치를 막는다. 국내 사업장 사용 전력을 재생에너지로 전환하려면 대규모 발전 시설이 필요하지만, 지방자치단체 조례엔 이격거리 규제가 남아 있다. 지난해 기준 226개 중 129개 지자체가 주거지역, 도로에서 일정 거리 이내에 태양광 설비를 설치할 수 없도록 하고 있다.국내에서 RE100 달성에 어려움을 겪는 실정에 CF100(무탄소전원 100% 사용)도 새로운 목표로 떠오른다. CF100은 '24/7 CFE'를 통칭하는 개념으로 매일 24시간, 일주일 내내 무탄소 에너지만 사용하는 글로벌 무탄소 운동이다. 정부는 재생에너지 비중이 낮은 국내 여건 특성상 RE100보다 원전과 수소연료전지까지 포함한 CF100으로 탄소중립 전략을 전환하는 것이 필요하다고 본다.업계는 CF100을 새로운 목표로 삼더라도 재생에너지 시장 개선을 필수라고 입을 모은다. 태양광 업계 관계자는 ""국내 RE100 기업은 점차 늘어날 것이고, 결국 모든 기업이 재생에너지를 사용해야 하는 상황이 올 것이라 재생에너지 확대가 시급하다""며 ""CF100 역시 기존 전력시장의 개편을 동반하는 만큼 국내 재생에너지 시장도 개선될 필요가 있다""고 했다. 
]"
2023-06-30,"코스피, 기관 순매수에 상승…자동차주 강세 지속","[
코스닥도 ↑코스피지수가 기관 순매수에 상승 마감했다.



코스피지수가 상승 마감했다. 30일 코스피는 전일 대비 14.26포인트(0.56%) 오른 2564.28로 마쳤다.기관이 2천32억원을 순매수했다. 반면 외국인이 1천621억원, 개인이 680억원을 순매도했다.대형주 중 기아, 현대모비스, 현대차 등 자동차 관련주의 강세가 두드려졌다. KB금융, 삼성물산, LG화학, 포스코퓨처엠 등도 상승했다. 반면 SK하이닉스, 삼성바이오로직스, 네이버, 삼성전자 등은 하락했다.업종별로 전기가스, 운수장비, 기계 등은 오른 반면 의료정밀, 비금속광물은 내렸다.코스닥지수는 전일보다 6.45포인트(0.75%) 상승한 868.24로 거래를 마쳤다.개인과 외국인이 각각 344억원, 7억원을 사들였다. 반면 기관은 50억원을 팔아치웠다.시가총액 상위 종목 중 에코프로가 5% 상승했고 JYP엔터, 케어젠, 에코프로비엠, HLB, 더블유씨피, 엘앤에프 등도 올랐다. 반면 카카오게임즈, 포스코DX, HPSP, 펄어비스, 에스엠, 셀트리온헬스케어 등은 내렸다.업종별로 금융, 전기전자, 운송부품 등은 상승한 반면 소프트웨어, 인터넷, IT소프트웨어 등은 하락했다.이날 서울 외환시장에서 원/달러 환율은 전일 대비 0.1원(0.01%) 오른 1천317.7원으로 마감했다.
]"
2023-06-30,"코스피, 기관 '사자'에 상승 마감…""안도감 유입되며 상승 전환""","[




서울 중구 명동 하나은행 딜링룸./사진=뉴스1코스피가 기관의 순매수세에 힘입어 상승 마감했다.30일 코스피지수는 전 거래일 대비 14.26포인트(0.56%) 상승한 2564.28에 거래를 마쳤다. 이날 지수는 전 거래일 대비 8.41포인트(0.33%) 오른 2558.43으로 출발했다. 유가증권시장에서 기관은 2031억원 순매수했다. 개인과 외국인은 각각 679억원, 1620억원 매도 우위였다.김석환 미래에셋증권 연구원은 ""미국 증시의 기술주 부진이 부담으로 작용했지만 국내 증시는 하락 출발 후 상승 전환에 성공했다""며 ""중국의 6월 제조업 PMI 지표도 전월 대비 소폭 반등하면서 안도감이 유입되며 상승 전환했다""고 말했다.시총 상위주 가운데 기아가 2% 넘게 올랐다. 현대차도 소폭 상승했다. 6월 미국 자동차 판매량 증가 예상에 현대차와 기아의 2분기 호실적 기대감이 반영된 영향으로 풀이된다. LG에너지솔루션, LG화학, 삼성SDI 등도 오른 채 거래를 마쳤다. 반면 삼성전자, SK하이닉스 등은 소폭 주가가 빠졌다.코스닥지수는 전장보다 6.45포인트(0.75%) 오른 868.24로 마감했다. 지수는 전 거래일 대비 0.91포인트(0.11%) 상승한 862.7로 출발했다.코스닥시장에서 개인과 외국인은 각각 343억원, 6억원 순매수했고 기관은 49억원 매도 우위였다.시총 상위주 가운데 에코프로가 5% 넘게 올랐다. 에코프로비엠도 3% 넘는 상승세를 보였다. 엘앤에프, JYP엔터테인먼트, HLB 등도 주가가 오른 채 거래를 마쳤다. 반면 셀트리온헬스케어, 펄어비스 등은 소폭 하락했다.이날 코스닥시장에 입성한 알멕과 오픈놀은 공모가 대비 각각 99%, 57.5% 상승하며 거래를 마쳤다. 이번주부터 신규 상장 주식의 가격 변동폭이 확대되면서 상창 첫날 주가가 공모가의 최대 400%까지 오를 수 있게 됐다. 기대를 모았던 '따따블(상장 첫날 400% 상승)'에는 미치지 못했다. 서울 외환시장에서 원·달러 환율은 전 거래일보다 0.1원 오른 1317.7원에 마감했다.간밤 뉴욕증시에서 주요지수는 제롬 파월 미국 중앙은행(Fed) 의장의 긴축 발언에도 성장률 호조와 은행주 강세에 대체로 상승했다.29일(현지시간) 뉴욕증권거래소(NYSE)에서 다우존스 30 산업평균지수는 전장보다 0.8% 상승했다. 스탠더드앤드푸어스(S&amp;P)500지수는 전장보다 0.45% 올랐고 나스닥지수는 0% 밀렸다.
]"
2023-06-30,"韓 소부장, '세미콘차이나'서 첨단 기술 뽐내","[
동진쎄미켐·세메스·주성엔지니어링·한미반도체 등 참여세계 최대 반도체 전시회에 국내 소재·부품·장비 회사들이 참여해 기술을 뽐내고 있다.30일 국제반도체장비재료협회(SEMI)에 따르면 29일(현지시간)부터 7월 1일까지 중국 상하이에서 열리는 세미콘 차이나(SEMICON China)에 48개 국내 소·부·장 기업이 전시장을 꾸렸다.



29일(현지시간)부터 7월 1일까지 중국 상하이에서 열리는 세미콘 차이나(SEMICON China)에서 한미반도체가 제품을 홍보하고 있다.(사진=한미반도체)한미반도체는 이번 세미콘 차이나에 공식 후원사로 참여했다. 그러면서 반도체 실리콘 원판(Wafer·웨이퍼) 절단 장비 ‘풀 오토메이션 웨이퍼 마이크로 쏘(SAW)’를 중국에 처음 공개했다.한미반도체 관계자는 “이번 제품은 반도체 제조 공정 웨이퍼링이나 테이프에 붙은 웨이퍼를 자르는 완전 자동 독립형의 12인치 웨이퍼 쏘”라며 “자사의 43년 기술을 집약했다”고 말했다.3차원(3D) 낸드플래시 반도체용 감광액(PR·포토레지스트) 세계 1위 동진쎄미켐도 대표 제품을 소개했다. 동진쎄미켐은 반도체·디스플레이용 소재를 만든다. 국내 최초, 세계에서는 네 번째로 반도체용 포토레지스트를 개발했다. 3D 낸드 생산용 포토레지스트 세계 시장을 35% 이상 차지하는 1등 사업자다. 포토레지스트는 반도체·디스플레이 제조 과정에서 웨이퍼 위에 전자 회로를 그리는 데 쓰는 감광액이다. 빛이 닿거나 닿지 않은 부분만 남기 때문에 원하는 모양을 그릴 수 있다.



관람객들이 지난 2월 서울 삼성동 코엑스에서 열린 세미콘 코리아에 마련된 동진쎄미켐 전시장을 둘러보고 있다.(사진=유혜진 기자)세메스도 빠지지 않았다. 세메스는 삼성전자 자회사로, 국내에서 가장 큰 반도체 장비 업체다. 지난해 말 기준 삼성전자가 세메스 지분을 91.54% 보유하고 있다. 세메스는 반도체 전공정 핵심 장비인 코팅·현상 장비와 식각 장비, 후공정 장비인 칩 장착 장비, 절단 장비, 검사 장비 등을 만든다.올해 창립 30주년을 맞은 주성엔지니어링도 제품을 선보였다. 주성엔지니어링은 반도체·디스플레이 원자층증착(ALD) 장비를 양산한다. 증착은 분자·원자 단위 얇은 막을 웨이퍼 위에 입히는 공정이다. ALD는 박막 두께를 쉽게 조절하면서도 오염되지 않도록 한다.



(사진=국제반도체장비재료협회)직접 전시장을 차리지 않더라도 세미콘 차이나를 영업·마케팅 기회로 삼은 기업이 많은 것으로 알려졌다.한 부품 업체 대표는 지디넷코리아와의 통화에서 “세미콘차이나 행사를 둘러보러 중국에 출장 왔다”며 “많은 회사 사람들이 직접 전시하지 않더라도 동향을 살피고 고객 만나러 온 것 같다”고 전했다.삼성전자와 SK하이닉스는 참석하지 않았다. 종합반도체회사(IDM)보다는 소·부·장 업체가 주인공인 행사이기 때문이다. 해외 주요 기업으로는 네덜란드 장비 회사 ASML과 일본 도쿄일렉트론(TEL) 등이 자리했다.세미콘 차이나는 SEMI 전시회 중 가장 큰 규모를 자랑한다. 지난 2월 한국에서 열린 세미콘 코리아 참여 업체는 450개사, 미국 전시회에서는 570개사인 데 비해 이번 중국 전시회에는 1천50개사가 참여했다.
]"
2023-06-30,"용인 반도체클러스터 공공폐수처리시설 계획 확정, 일일 1만톤 처리","[
한강유역환경청 기본계획 고시, 총사업비 660억시설 전면 지하화, 상부는 주민편의시설 조성



용인 반도체클러스터 일반산업단지 조감도.(자료=용인시)[용인=이데일리 황영민 기자]SK하이닉스 용인 반도체클러스터 핵심 기반시설인 공공폐수처리시설 기본계획이 확정됐다.30일 용인특례시에 따르면 환경부 산하 한강유역환경청은 이날 ‘용인 반도체클러스터 공공폐수처리시설 기본계획’을 최종 승인·고시했다. 이에 따라 시는 시설 조성에 필요한 국비 186억원을 환경부로부터 지원받을 수 있게 됐다.공공폐수처리시설은 용인시 처인구 원삼면 죽능리 산15번지 일원 3만2600㎡에 하루평균 1만 톤 오·폐수를 처리할 수 있는 규모로 조성된다.용인 반도체클러스터 내 협력화 단지, 가스공급설비 단지 등 공공폐수 처리 구역 내에서 발생하는 오·폐수를 처리하게 된다. SK하이닉스 반도체 생산시설에서 발생하는 오·폐수는 자체 시설을 통해 별도 처리할 예정이다.오·폐수는 전처리 과정을 통해 큰 부유물을 먼저 제거한 뒤 공공폐수처리시설로 유입되며 1차~3차의 생물학적 고도 처리 공정을 통해 법적 수질기준인 BOD(생화학적 산소요구량) 10ppm 이하, TOC(총유기탄소) 15ppm 이하보다 한층 강화된 BOD 5ppm(연평균 3ppm, TOC 5ppm 이하로 처리해 원삼면 한천~안성천~서해로 방류할 계획이다.고시된 기본계획에 따라 공사는 3단계로 나눠 진행되며, 1단계(5000톤/일) 공사는 오는 2027년 2월 완공을 목표로 진행된다.시는 오폐수 처리 시설을 모두 지하화하고 상부는 지역주민들의 의견을 반영해 체육시설, 공원 등의 주민 친화 공간으로 조성할 계획이다.총 사업비 660억 원 가운데 상부에 조성하는 주민편의시설과 시설 지하화 비용을 제외한 시설 조성비 186억원은 국비에서 지원된다. 이상일 용인특례시장은 “공공폐수처리시설 기본계획이 확정됨에 따라 원삼 반도체클러스터는 오는 2027년 상반기 첫 팹(Fab) 가동에 필요한 모든 핵심 기반 시설을 적기에 갖출 수 있게 됐다”며 “SK하이닉스와 반도체 소재·부품·장비 기업 50여개사가 입주할 원삼의 반도체클러스터가 성공적으로 조성될 수 있도록 더욱 노력하겠다”고 말했다.용인 반도체클러스터는 사업시행자인 용인일반산업단지(주)가 처인구 원삼면 일원에 약415만㎡ 규모의 부지를 조성하고, SK하이닉스가 120조 원을 투자해 총 4개의 반도체 팹을 건설하고 50여개의 반도체 기업들이 입주하는 사업이다. 오는 2027년 상반기 첫 번째 팹 가동을 목표로 공사가 진행 중이며, 전체 공정률은 3.2%(지난 25일 기준)로 당초 계획한 공정률 150%를 초과 달성하며 순항 중이다.
]"
2023-06-30,"6월 D램 고정가, 지난달보다 2.86% 하락…낸드는 보합","[




이번 달에도 메모리 반도체 D램의 거래가 하락세가 이어진 것으로 나타났습니다. 오늘(30일) 시장조사업체 D램익스체인지에 따르면 PC용 D램 범용제품(DDR4 8Gb)의 6월 평균 고정거래가격은 5월보다 2.86% 하락한 1.36달러로 집계됐습니다.  경기침체로 IT 기기 수요가 줄면서 2분기 들어 D램 가격은 하락세를 이어가고 있지만, 4월 19.9%, 5월3.45% 하락세에 비하면 전월대비 낙폭은 크게 줄었습니다.  트렌드포스는 D램 가격과 관련 ""공급업체는 가격을 올리려 하고 구매자의 재고는 여전히 높은 상태""라며 ""공급업체와 구매자가 3분기 계약을 협상하면서 가격에 대한 합의에 도달하기가 쉽지는 않을 것""이라고 전망했습니다. 낸드플래시는 이전과 같은 수준을 유지했습니다. 메모리카드·USB향 낸드플래시 범용제품(128Gb 16Gx8 MLC)의 6월 고정거래가격은 평균 3.82달러로 5월과 같았습니다. 낸드플래시 가격은 3월과 4월에 각각 5.12%, 2.93% 하락했으며 5월과 6월에는 제자리걸음 하고 있습니다.[사진 출처 : 연합뉴스 / SK하이닉스 제공]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!
]"
2023-06-30,"[fn오후시황]코스피, 외국인·동학개미 파는데 2570선 육박","[
			  [파이낸셜뉴스] 코스피가 외국인과 동학개미로 불리는 개인투자자의 순매도세에 불구, 2570선에 육박한 상승세를 보이고 있다. 장중 개인투자자는 순매수를 주도한 바 있다.   6월 30일 오후 2시 40분 코스피는 전거래일 대비 0.76%오른 2567.98을 기록하고 있다.   이날 코스피는 전거래일 대비 0.33%오른 2558.43으로 출발했다.   외국인, 개인은 각각 853억원, 677억원을 순매도했다.   하지만 기관, 금융투자, 연기금 등은 각각 1369억원, 925억원, 573억원을 순매수하며 지수를 끌어올렸다.   규모별로 대형주(0.67%), 중형주(1.26%), 소형주(0.57%) 모두 상승세다.   업종별로 전기가스업(2.38%) 등이 상승세다.   반면 의료정밀(-0.28%) 등이 하락세다.   시가총액 상위종목별로 SK하이닉스(-0.6%) 등이 하락세다.   반면 LG에너지솔루션(0.9%) 등이 상승세다.
		]"
2023-06-30,"용인시, 반도체클러스터 공공폐수처리시설 기본계획 확정","[
			경기 용인특례시는 환경부 산하 한강유역환경청이 '용인 반도체클러스터 공공폐수처리시설 기본계획'을 최종 승인·고시했다고 30일 밝혔다.이에 따라 시는 환경부로부터 시설 조성에 필요한 국비 186억원을 지원받을 수 있게 됐다.공공폐수처리시설은 원삼면 죽능리 산15번지 일원 3만2600㎡에 하루평균 1만톤 오·폐수를 처리할 수 있는 규모로 조성한다.용인 반도체클러스터 내 협력화 단지, 가스공급설비 단지 등 공공폐수 처리 구역 내에서 발생하는 오·폐수를 처리하며, SK하이닉스 반도체 생산시설에서 발생하는 오·폐수는 자체 시설을 통해 별도 처리한다.오·폐수는 전처리 과정을 통해 큰 부유물을 먼저 제거한 뒤 공공폐수처리시설로 유입된다. 1차~3차의 생물학적 고도 처리 공정을 통해 법적 수질기준인 BOD(생화학적 산소요구량) 10ppm 이하, TOC(총유기탄소) 15ppm 이하보다 한층 강화된 BOD 5ppm(연평균 3ppm, TOC 5ppm 이하로 처리해 원삼면 한천~안성천~서해로 방류할 계획이다.공사는 고시된 기본계획에 따라 3단계로 나눠 진행한다. 1단계(5000톤/일) 공사는 오는 2027년 2월 완공이 목표다.시는 오폐수 처리 시설을 모두 지하화하고 상부는 지역주민 의견을 반영해 체육시설, 공원 등의 주민 친화 공간으로 조성할 계획이다. 사업비 660억원 가운데 상부에 조성하는 주민편의시설과 시설 지하화 비용을 제외한 시설 조성비 186억원은 국비에서 지원된다. 이상일 시장은 ""공공폐수처리시설 기본계획이 확정됨에 따라 원삼 반도체클러스터는 오는 2027년 상반기 첫 팹(Fab) 가동에 필요한 모든 핵심 기반 시설을 적기에 갖출 수 있게 됐다""면서 ""SK하이닉스와 반도체 소재·부품·장비 기업 50여개사가 입주할 원삼의 반도체클러스터가 성공적으로 조성될 수 있도록 더욱 노력하겠다""고 말했다.용인 반도체클러스터는 사업시행자인 용인일반산업단지(주)가 처인구 원삼면 일원에 약415만㎡ 규모의 부지를 조성하고, SK하이닉스가 120조원을 투자해 총 4개의 반도체 팹을 건설하고 50여개의 반도체 기업들이 입주하는 사업이다. 오는 2027년 상반기 첫 번째 팹 가동을 목표로 공사가 진행 중이며, 전체 공정률은 3.2%(지난 25일 기준)로 당초 계획한 공정률 150%를 초과 달성하며 순항 중이다.



용인 반도체클러스터 조성 공사 현장 전경./사진제공=용인시
]"
2023-06-30,"[오후 시황] 코스피, 기관 '사자'에 반등…2560대 회복","[




[서울경제] 코스피가 30일 장 초반 하락세를 딛고 오름폭을 키우며 상승하고 있다.이날 오후 2시 19분 현재 코스피는 전 거래일보다 16.53포인트(0.65%) 오른 2566.55를 기록하고 있다.지수는 전장보다 8.41포인트(0.33%) 오른 2,558.43으로 출발해 장 초반 하락세로 돌아섰다가 반등하고 있다.유가증권시장에서 외국인과 개인이 각각 866억원, 326억원어치를 팔고 있다. 기관 홀로 1046억원어치를 순매수하고 있다.코스피 시가총액(시총) 상위권 종목 가운데 LG에너지솔루션(373220)(0.73%), 삼성바이오로직스(207940)(0.13%), 삼성SDI(006400)(1.05%), 기아(000270)(2.56%) 등이 상승하고 있다.반면 삼성전자(005930)(-0.14%), SK하이닉스(000660)(-0.86%), NAVER(035420)(-0.49%) 등은 하락 중이다.같은 시각 코스닥지수는 전 거래일보다 5.41포인트(0.63%) 오른 867.20이다.지수는 전 거래일보다 0.91포인트(0.11%) 오른 862.70으로 출발했다.코스닥시장에서 외국인과 기관은 각각 134억원, 844억원어치를 순매도하고 있다. 개인 홀로 1200억원어치를 순매수 중이다.코스닥 시총 상위 종목 가운데 에코프로비엠(247540)(2.28%), 에코프로(086520)(5.88%), 엘앤에프(066970)(2.31%), JYP Ent.(035900)(4.88) 등이 오르고 있다. 특히 동진쎄미캠의 상승폭(8.08%)이 눈에 띈다.반면 셀트리온헬스케어(091990)(-0.15%), 카카오게임즈(293490)(-1.79%), 에스엠(041510)(-0.19) 등이 하락 중이다.
]"
