단어,개수
,627
설해원에서,8
열린,109
,13
셀트리온,891
퀸즈,15
마스터터즈,1
대회,14
장면,1
사진제공,1
설해원,1
마스터즈,8
골프대회가,3
박민지,5
선수가,4
최종,51
우승을,6
차지하며,2
성료,1
했다이번,1
대회에서는,6
최종전을,1
앞두고,58
우박과,3
폭우가,4
쏟아져,3
경기가,7
중단이,3
되는,16
이변이,1
발생되었다,1
모두가,7
걱정하는,2
상황,14
속에서,5
주최,7
측에서는,3
선수들의,3
무기명,3
투표를,3
진행,106
하였고,1
과반수,3
이상의,46
선수들이,23
당일,4
경기,18
종료를,3
원하고,1
다행히,1
점차,6
기상상황이,3
좋아지면서,1
재개되었다이후,1
재개된,2
경기에서는,3
중단,3
전,207
목전에,2
있던,12
잠시,3
중단된,1
상태에서도,1
집중력을,1
유지해,1
차지했다특히,1
이번,184
설해원,2
더,3
레전드,3
코스의,1
배수,1
설비시설가,1
주목,6
받았다,36
쏟아졌음에도,1
불구하고,15
시간도,3
채,6
안,30
되어,3
필드가,6
마르면서,1
경기를,1
재개할,2
수,665
있었기,1
때문이다,41
이에,70
,4
골프,15
박지은,3
해설,3
위원은,3
많은,3
양의,3
비와,3
우박까지,3
내린,44
날씨임에도,3
언제,11
그랬냐는,3
듯,5
고요해,3
졌다고,1
설명했다이외,1
관련하여,2
필드,5
현장,32
총괄,5
권시목,3
이사는,22
대회,2
그린,3
토양,6
내,275
최적,5
수분치를,3
일반,13
평균치,3
보다,51
낮게,7
책정하여,3
최소,8
수분,9
상태로,4
관리하여,3
일,83
동안의,4
강수량을,3
충분히,20
흡수할,3
있었고,3
,13
이상에서도,3
물고임,3
없이,34
마지막,17
라운드도,3
진행할,63
있었다며,5
설해원,2
평소,2
건강한,25
잔디를,3
내방객에,3
제공하는,11
것을,67
목표로,60
최첨단,3
장비를,3
도입해,11
토양의,3
경도,6
깊이,14
별,3
측정을,3
진행하고,99
있다고,58
밝혔다한편,7
,19
설해원은,2
대한민국,12
골프장,4
평가에서,2
코스디자인과,2
그린관리,2
부문,2
시설,2
안전관리,2
부문,4
항목에서,3
대중제,2
위를,46
받은,39
곳이다강석봉,1
기자,132
,1
,627
마이데일리,7
,158
구현주,7
기자,86
서정진,418
회장이,169
경영복귀,4
후,130
위기를,24
기회로,20
전환하기는,1
커녕,1
오히려,14
설상가상이,1
됐다,43
복귀,84
당시,55
기대와,2
달리,21
지난,393
석,1
달간,4
주가,111
상승,50
대신,10
혼외자,96
논란,9
등,851
구설수만,1
남겼다일,1
제약업계에,1
따르면,244
주가는,59
여전히,24
만원,1
박스권에,1
갇혀,1
있다,984
이날,143
종가,7
기준,238
만원이다,1
셀트리온은,843
년,80
주가가,59
만원까지,1
치솟았지만,1
년,105
이후,162
하락세를,5
면치,3
못하고,10
말,81
은퇴했던,2
년,122
만에,111
다시,94
경영에,57
복귀하기에,1
이르렀다,1
회장,114
바이오시밀러바이오의약품,89
복제약,64
글로벌,1032
허가신청,4
등이,82
이어졌으나,1
실제,30
매출로,6
연결되진,1
못한,9
상황이다,12
자가면역질환,337
치료제,485
휴미라,140
바이오시밀러,1138
유플라이마가,2
대표적이다,1
일,9
그룹주가,8
일제히,16
하락했는데,2
유플라이마,92
미국,779
보험,20
등재가,12
어렵다는,3
전망이,18
나와서다보험약제관리기업,1
옵텀는,2
추가,48
등재를,8
결정했지만,1
여기에,17
유플라이마가,13
빠졌다,2
은,5
의약품,275
결제,2
중간자로,1
보험사를,5
대신해,5
제약사와,10
약가,20
등을,163
협상한다,2
허혜민,8
키움증권,12
연구원은,126
휴밀라,1
경쟁,36
과열,2
우려와,1
신제품,14
미등재로,1
인한,19
미국시장,19
침투,3
제동,2
주가에,24
선반영됐다며,1
하반기,2
실적,82
개선과,3
,14
등재,34
소식이,17
이어지면,1
회복할,3
것이라고,99
분석했다서정진,1
회장은,314
구체적인,17
성과,7
창출이,2
절실하다,1
경영,258
잇따른,2
구설수를,2
치르면서,1
실추된,1
이미지를,3
회복해야,1
하기,15
때문이다지난달엔,1
두,319
딸을,21
둔,13
사실이,33
알려졌다,49
이,216
과정에서,16
딸의,40
생모,5
씨를,25
명예훼손과,4
공갈,7
혐의로,22
고발했다논란에,1
홈페이지,6
입장문에서,7
주주에게,2
공식으로,4
사과했지만,1
보는,8
시선은,2
