단어,개수,label
열린,109,1
최종,51,1
우승을,6,1
경기가,7,1
이상의,46,1
점차,6,1
주목,6,1
받았다,36,1
일반,13,1
보다,51,1
수분,9,1
일,83,1
충분히,20,1
진행할,63,1
건강한,25,1
제공하는,11,1
것을,67,1
목표로,60,1
도입해,11,1
깊이,14,1
진행하고,99,1
있다고,58,1
위를,46,1
받은,39,1
회장이,169,1
기회로,20,1
오히려,14,1
됐다,43,1
복귀,84,1
주가,111,1
상승,50,1
대신,10,1
주가는,59,1
다시,94,1
경영에,57,1
글로벌,1032,1
일,9,1
그룹주가,8,1
미국,779,1
등재가,12,1
전망이,18,1
추가,48,1
등재를,8,1
여기에,17,1
키움증권,12,1
신제품,14,1
인한,19,1
미국시장,19,1
주가에,24,1
실적,82,1
등재,34,1
소식이,17,1
구체적인,17,1
성과,7,1
경영,258,1
하기,15,1
현지에서,10,1
적극,68,1
영업,19,1
우수한,29,1
취지로,9,1
대형,26,1
높여,8,1
재무실적,7,1
영업이익,65,1
추종하는,8,1
가장,99,1
큰,160,1
기대하고,66,1
차세대,57,1
집중적으로,8,1
장기,10,1
투자하고,13,1
투자,69,1
특허가,29,1
조억원의,10,1
매출을,119,1
기록한,31,1
달한다,37,1
출시된,36,1
수요가,19,1
성공하면,6,1
상승했다,12,1
시총,10,1
올랐다,23,1
기대감이,19,1
상승하며,7,1
집계됐다,7,1
순매수했다,6,1
가능성을,21,1
흐름을,7,1
투자할,24,1
주목을,12,1
개발,383,1
효과를,44,1
확보했다,8,1
향후,125,1
가능성이,36,1
상장한다고,9,1
정부가,14,1
육성하는,6,1
산업의,14,1
높은,96,1
선보인,13,1
수익률,7,1
성과를,69,1
좋은,50,1
기술력을,7,1
투자한다,21,1
반도체와,6,1
인공지능,6,1
성장으로,10,1
규모가,25,1
확대되며,13,1
급성장했다,6,1
증가하며,15,1
돌파했다,16,1
증가했다,18,1
중심의,23,1
상승하고,8,1
오르고,7,1
출시한,23,1
가속화할,8,1
장점이,12,1
기대했다,13,1
굵직한,23,1
검토를,11,1
예상하고,32,1
상승한,14,1
가파른,10,1
세계적인,13,1
어깨를,11,1
나란히,13,1
유일한,12,1
진출을,36,1
넘어,42,1
맞춤형,29,1
활동을,60,1
강화한다는,23,1
높이는,6,1
높아지고,10,1
늘어난,22,1
기대되고,12,1
기대되는,10,1
강세를,17,1
긍정적으로,18,1
성장세에,6,1
추진한다,8,1
성장세를,40,1
확대할,50,1
완료했다,45,1
확대한다는,6,1
확대하고,41,1
합산,27,1
기대된다,14,1
최초,53,1
완료하고,26,1
획득했다,11,1
강력한,26,1
성공적으로,22,1
발전을,8,1
적극적으로,39,1
순조롭게,21,1
완료된,14,1
편의성,9,1
긍정적,13,1
전망했다,24,1
세계적으로,8,1
주목된다,6,1
불구하고,15,-1
낮게,7,-1
최소,8,-1
없이,34,-1
마지막,17,-1
위기를,24,-1
달리,21,-1
지난,393,-1
논란,9,-1
여전히,24,-1
못하고,10,-1
못한,9,-1
상황이다,12,-1
혐의로,22,-1
않다,8,-1
이외,6,-1
저평가,6,-1
문제를,8,-1
문제가,14,-1
지속적으로,40,-1
소수,16,-1
경쟁을,7,-1
하락했다,18,-1
낙폭을,7,-1
하락한,18,-1
했지만,18,-1
내렸다,6,-1
이밖에,6,-1
약세를,8,-1
반면,28,-1
이외에도,12,-1
하락,33,-1
떨어진,11,-1
우려,6,-1
변동,8,-1
않고,67,-1
우려가,12,-1
불안,10,-1
없어,13,-1
않기로,20,-1
크지,10,-1
않을,15,-1
않아,19,-1
없을,14,-1
비해서도,6,-1
낮은,29,-1
퇴직연금,6,-1
없는,48,-1
조정이,19,-1
없다고,32,-1
하락하고,7,-1
나머지,9,-1
감소한,11,-1
갈등을,6,-1
그러면서,17,-1
은퇴,6,-1
임기,8,-1
한시적,18,-1
논란에,10,-1
